spp,mean_tlp,lwr,upr
ABCO,-2.2704244956133333,-2.3221494215951464,-2.21869956963152
ADFA,-3.3104515573430078,-3.3312111691036086,-3.289691945582407
ARPA,-2.21134555105625,-2.2420858515634228,-2.1806052505490774
CADE,-2.3174128257448072,-2.3450304438633935,-2.289795207626221
CECO,-2.644487248890909,-2.6718691510292154,-2.6171053467526026
CEME,-2.620938279942857,-2.6516307128696313,-2.590245847016083
PIJE,-2.599769138322917,-2.6296683724626693,-2.5698699041831645
QUKE,-2.867821233237589,-2.9182305767225483,-2.8174118897526297
