spp,n.x,mean_lfm_fall_spp.x,sd_lfm_fall_spp.x,mean_tlp_spp,sd_spp,n.y,mean_lfm_fall_spp.y,sd_lfm_fall_spp.y,unique_id,age,pod,site,date,doy,type,location,month,bottle_number,lfm,timing,wettest_lfm,predawn,midday,dry_with_bottle,wet_with_bottle,bottle_weight,g_ww,g_dw,gww_gdw,rwc_wettest,rwd_wettest,swc_wettest,mpa,predawn1,predawn2,predawn3,midday1,midday2,midday3,rwc,rwd,water_potential,swc,year
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,ABCO_new_1_1.2,new,1.2,1,2021-08-19,231,tree,CZO,8,55,161.8935469,fall,NA,-1.6,-2.045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.61,-1.59,NA,-2.04,-2.05,NA,NA,NA,-2.045,NA,2021
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,ABCO_new_1_1.2,new,1.2,1,2021-09-16,259,tree,CZO,9,55,194.0756397,fall,NA,-1.645,-1.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.64,-1.65,NA,-1.81,-2.2,-1.87,NA,NA,-1.96,NA,2021
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,ABCO_new_1_1.2,new,1.2,1,2021-10-16,289,tree,CZO,10,122,NA,fall,NA,-1.415,-1.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.44,-1.39,NA,-1.94,-2,NA,NA,NA,-1.97,NA,2021
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,ABCO_New_1_1.2,New,1.2,1,2021-04-24,114,tree,CZO,4,NA,NA,NA,NA,-0.74,-0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,ABCO_new_1_1.3,new,1.3,1,2021-04-24,114,tree,CZO,4,7,124.6264749,spring,316.0726266,-0.635,-1.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.58,-0.69,NA,-1.12,-1.13,NA,39.42969571285235,60.57030428714765,-1.125,3.1607262659999997,2021
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,ABCO_new_1_1.3,new,1.3,1,2021-05-15,135,tree,CZO,5,56,121.9488833,spring,316.0726266,-0.43,-0.795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.38,-0.48,NA,-0.77,-0.82,NA,38.58255129898681,61.41744870101319,-0.795,3.1607262659999997,2021
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,ABCO_new_1_1.3,new,1.3,1,2021-07-08,189,tree,CZO,7,56,NA,spring,316.0726266,-0.955,-1.896666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.95,-0.96,NA,-1.96,-1.85,-1.88,100,0,-1.896666667,3.1607262659999997,2021
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,ABCO_new_1_1.3,new,1.3,1,2021-07-30,211,tree,CZO,7,7,183.8530411,spring,316.0726266,-0.93,-2.046666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.96,-0.9,NA,-2.25,-1.92,-1.97,58.16797331604167,41.83202668395833,-2.046666667,3.1607262659999997,2021
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,ABCO_new_1_1.3,new,1.3,1,2021-08-19,231,tree,CZO,8,56,152.3414655,fall,316.0726266,-1.235,-2.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.24,-1.23,NA,-2.07,-1.94,NA,48.198247073383236,51.801752926616764,-2.005,3.1607262659999997,2021
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,ABCO_new_1_1.3,new,1.3,1,2021-09-16,259,tree,CZO,9,39,145.0229112,fall,316.0726266,-1.505,-2.235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.46,-1.55,NA,-2.26,-2.21,NA,45.88278104308322,54.11721895691678,-2.235,3.1607262659999997,2021
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,ABCO_new_1_1.3,new,1.3,1,2021-10-16,289,tree,CZO,10,,226.6278696,fall,316.0726266,-1.365,-1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.37,-1.36,NA,-1.83,-1.97,NA,71.70120109350843,28.29879890649157,-1.9,3.1607262659999997,2021
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,ABCO_New_1_1.3,New,1.3,1,2021-04-24,114,tree,CZO,4,NA,NA,NA,NA,-0.635,-0.8825,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.8825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021
