"","hydration","ambient.humidity","ambient.temp","bins10lfm","bins20lfm","bins5lfm","bottle.wt","dry.wt","dw.flam.sample","fd","fh","fresh.wt","gd","gdw.gfw","gdw.gww","gdw.gww.saturated","glow","gr","gti","gww.gdw","gww.gdw.saturated","ignition","ignition.temp","ignition.temp.higher","individual","lfm","lfm.NAs.imputed","lfm.notes","lfm.outliers.out","max.mpa.sample","model","model.spp.gr","month","mpa","pfg","prop.ignite","prop.new","prop.new.lfm","ros","round","RWC","RWD","sample","sample.length","sample.wt","site","spp","start.temp","temp.change","temp.max","temp.max.higher","temp.start.higher","ttfg","tti","ttms","video.notes...56","video.notes...57","water.wt","ww.flam.sample","year","year.month","fh_nas_imputed","flam.index","mean.wt","dry.norm.fh","dry.norm.gd","dry.norm.fd","dry.norm.pfg","dry.norm.ttfg","dry.norm.tti","dry.norm.gti","ignition_num"
"111","dry",61,23,"(50,60]","(40,60]","(50,55]",7.2203,7.5667,1.06974922268419,NA,NA,7.7446,340,0.977029155798879,42.5334457560427,10.5417561761547,1,"(50,60]",NA,0.5135681293,1.163000361,0,NA,NA,"2020_September_CECO_1.5",51.35681293,51.35681293,NA,51.35681293,-0.785,"HP","2020_September_HP_CECO_(50,60]","September",10,NA,20,NA,NA,NA,12,44.1588968088033,55.8411031911967,1.5,10,1.0949,1,"CECO",268.3,NA,NA,NA,219.5,101,NA,NA,NA,NA,0.1779,0.0251507773158073,2020,"2020_September",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"112","hydrated",55,24,"(150,160]","(140,160]","(155,160]",7.1497,7.8001,1.83998822235825,NA,NA,8.8218,291,0.884184633521504,7.63443280806499,0.210602019717719,1,"(150,160]",NA,1.570879459,1.570879459,0,NA,NA,"2020_September_CECO_1.6",157.0879459,157.0879459,NA,157.0879459,-0.296,"HP","2020_September_HP_CECO_(150,160]","September",0.48,NA,0,NA,NA,NA,2,100,0,1.6,10,2.081,1,"CECO",274.5,NA,NA,NA,238.3,124,NA,NA,NA,NA,1.0217,0.241011777641751,2020,"2020_September",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"113","hydrated",57,24,"(90,100]","(80,100]","(90,95]",7.1749,7.9954,1.82850837585762,NA,NA,8.7597,561,0.912748153475576,10.461075493916,0.210602019717719,1,"(90,100]",NA,0.9315051798,1.570879459,0,NA,NA,"2020_September_CECO_1.6",93.15051798,93.15051798,NA,93.15051798,-0.296,"HP","2020_September_HP_CECO_(90,100]","September",3.409,NA,31,NA,NA,NA,3,59.2983232712829,40.7016767287171,1.6,10,2.0033,1,"CECO",293.4,NA,NA,NA,230.2,106,NA,NA,"sample loaded shortly before video start - time, temp. provided from beginning of video",NA,0.7643,0.174791624142379,2020,"2020_September",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"114","hydrated",57,24,"(140,150]","(140,160]","(140,145]",7.2106,7.9894,2.02433527703208,NA,NA,9.0892,NA,0.87899925185935,7.26441171122022,0.210602019717719,0,"(140,150]",0,1.412172573,1.570879459,0,NA,NA,"2020_September_CECO_1.6",141.2172573,141.2172573,NA,141.2172573,-0.296,"HP","2020_September_HP_CECO_(140,150]","September",1.6,NA,40,NA,NA,NA,4,89.896940526485,10.1030594735149,1.6,10,2.303,1,"CECO",300.5,NA,NA,NA,235.3,NA,NA,NA,"NOGORI","B0235:0s vid",1.0998,0.278664722967918,2020,"2020_September",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"115","hydrated",66,22,"(130,140]","(120,140]","(130,135]",6.1868,6.889,2.10543450030037,NA,NA,7.8237,NA,0.880529672661273,7.37027923397882,0.210602019717719,0,"(130,140]",0,1.33110225,1.570879459,0,NA,NA,"2020_September_CECO_1.6",133.110225,133.110225,NA,133.110225,-0.296,"HP","2020_September_HP_CECO_(130,140]","September",1.86,NA,29,NA,NA,NA,5,84.736116598492,15.263883401508,1.6,10,2.3911,1,"CECO",291.5,NA,NA,NA,219.2,NA,NA,NA,"NOGORI",NA,0.934699999999999,0.28566549969963,2020,"2020_September",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"116","hydrated",63,22,"(110,120]","(100,120]","(110,115]",6.1557,6.6001,1.85782243990317,NA,NA,7.1052,381,0.928911219951585,13.0669174420907,0.210602019717719,1,"(110,120]",NA,1.136588659,1.570879459,0,NA,NA,"2020_September_CECO_1.6",113.6588659,113.6588659,NA,113.6588659,-0.296,"HP","2020_September_HP_CECO_(110,120]","September",2.15,NA,8,NA,NA,NA,6,72.3536521206749,27.6463478793251,1.6,10,2,1,"CECO",248.9,NA,NA,NA,223.9,105,NA,NA,"gpe, tough to tell glow - check upper cam",NA,0.5051,0.14217756009683,2020,"2020_September",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"117","moderate",62,22,"(70,80]","(60,80]","(75,80]",7.1994,8.2107,1.76567623400569,NA,NA,9.0032,373,0.911975741958415,10.3605047318612,0.210602019717719,1,"(70,80]",NA,0.7836448136,1.570879459,0,NA,NA,"2020_September_CECO_1.6",78.36448136,78.36448136,NA,78.36448136,-0.296,"HP","2020_September_HP_CECO_(70,80]","September",4.56,NA,10,NA,NA,NA,7,49.8857381519813,50.1142618480187,1.6,10,1.9361,1,"CECO",263.7,NA,NA,NA,223.2,25,NA,NA,"gpe, sample touching pilot flame; only part of sample ignited",NA,0.7925,0.170423765994313,2020,"2020_September",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"118","dry",63,22,"(50,60]","(40,60]","(55,60]",7.1766,1.4056,1.33999791083938,NA,NA,8.0798,NA,0.173964702096587,0.210602019717719,0.210602019717719,0,"(50,60]",0,0.567136948200101,1.570879459,0,NA,NA,"2020_September_CECO_1.6",NA,56.7136948200101,NA,NA,-0.296,"HP","2020_September_HP_CECO_(50,60]","September",7.589,NA,20,NA,NA,NA,8,36.1031487776365,63.8968512223635,1.6,10,7.7027,1,"CECO",298.5,NA,NA,NA,233.8,NA,NA,NA,"NOGORI",NA,6.6742,6.36270208916062,2020,"2020_September",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"119","moderate",64,23,"(70,80]","(60,80]","(70,75]",7.2699,7.8052,1.10705844697617,NA,NA,8.1982,245,0.952062647898319,19.8605597964377,0.210602019717719,1,"(70,80]",NA,0.7341677564,1.570879459,0,NA,NA,"2020_September_CECO_1.6",73.41677564,73.41677564,NA,73.41677564,-0.296,"HP","2020_September_HP_CECO_(70,80]","September",3.192,NA,10,NA,NA,NA,9,46.7360975531096,53.2639024468904,1.6,10,1.1628,1,"CECO",265.4,NA,NA,NA,219.3,117,NA,NA,NA,NA,0.393,0.0557415530238345,2020,"2020_September",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"120","moderate",66,23,"(60,70]","(60,80]","(65,70]",7.1368,7.5539,1.34038852243418,NA,NA,7.8318,345,0.964516458540821,27.1820798848506,0.210602019717719,1,"(60,70]",NA,0.6662670822,1.570879459,0,NA,NA,"2020_September_CECO_1.6",66.62670822,66.62670822,NA,66.62670822,-0.296,"HP","2020_September_HP_CECO_(60,70]","September",7.133,NA,30,NA,NA,NA,10,42.4136351381242,57.5863648618758,1.6,10,1.3897,1,"CECO",266.4,NA,NA,NA,220.9,207,NA,NA,NA,NA,0.277900000000001,0.0493114775658214,2020,"2020_September",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"121","dry",61,23,"(20,30]","(20,40]","(25,30]",7.227,7.9968,1.68480603596674,NA,NA,8.1909,NA,0.976302970369557,41.1993817619786,0.210602019717719,0,"(20,30]",0,0.2521434139,1.570879459,0,NA,NA,"2020_September_CECO_1.6",25.21434139,25.21434139,NA,25.21434139,-0.296,"HP","2020_September_HP_CECO_(20,30]","September",10,NA,0,NA,NA,NA,12,16.05109879408,83.94890120592,1.6,10,1.7257,1,"CECO",269.4,NA,NA,NA,222.8,NA,NA,NA,NA,NA,0.194099999999999,0.0408939640332562,2020,"2020_September",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"122","hydrated",56,24,"(160,170]","(160,180]","(165,170]",7.2237,7.5779,1.77916880436511,NA,NA,8.1739,331,0.927084990029239,12.7145973154362,6.58750470455401,1,"(160,170]",NA,1.682665161,1.682665161,0,NA,NA,"2020_September_CECO_2.1",168.2665161,168.2665161,NA,168.2665161,-0.262,"HP","2020_September_HP_CECO_(160,170]","September",0.262,NA,0,NA,NA,NA,1,100,0,2.1,10,1.9191,2,"CECO",283.5,NA,NA,NA,275.3,15,NA,NA,NA,NA,0.596,0.139931195634887,2020,"2020_September",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"123","hydrated",55,24,"(140,150]","(140,160]","(140,145]",7.2044,7.7591,1.6187900408783,NA,NA,8.562,393,0.906225181032469,9.66384356706938,6.58750470455401,1,"(140,150]",NA,1.447449072,1.682665161,0,NA,NA,"2020_September_CECO_2.1",144.7449072,144.7449072,NA,144.7449072,-0.262,"HP","2020_September_HP_CECO_(140,150]","September",1.09,NA,40,NA,NA,NA,2,86.0212183355474,13.9787816644526,2.1,10,1.7863,2,"CECO",262.4,NA,NA,NA,231.9,16,NA,NA,"gpe",NA,0.802899999999999,0.1675099591217,2020,"2020_September",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"124","hydrated",56,24,"(90,100]","(80,100]","(90,95]",7.2659,7.903,2.23980317647059,NA,NA,8.5,564,0.929764705882353,13.2378559463986,6.58750470455401,1,"(90,100]",NA,0.9370585465,1.682665161,0,NA,NA,"2020_September_CECO_2.1",93.70585465,93.70585465,NA,93.70585465,-0.262,"HP","2020_September_HP_CECO_(90,100]","September",3.399,NA,31,NA,NA,NA,3,55.6889491871996,44.3110508128004,2.1,10,2.409,2,"CECO",298.1,NA,NA,NA,236,95,NA,NA,"gpe",NA,0.597,0.169196823529412,2020,"2020_September",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"125","moderate",58,24,"(70,80]","(60,80]","(75,80]",7.2489,8.0317,1.85309755197427,NA,NA,8.6437,460,0.929196987401229,13.1236928104575,6.58750470455401,1,"(70,80]",NA,0.7818088912,1.682665161,0,NA,NA,"2020_September_CECO_2.1",78.18088912,78.18088912,NA,78.18088912,-0.262,"HP","2020_September_HP_CECO_(70,80]","September",3.89,NA,10,NA,NA,NA,4,46.4625351092059,53.5374648907941,2.1,10,1.9943,2,"CECO",286.9,NA,NA,NA,230,49,NA,NA,"gpe",NA,0.612,0.14120244802573,2020,"2020_September",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"126","hydrated",55,25,"(130,140]","(120,140]","(130,135]",7.1942,7.9184,2.12249452595047,NA,NA,8.8746,NA,0.892254298785297,8.28111273792095,6.58750470455401,0,"(130,140]",0,1.320353494,1.682665161,0,NA,NA,"2020_September_CECO_2.1",132.0353494,132.0353494,NA,132.0353494,-0.262,"HP","2020_September_HP_CECO_(130,140]","September",0.89,NA,29,NA,NA,NA,5,78.4679878446714,21.5320121553286,2.1,10,2.3788,2,"CECO",294.3,NA,NA,NA,260.8,NA,NA,NA,"NOGORI",NA,0.956199999999999,0.256305474049535,2020,"2020_September",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"127","moderate",69,21,"(60,70]","(60,80]","(60,65]",6.2125,6.7752,1.30696572928805,7,24,7.1227,285,0.951212321170343,19.4969784172662,6.58750470455401,1,"(60,70]",195,0.6175582015,1.682665161,2,274.7,214.2,"2020_September_CECO_2.1",61.75582015,61.75582015,NA,61.75582015,-0.262,"HP","2020_September_HP_CECO_(60,70]","September",9.404,83,30,NA,NA,1.42857142857143,6,36.7011937855175,63.2988062144825,2.1,10,1.374,2,"CECO",233.2,38.5,271.7,217.6,195.8,197,392,393,"gpe, covered up igniiton -- appears to ignite by touching pilot flame",NA,0.3475,0.0670342707119491,2020,"2020_September",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
