individual,spp,year_month,month,timing,dry_wt,model,rwc,lfm,max_mpa_sample,mpa,gww_gdw,gww_gdw_saturated,fresh_wt,site,sample,location,pos_mpa,water_potential,n,sd_fall_spp,mean_po_fall_spp,tlp,po,swc_sat,rwc_new
2016_December_ADFA_2,ADFA,2016_December,12,fall,0.08,EPI,77.3181818195876,112.5,-0.6,-8.4,1.125,1.455026455,0.17,St. Marys,2,local,8.4,-8.4,101,0.5513803139017037,-2.0209061177029706,-3.377273926267327,-2.0209061177029706,0.9503745381081349,118.37438345512534
2016_December_ADFA_2,ADFA,2016_December,12,fall,0.156,EPI,86.3496503230245,125.6410256,-0.6,-4.5,1.256410256,1.455026455,0.352,St. Marys,2,local,4.5,-4.5,101,0.5513803139017037,-2.0209061177029706,-3.377273926267327,-2.0209061177029706,0.9503745381081349,132.2015905961744
2016_December_ADFA_2,ADFA,2016_December,12,fall,0.1675,EPI,44.3137042068421,64.47761194,-0.6,-2.8,0.6447761194,1.455026455,0.2755,St. Marys,2,local,2.8,-2.8,101,0.5513803139017037,-2.0209061177029706,-3.377273926267327,-2.0209061177029706,0.9503745381081349,67.84442275605626
2016_December_ADFA_2,ADFA,2016_December,12,fall,0.1695,EPI,38.1142397441839,55.45722714,-0.6,-0.7,0.5545722714,1.455026455,0.2635,St. Marys,2,local,0.7,-0.7,101,0.5513803139017037,-2.0209061177029706,-3.377273926267327,-2.0209061177029706,0.9503745381081349,58.3530228518075
2016_December_ADFA_2,ADFA,2016_December,12,fall,0.1605,EPI,92.9209855500531,135.2024922,-0.6,-1,1.352024922,1.455026455,0.3775,St. Marys,2,local,1,-1,101,0.5513803139017037,-2.0209061177029706,-3.377273926267327,-2.0209061177029706,0.9503745381081349,142.26232582907906
2016_December_ADFA_2,ADFA,2016_December,12,fall,0.538,EPI,41.1126199124039,59.8199496069074,-0.6,-6.7,0.598199496069074,1.455026455,0.826,St. Marys,2,local,6.7,-6.7,101,0.5513803139017037,-2.0209061177029706,-3.377273926267327,-2.0209061177029706,0.9503745381081349,62.943552471416275
2016_December_ADFA_2,ADFA,2016_December,12,fall,0.616,EPI,47.6404958698844,69.31818182,-0.6,-0.8,0.6931818182,1.455026455,1.043,St. Marys,2,local,0.8,-0.8,101,0.5513803139017037,-2.0209061177029706,-3.377273926267327,-2.0209061177029706,0.9503745381081349,72.93775142375803
2016_December_ADFA_2,ADFA,2016_December,12,fall,0.2715,EPI,72.904068331871,106.0773481,-0.6,-4.1,1.060773481,1.455026455,0.5595,St. Marys,2,local,4.1,-4.1,101,0.5513803139017037,-2.0209061177029706,-3.377273926267327,-2.0209061177029706,0.9503745381081349,111.6163615990419
2016_December_ADFA_2,ADFA,2016_December,12,fall,0.324,EPI,68.515151513173,99.69135802,-0.6,-4.2,0.9969135802,1.455026455,0.647,St. Marys,2,local,4.2,-4.2,101,0.5513803139017037,-2.0209061177029706,-3.377273926267327,-2.0209061177029706,0.9503745381081349,104.89691592374814
2016_December_ADFA_2,ADFA,2016_December,12,fall,0.128,EPI,52.9591013941547,77.0568935615224,-0.6,-2.8,0.770568935615224,1.455026455,0.346,St. Marys,2,local,2.8,-2.8,101,0.5513803139017037,-2.0209061177029706,-3.377273926267327,-2.0209061177029706,0.9503745381081349,81.08055347833273
2016_December_ADFA_2,ADFA,2016_December,12,fall,0.167,EPI,33.7463255333045,49.10179641,-0.6,-0.7,0.4910179641,1.455026455,0.249,St. Marys,2,local,0.7,-0.7,101,0.5513803139017037,-2.0209061177029706,-3.377273926267327,-2.0209061177029706,0.9503745381081349,51.665732236203
2016_December_ADFA_2,ADFA,2016_December,12,fall,0.274,EPI,46.1526211013119,67.15328467,-0.6,-3.6,0.6715328467,1.455026455,0.458,St. Marys,2,local,3.6,-3.6,101,0.5513803139017037,-2.0209061177029706,-3.377273926267327,-2.0209061177029706,0.9503745381081349,70.65981039820241
2016_December_ADFA_2,ADFA,2016_December,12,fall,0.189,EPI,100,145.5026455,-0.6,-0.6,1.455026455,1.455026455,0.464,St. Marys,2,local,0.6,-0.6,101,0.5513803139017037,-2.0209061177029706,-3.377273926267327,-2.0209061177029706,0.9503745381081349,153.10031957468595
2016_December_ADFA_2,ADFA,2016_December,12,fall,0.261,EPI,58.9843260203815,85.82375479,-0.6,-5.6,0.8582375479,1.455026455,0.485,St. Marys,2,local,5.6,-5.6,101,0.5513803139017037,-2.0209061177029706,-3.377273926267327,-2.0209061177029706,0.9503745381081349,90.30519163617876
2016_December_ADFA_2,ADFA,2016_December,12,fall,0.303,EPI,30.6210621098295,44.55445545,-0.6,-7.4,0.4455445545,1.455026455,0.438,St. Marys,2,local,7.4,-7.4,101,0.5513803139017037,-2.0209061177029706,-3.377273926267327,-2.0209061177029706,0.9503745381081349,46.880943947312
2016_December_ADFA_2,ADFA,2016_December,12,fall,0.285,EPI,67.5215311050822,98.24561404,-0.6,-2.2,0.9824561404,1.455026455,0.565,St. Marys,2,local,2.2,-2.2,101,0.5513803139017037,-2.0209061177029706,-3.377273926267327,-2.0209061177029706,0.9503745381081349,103.37567990360184
2016_December_ADFA_2,ADFA,2016_December,12,fall,0.0805,EPI,59.0342201027448,85.8963519997865,-0.6,-0.8,0.858963519997865,1.455026455,0.2575,St. Marys,2,local,0.8,-0.8,101,0.5513803139017037,-2.0209061177029706,-3.377273926267327,-2.0209061177029706,0.9503745381081349,90.38157963572579
2016_December_ADFA_2,ADFA,2016_December,12,fall,0.3505,EPI,33.9224484478531,49.35805991,-0.6,-9.5,0.4935805991,1.455026455,0.5235,St. Marys,2,local,9.5,-9.5,101,0.5513803139017037,-2.0209061177029706,-3.377273926267327,-2.0209061177029706,0.9503745381081349,51.935376981221246
2016_December_ADFA_3,ADFA,2016_December,12,fall,0.4435,EPI,64.8980559704797,87.93686584,-0.4,-3.9,0.8793686584,1.355,0.8335,St. Marys,3,local,3.9,-3.9,101,0.5513803139017037,-2.0209061177029706,-3.377273926267327,-2.0209061177029706,1.1346791893788937,77.49932021590642
2016_December_ADFA_3,ADFA,2016_December,12,fall,0.998,EPI,46.2178970479705,62.6252505,-0.4,-3,0.626252505,1.355,1.623,St. Marys,3,local,3,-3,101,0.5513803139017037,-2.0209061177029706,-3.377273926267327,-2.0209061177029706,1.1346791893788937,55.19203232614156
2016_December_ADFA_3,ADFA,2016_December,12,fall,0.5275,EPI,55.6828317121771,75.45023697,-0.4,-1.7,0.7545023697,1.355,0.9255,St. Marys,3,local,1.7,-1.7,101,0.5513803139017037,-2.0209061177029706,-3.377273926267327,-2.0209061177029706,1.1346791893788937,66.49477462550479
2016_December_ADFA_3,ADFA,2016_December,12,fall,0.18,EPI,99.6309963099631,135,-0.4,-0.7,1.35,1.355,0.423,St. Marys,3,local,0.7,-0.7,101,0.5513803139017037,-2.0209061177029706,-3.377273926267327,-2.0209061177029706,1.1346791893788937,118.97636024672047
2016_December_ADFA_3,ADFA,2016_December,12,fall,0.53,EPI,49.8503098228782,67.54716981,-0.4,-2.7,0.6754716981,1.355,0.888,St. Marys,3,local,2.7,-2.7,101,0.5513803139017037,-2.0209061177029706,-3.377273926267327,-2.0209061177029706,1.1346791893788937,59.529751177488585
2016_December_ADFA_3,ADFA,2016_December,12,fall,1.0635,EPI,34.0725551143911,46.16831218,-0.4,-8.5,0.4616831218,1.355,1.5545,St. Marys,3,local,8.5,-8.5,101,0.5513803139017037,-2.0209061177029706,-3.377273926267327,-2.0209061177029706,1.1346791893788937,40.68842771785727
2016_December_ADFA_3,ADFA,2016_December,12,fall,0.108,EPI,64.3706795317536,87.2222707655261,-0.4,-0.5,0.872222707655261,1.355,0.322,St. Marys,3,local,0.5,-0.5,101,0.5513803139017037,-2.0209061177029706,-3.377273926267327,-2.0209061177029706,1.1346791893788937,76.86954302323132
2016_December_ADFA_3,ADFA,2016_December,12,fall,0.3945,EPI,65.2888658154982,88.46641318,-0.4,-3.8,0.8846641318,1.355,0.7435,St. Marys,3,local,3.8,-3.8,101,0.5513803139017037,-2.0209061177029706,-3.377273926267327,-2.0209061177029706,1.1346791893788937,77.96601366102888
2016_December_ADFA_3,ADFA,2016_December,12,fall,0.2,EPI,100,135.5,-0.4,-0.4,1.355,1.355,0.471,St. Marys,3,local,0.4,-0.4,101,0.5513803139017037,-2.0209061177029706,-3.377273926267327,-2.0209061177029706,1.1346791893788937,119.41701343281943
2016_December_ADFA_3,ADFA,2016_December,12,fall,0.8955,EPI,23.322846295203,31.60245673,-0.4,-5.5,0.3160245673,1.355,1.1785,St. Marys,3,local,5.5,-5.5,101,0.5513803139017037,-2.0209061177029706,-3.377273926267327,-2.0209061177029706,1.1346791893788937,27.851446493258337
2016_December_ADFA_3,ADFA,2016_December,12,fall,0.4235,EPI,62.734983904059,85.00590319,-0.4,-6.2,0.8500590319,1.355,0.7835,St. Marys,3,local,6.2,-6.2,101,0.5513803139017037,-2.0209061177029706,-3.377273926267327,-2.0209061177029706,1.1346791893788937,74.91624415578728
2016_December_ADFA_3,ADFA,2016_December,12,fall,0.25,EPI,82.9520295202952,112.4,-0.4,-0.6,1.124,1.355,0.531,St. Marys,3,local,0.6,-0.6,101,0.5513803139017037,-2.0209061177029706,-3.377273926267327,-2.0209061177029706,1.1346791893788937,99.05883623504727
2016_December_ADFA_3,ADFA,2016_December,12,fall,0.92,EPI,27.3544039778598,37.06521739,-0.4,-7.1,0.3706521739,1.355,1.261,St. Marys,3,local,7.1,-7.1,101,0.5513803139017037,-2.0209061177029706,-3.377273926267327,-2.0209061177029706,1.1346791893788937,32.6658122727085
2016_December_ADFA_3,ADFA,2016_December,12,fall,0.032,EPI,35.0145444969282,47.4447077933377,-0.4,-9.5,0.474447077933377,1.355,0.132,St. Marys,3,local,9.5,-9.5,101,0.5513803139017037,-2.0209061177029706,-3.377273926267327,-2.0209061177029706,1.1346791893788937,41.81332330533727
2016_December_ADFA_3,ADFA,2016_December,12,fall,0.205,EPI,49.680496804428,67.31707317,-0.4,-0.7,0.6731707317,1.355,0.343,St. Marys,3,local,0.7,-0.7,101,0.5513803139017037,-2.0209061177029706,-3.377273926267327,-2.0209061177029706,1.1346791893788937,59.32696554243526
2016_December_ADFA_3,ADFA,2016_December,12,fall,0.2925,EPI,75.6930646494465,102.5641026,-0.4,-4,1.025641026,1.355,0.5925,St. Marys,3,local,4,-4,101,0.5513803139017037,-2.0209061177029706,-3.377273926267327,-2.0209061177029706,1.1346791893788937,90.39039718014222
2016_December_ADFA_3,ADFA,2016_December,12,fall,0.106,EPI,44.4737435637053,60.2619225288206,-0.4,-6.6,0.602619225288206,1.355,0.269,St. Marys,3,local,6.6,-6.6,101,0.5513803139017037,-2.0209061177029706,-3.377273926267327,-2.0209061177029706,1.1346791893788937,53.10921632554755
2016_December_ADFA_3,ADFA,2016_December,12,fall,0.309,EPI,52.783052103321,71.5210356,-0.4,-0.9,0.715210356,1.355,0.53,St. Marys,3,local,0.9,-0.9,101,0.5513803139017037,-2.0209061177029706,-3.377273926267327,-2.0209061177029706,1.1346791893788937,63.031944420474964
2016_December_ADFA_4,ADFA,2016_December,12,fall,0.573,EPI,64.1431064667115,68.23734729,-0.4,-0.4,0.68237347290000006,1.063829787,0.964,St. Marys,4,local,0.4,-0.4,101,0.5513803139017037,-2.0209061177029706,-3.377273926267327,-2.0209061177029706,0.8542308961590043,79.88161935704382
2016_December_ADFA_4,ADFA,2016_December,12,fall,0.5565,EPI,44.2551662261361,47.07996406,-0.4,-5.6,0.4707996406,1.063829787,0.8185,St. Marys,4,local,5.6,-5.6,101,0.5513803139017037,-2.0209061177029706,-3.377273926267327,-2.0209061177029706,0.8542308961590043,55.1138623897732
2016_December_ADFA_4,ADFA,2016_December,12,fall,0.345,EPI,86.3710145108016,91.88405797,-0.4,-0.5,0.9188405797,1.063829787,0.662,St. Marys,4,local,0.5,-0.5,101,0.5513803139017037,-2.0209061177029706,-3.377273926267327,-2.0209061177029706,0.8542308961590043,107.56349177154667
2016_December_ADFA_4,ADFA,2016_December,12,fall,0.2935,EPI,86.4735945676242,91.99318569,-0.4,-4.9,0.9199318569,1.063829787,0.5635,St. Marys,4,local,4.9,-4.9,101,0.5513803139017037,-2.0209061177029706,-3.377273926267327,-2.0209061177029706,0.8542308961590043,107.69124144729673
2016_December_ADFA_4,ADFA,2016_December,12,fall,0.748,EPI,66.1016042879424,70.32085561,-0.4,-2.5,0.7032085561,1.063829787,1.274,St. Marys,4,local,2.5,-2.5,101,0.5513803139017037,-2.0209061177029706,-3.377273926267327,-2.0209061177029706,0.8542308961590043,82.32066520444685
2016_December_ADFA_4,ADFA,2016_December,12,fall,0.434,EPI,63.0276497794661,67.05069124,-0.4,-1.2,0.6705069124,1.063829787,0.725,St. Marys,4,local,1.2,-1.2,101,0.5513803139017037,-2.0209061177029706,-3.377273926267327,-2.0209061177029706,0.8542308961590043,78.49246795156817
2016_December_ADFA_4,ADFA,2016_December,12,fall,0.5765,EPI,87.8855160689348,93.49522984,-0.4,-4.1,0.9349522984,1.063829787,1.1155,St. Marys,4,local,4.1,-4.1,101,0.5513803139017037,-2.0209061177029706,-3.377273926267327,-2.0209061177029706,0.8542308961590043,109.44959993884025
2016_December_ADFA_4,ADFA,2016_December,12,fall,0.538,EPI,50.3197026104703,53.53159851,-0.4,-8.7,0.5353159851,1.063829787,0.826,St. Marys,4,local,8.7,-8.7,101,0.5513803139017037,-2.0209061177029706,-3.377273926267327,-2.0209061177029706,0.8542308961590043,62.666427485474344
2016_December_ADFA_4,ADFA,2016_December,12,fall,0.348,EPI,61.8563218516084,65.8045977,-0.4,-7,0.658045977,1.063829787,0.577,St. Marys,4,local,7,-7,101,0.5513803139017037,-2.0209061177029706,-3.377273926267327,-2.0209061177029706,0.8542308961590043,77.03373642405847
2016_December_ADFA_4,ADFA,2016_December,12,fall,0.5575,EPI,48.0538116667718,51.12107623,-0.4,-5.1,0.5112107623,1.063829787,0.8425,St. Marys,4,local,5.1,-5.1,101,0.5513803139017037,-2.0209061177029706,-3.377273926267327,-2.0209061177029706,0.8542308961590043,59.844564812467816
2016_December_ADFA_4,ADFA,2016_December,12,fall,0.3365,EPI,56.4279346316141,60.02971768,-0.4,-6.5,0.6002971768,1.063829787,0.5385,St. Marys,4,local,6.5,-6.5,101,0.5513803139017037,-2.0209061177029706,-3.377273926267327,-2.0209061177029706,0.8542308961590043,70.27340962486825
2016_December_ADFA_4,ADFA,2016_December,12,fall,0.397,EPI,71.9798488778356,76.5743073,-0.4,-1.8,0.765743073,1.063829787,0.701,St. Marys,4,local,1.8,-1.8,101,0.5513803139017037,-2.0209061177029706,-3.377273926267327,-2.0209061177029706,0.8542308961590043,89.64122890463408
2016_December_ADFA_4,ADFA,2016_December,12,fall,0.141,EPI,100,106.3829787,-0.4,-0.8,1.063829787,1.063829787,0.291,St. Marys,4,local,0.8,-0.8,101,0.5513803139017037,-2.0209061177029706,-3.377273926267327,-2.0209061177029706,0.8542308961590043,124.53656169350043
2016_December_ADFA_4,ADFA,2016_December,12,fall,0.633,EPI,43.6587677818049,46.44549763,-0.4,-8.85,0.4644549763,1.063829787,0.927,St. Marys,4,local,8.85,-8.85,101,0.5513803139017037,-2.0209061177029706,-3.377273926267327,-2.0209061177029706,0.8542308961590043,54.37112827320959
2016_December_ADFA_4,ADFA,2016_December,12,fall,0.503,EPI,55.6898608442518,59.2445328,-0.4,-7.72,0.592445328,1.063829787,0.801,St. Marys,4,local,7.72,-7.72,101,0.5513803139017037,-2.0209061177029706,-3.377273926267327,-2.0209061177029706,0.8542308961590043,69.35423790732615
2016_December_ADFA_4,ADFA,2016_December,12,fall,0.459,EPI,70.2440087344537,74.72766885,-0.4,-0.5,0.7472766885,1.063829787,0.802,St. Marys,4,local,0.5,-0.5,101,0.5513803139017037,-2.0209061177029706,-3.377273926267327,-2.0209061177029706,0.8542308961590043,87.47947327357075
2016_December_ADFA_5,ADFA,2016_December,12,fall,0.363,EPI,72.902494332008,66.66666667,-0.4,-5.9,0.6666666667,0.9144634526,0.605,St. Marys,5,local,5.9,-5.9,101,0.5513803139017037,-2.0209061177029706,-3.377273926267327,-2.0209061177029706,0.7562293008341269,88.15668289560605
2016_December_ADFA_5,ADFA,2016_December,12,fall,0.3655,EPI,87.9616963054123,80.4377565,-0.4,-0.6,0.804377565,0.9144634526,0.6595,St. Marys,5,local,0.6,-0.6,101,0.5513803139017037,-2.0209061177029706,-3.377273926267327,-2.0209061177029706,0.7562293008341269,106.36688688374878
2016_December_ADFA_5,ADFA,2016_December,12,fall,0.2775,EPI,83.9363853653915,76.75675676,-0.4,-5.1,0.7675675676,0.9144634526,0.4905,St. Marys,5,local,5.1,-5.1,101,0.5513803139017037,-2.0209061177029706,-3.377273926267327,-2.0209061177029706,0.7562293008341269,101.49931598172233
2016_December_ADFA_5,ADFA,2016_December,12,fall,0.5995,EPI,55.9993305084,51.20934112,-0.4,-8.91,0.5120934112,0.9144634526,0.9065,St. Marys,5,local,8.91,-8.91,101,0.5513803139017037,-2.0209061177029706,-3.377273926267327,-2.0209061177029706,0.7562293008341269,67.71668469274556
2016_December_ADFA_5,ADFA,2016_December,12,fall,0.5045,EPI,64.8102452006074,59.26660059,-0.4,-3.6,0.5926660059,0.9144634526,0.8035,St. Marys,5,local,3.6,-3.6,101,0.5513803139017037,-2.0209061177029706,-3.377273926267327,-2.0209061177029706,0.7562293008341269,78.37120371377897
2016_December_ADFA_5,ADFA,2016_December,12,fall,0.305,EPI,64.1780974659369,58.68852459,-0.4,-4.5,0.5868852459,0.9144634526,0.484,St. Marys,5,local,4.5,-4.5,101,0.5513803139017037,-2.0209061177029706,-3.377273926267327,-2.0209061177029706,0.7562293008341269,77.60678477449379
2016_December_ADFA_5,ADFA,2016_December,12,fall,0.4225,EPI,96.2830576002398,88.04733728,-0.4,-0.4,0.8804733728,0.9144634526,0.7945,St. Marys,5,local,0.4,-0.4,101,0.5513803139017037,-2.0209061177029706,-3.377273926267327,-2.0209061177029706,0.7562293008341269,116.42941788011004
2016_December_ADFA_5,ADFA,2016_December,12,fall,0.1955,EPI,85.5811889993951,78.26086957,-0.4,-4.7,0.7826086957,0.9144634526,0.3485,St. Marys,5,local,4.7,-4.7,101,0.5513803139017037,-2.0209061177029706,-3.377273926267327,-2.0209061177029706,0.7562293008341269,103.48827992207872
2016_December_ADFA_5,ADFA,2016_December,12,fall,0.295,EPI,65.9829355437272,60.33898305,-0.4,-0.4,0.6033898305,0.9144634526,0.473,St. Marys,5,local,0.4,-0.4,101,0.5513803139017037,-2.0209061177029706,-3.377273926267327,-2.0209061177029706,0.7562293008341269,79.78926892074352
2016_December_ADFA_5,ADFA,2016_December,12,fall,0.6495,EPI,85.529947159312,78.21401078,-0.4,-1.4,0.7821401078,0.9144634526,1.1575,St. Marys,5,local,1.4,-1.4,101,0.5513803139017037,-2.0209061177029706,-3.377273926267327,-2.0209061177029706,0.7562293008341269,103.42631618971829
2016_December_ADFA_5,ADFA,2016_December,12,fall,0.5745,EPI,85.4653262498246,78.15491732,-0.4,-1,0.7815491732,0.9144634526,1.0235,St. Marys,5,local,1,-1,101,0.5513803139017037,-2.0209061177029706,-3.377273926267327,-2.0209061177029706,0.7562293008341269,103.34817393850584
2016_December_ADFA_5,ADFA,2016_December,12,fall,0.51,EPI,82.3369347740732,75.29411765,-0.4,-2.6,0.7529411765,0.9144634526,0.894,St. Marys,5,local,2.6,-2.6,101,0.5513803139017037,-2.0209061177029706,-3.377273926267327,-2.0209061177029706,0.7562293008341269,99.56519479865432
2016_December_ADFA_5,ADFA,2016_December,12,fall,0.725,EPI,47.9648135147353,43.86206897,-0.4,-7.65,0.4386206897,0.9144634526,1.043,St. Marys,5,local,7.65,-7.65,101,0.5513803139017037,-2.0209061177029706,-3.377273926267327,-2.0209061177029706,0.7562293008341269,58.00101757710233
2016_December_ADFA_5,ADFA,2016_December,12,fall,0.628,EPI,57.462953331373,52.5477707,-0.4,-7.3,0.525477707,0.9144634526,0.958,St. Marys,5,local,7.3,-7.3,101,0.5513803139017037,-2.0209061177029706,-3.377273926267327,-2.0209061177029706,0.7562293008341269,69.48655737358945
2016_December_ADFA_5,ADFA,2016_December,12,fall,0.3415,EPI,69.807073632633,63.83601757,-0.4,-6.4,0.6383601757,0.9144634526,0.5595,St. Marys,5,local,6.4,-6.4,101,0.5513803139017037,-2.0209061177029706,-3.377273926267327,-2.0209061177029706,0.7562293008341269,84.41357336933173
2016_December_ADFA_5,ADFA,2016_December,12,fall,0.3215,EPI,100,91.44634526,-0.4,-2,0.9144634526,0.9144634526,0.6155,St. Marys,5,local,2,-2,101,0.5513803139017037,-2.0209061177029706,-3.377273926267327,-2.0209061177029706,0.7562293008341269,120.92409690967271
2016_December_ADFA_6,ADFA,2016_December,12,fall,0.3265,EPI,58.6763016799729,56.04900459,-0.2,-5.8,0.5604900459,0.9552238806,0.5095,St. Marys,6,local,5.8,-5.8,101,0.5513803139017037,-2.0209061177029706,-3.377273926267327,-2.0209061177029706,0.8671636594007414,64.63486330680992
2016_December_ADFA_6,ADFA,2016_December,12,fall,0.54,EPI,79.8726851888129,76.2962963,-0.2,-4.9,0.762962963,0.9552238806,0.952,St. Marys,6,local,4.9,-4.9,101,0.5513803139017037,-2.0209061177029706,-3.377273926267327,-2.0209061177029706,0.8671636594007414,87.9837334889299
2016_December_ADFA_6,ADFA,2016_December,12,fall,0.9525,EPI,64.2962598374553,61.41732283,-0.2,-5.9,0.6141732283,0.9552238806,1.5375,St. Marys,6,local,5.9,-5.9,101,0.5513803139017037,-2.0209061177029706,-3.377273926267327,-2.0209061177029706,0.8671636594007414,70.82552660525789
2016_December_ADFA_6,ADFA,2016_December,12,fall,0.707,EPI,50.788985153435,48.51485149,-0.2,-9.8,0.4851485149,0.9552238806,1.05,St. Marys,6,local,9.8,-9.8,101,0.5513803139017037,-2.0209061177029706,-3.377273926267327,-2.0209061177029706,0.8671636594007414,55.94659204645001
