"","lfm","mpa","fh","fd","gd","tti","prop_ignite","temp_change","lower_temp_max","ignition","sample_wt","dry_wt","fresh_wt","water_wt","location","site","year_month","spp","individual","bins10lfm","bins5lfm","bins20lfm","notes_flam","dw_flam_sample","ww_flam_sample","excess_water","mpa_scaled","dw_flam_sample_scaled","sample_wt_scaled","ww_flam_sample_scaled","lfm_scaled","excess_water_scaled","Species","F.Group"
"14",47.46774194,-5.401,31,18,189,88,100,107.6,345,1,4.4172,12.8732,13.1675,0.2943,"seki",2,"2020_october","arpa","2020_october_arpa_2.3","(40,50]","(45,50]","(40,60]",NA,4.31847344142776,0.0987265585722423,-4.21974688285552,-1.00146166216404,0.4486520526979,0.250655098709282,-0.54467208484108,-1.65282945760943,-0.736083111704679,"Ar. patula","Angiosperm"
"15",61.7900273178667,-7.407,33,6,158,93,50,2.30000000000001,251.8,1,3.2584,12.6245,13.1913,13.1913,"seki",2,"2020_october","arpa","2020_october_arpa_2.3","(60,70]","(60,65]","(60,80]",NA,3.11839400210745,3.2584,0.14000599789255,-1.90485341799516,-0.119181421685565,-0.20130446424552,4.71180555224799,-1.26770579839382,1.77970576649611,"Ar. patula","Angiosperm"
"16",77.61262291,-4.467,35,17,128,50,60,40.7,276.5,1,3.0901,12.5468,12.8862,0.3394,"seki",2,"2020_october","arpa","2020_october_arpa_2.3","(70,80]","(75,80]","(60,80]",NA,3.00871216339961,0.0813878366003942,-2.92732432679921,-0.58083957844207,-0.171078835731352,-0.266945467391269,-0.57351702910201,-0.842239069309637,0.00970739096812001,"Ar. patula","Angiosperm"
"17",102.5211535,-2.783,34,21,129,90,100,13.9,272.3,1,3.462,12.7815,13.3752,0.5937,"seki",1,"2020_october","cade","2020_october_cade_1.6","(100,110]","(100,105]","(100,120]",NA,3.30832832406244,0.153671675937556,-3.15465664812489,0.177541137818952,-0.0293114827409765,-0.121895621461953,-0.453264606805154,-0.172453194121776,-0.121474384992671,"Ca. decurrens","Gymnosperm"
"18",116.957606,-1.784,38,24,94,68,100,24.8,297.7,1,2.9789,7.5889,8.011,0.4221,"seki",1,"2020_october","cade","2020_october_cade_1.6","(110,120]","(115,120]","(100,120]",NA,2.82194160654101,0.156958393458994,-2.66498321308201,0.627435636360971,-0.259451797335977,-0.310316112369327,-0.447796776831225,0.215740398325722,0.161090938209745,"Ca. decurrens","Gymnosperm"
"19",127.8839221,-0.2,46,10,83,72,100,52.4,321,1,3.5253,7.7446,8.4541,0.7095,"seki",1,"2020_october","cade","2020_october_cade_1.6","(120,130]","(125,130]","(120,140]",NA,3.22944351024946,0.295856489750535,-2.93358702049893,1.34078186828345,-0.0666368767406327,-0.0972071158224647,-0.216723930056017,0.509547058866179,0.0060935129368896,"Ca. decurrens","Gymnosperm"
"20",129.0838068,-0.673,30,22,100,83,100,107.6,376,1,2.248,8.0529,9.1434,1.0905,"seki",1,"2020_october","cade","2020_october_cade_1.6","(120,130]","(125,130]","(120,140]",NA,1.97988923157688,0.268110768423125,-1.71177846315375,1.12776875736216,-0.657880026353499,-0.595384497391475,-0.262882106331517,0.541811741080579,0.71113631328298,"Ca. decurrens","Gymnosperm"
"21",120.4025257,-0.612,40,16,69,96,100,37.9,288.6,1,3.294,12.7547,13.3649,0.6102,"seki",1,"2020_october","cade","2020_october_cade_1.6","(120,130]","(120,125]","(120,140]",NA,3.14360614744592,0.150393852554078,-2.99321229489184,1.15523979280867,-0.107251961338912,-0.187419617471969,-0.458717640364785,0.308373664984283,-0.028313162459727,"Ca. decurrens","Gymnosperm"
"22",48.72182345,-1.949,43,15,104,61,100,39.9,269.3,1,2.2758,8.0021,8.389,0.3869,"seki",1,"2020_october","cade","2020_october_cade_1.6","(40,50]","(45,50]","(40,60]",NA,2.170840288473,0.104959711527,-2.065880576946,0.55312873720238,-0.567529005811115,-0.58454183614696,-0.534302523010528,-1.61910743299231,0.506802218210812,"Ca. decurrens","Gymnosperm"
"23",56.2259798076715,-6.379,47,12,172,105,100,33,265.4,1,2.055,7.625,14.0608,14.0608,"seki",1,"2020_october","cade","2020_october_cade_1.6","(50,60]","(55,60]","(40,60]",NA,1.11440138541193,2.055,0.940598614588075,-1.44189891899496,-1.06739705882833,-0.670659088045839,2.70981221156446,-1.41732202797177,2.2416865383757,"Ca. decurrens","Gymnosperm"
