hydration,bins10lfm,bins20lfm,bins5lfm,bottle_wt,dry_wt,dw_flam_sample,fd,fh,fh_old,fresh_wt,gd,gdw_gfw,gdw_gww,gdw_gww_saturated,glow_pre_ignition,gr,gti,gww_gdw,gww_gdw_saturated,ignition,ignition_num,ignition2,individual,lfm,lfm_NAs_imputed,lfm_notes,lfm_outliers_out,max_mpa_sample,model,model_spp_gr,model_spp_gr_sample,month,mpa,n,notes_flam,pfg,prop_ignite,prop_new,prop_new_flam,prop_new_lfm,ros,round,RWC,RWD,sample,sample_length,sample_wt,site,spp,start_temp,surface_temp_max_within_5_secs_of_flame_end,surface_temp_start,taller_temp_max,taller_temp_start,temp_at_ignition_lower,temp_at_ignition_taller,temp_change,total,ttfg,tti,water_wt,ww_flam_sample,year,year_month,flam_index,mean_wt,dry_norm_fh,dry_norm_gd,dry_norm_fd,dry_norm_pfg,dry_norm_ttfg,dry_norm_tti,dry_norm_gti
hydrated,"(120,130]","(120,140]","(125,130]",12.0804,16.9665,6.494927503914734,35,60,above 52,23.1178,80,0.7339149919109951,2.758197454196674,1,NA,"(120,130]",NA,1.258938621804711,1.7465037827923886,1,1,1,2021_August_PIJE_1.1,125.89386218047109,125.89386218047109,NA,125.89386218047109,1,HP,"2021_August_HP_PIJE_(120,130]","2021_August_HP_PIJE_(120,130]_1.1",August,2.48,19,NA,45,84,NA,NA,50,0.2857142857142857,4,72.08336072378059,27.916639276219414,1.1,13,8.8497,1,PIJE,NA,414.5,258.5,242.2,190.2,268.5,193.6,52,16,252,252,6.151299999999999,2.3547724960852667,2021,2021_August,2.1118041256210662,8.467408333333333,9.237978401427233,12.31730453523631,5.388820734165886,6.928483801070425,38.79950928599438,38.79950928599438,NA
moderate,"(60,70]","(60,80]","(65,70]",7.1987,8.4044,1.6780552978804144,10,46,46,9.2235,60,0.9111942321244648,10.260529849835201,1,NA,"(60,70]",NA,0.6793563904785586,1.4494177073102295,1,1,1,2021_August_QUKE_1.1,67.93563904785586,67.93563904785586,NA,67.93563904785586,1,HP,"2021_August_HP_QUKE_(60,70]","2021_August_HP_QUKE_(60,70]_1.1",August,6.06,8,NA,50,25,NA,NA,NA,1,4,46.87098736631834,53.12901263368166,1.1,NA,1.8416,1,QUKE,NA,362.8,243.9,268.6,186.6,282.1,177.1,82.00000000000003,2,227,227,0.8190999999999988,0.1635447021195855,2021,2021_August,2.1089745240359727,1.815675,27.412684229240558,35.755675081618115,5.959279180269686,29.79639590134843,135.27563739212187,135.27563739212187,NA
hydrated,"(100,110]","(100,120]","(105,110]",7.1785,8.4507,2.9558046938796285,NA,NA,NA,9.8213,NA,0.8604461731135388,6.165693856705086,1,NA,"(100,110]",NA,1.0773463291935244,1.1533327065902022,1,1,1,2021_August_CADE_1.1,107.73463291935244,107.73463291935244,NA,107.73463291935244,1,HP,"2021_August_HP_CADE_(100,110]","2021_August_HP_CADE_(100,110]_1.1",August,2.91,15,NA,NA,33,NA,75,75,NA,5,93.41158219458377,6.588417805416228,1.1,NA,3.4352,1,CADE,NA,321.8,268,237.9,199.5,296.1,223,38.400000000000006,5,NA,NA,1.3706000000000014,0.4793953061203715,2021,2021_August,NA,4.1872,NA,NA,NA,NA,NA,NA,NA
hydrated,"(100,110]","(100,120]","(105,110]",12.1272,15.9291,5.781905789027432,27,60,above 52,20.05,96,0.7944688279301746,3.8654420150937896,1,NA,"(100,110]",NA,1.0839054157131962,1.7465037827923886,1,1,1,2021_August_PIJE_1.1,108.39054157131962,108.39054157131962,NA,108.39054157131962,1,HP,"2021_August_HP_PIJE_(100,110]","2021_August_HP_PIJE_(100,110]_1.1",August,2.81,20,NA,69,70,NA,NA,NA,0.37037037037037035,5,62.06144105684097,37.93855894315903,1.1,10,7.2777,1,PIJE,NA,337.1,285.8,257.1,220.6,286.1,223.1,36.50000000000003,14,221,NA,4.120900000000001,1.4957942109725684,2021,2021_August,NA,8.467408333333333,10.377201253238084,16.603522005180935,4.669740563957138,11.933781441223797,38.22269128276027,NA,NA
moderate,"(60,70]","(60,80]","(60,65]",7.176,8.4974,2.002465555698814,27,42,42,9.3072,185,0.9129920921437168,10.493208199555458,1,1,"(60,70]",2,0.6128348721053419,1.4494177073102295,1,1,1,2021_August_QUKE_1.1,61.28348721053419,61.28348721053419,NA,61.28348721053419,1,HP,"2021_August_HP_QUKE_(60,70]","2021_August_HP_QUKE_(60,70]_1.1",August,7.61,8,sample being scorched by pilot flame,156,25,NA,NA,NA,0.37037037037037035,5,42.28145337361829,57.71854662638171,1.1,NA,2.1933,1,QUKE,NA,333,246.4,277,197.1,246.3,193.7,79.9,2,2,4,0.8097999999999992,0.1908344443011858,2021,2021_August,20.597754560551724,1.815675,20.974143540433072,92.38610845190757,13.483377990278402,77.90396172160855,0.9987687400206224,1.9975374800412449,0.9987687400206224
hydrated,"(110,120]","(100,120]","(110,115]",12.1915,17.1798,6.972085614980042,20,60,above 52,22.8731,121,0.7510918939715211,3.017546941141341,1,NA,"(110,120]",NA,1.141330713870457,1.7465037827923886,1,1,1,2021_August_PIJE_1.1,114.13307138704569,114.13307138704569,NA,114.13307138704569,1,HP,"2021_August_HP_PIJE_(110,120]","2021_August_HP_PIJE_(110,120]_1.1",August,2.64,21,NA,101,71,NA,20,20,0.5,6,65.34945558753077,34.65054441246923,1.1,12,9.2826,1,PIJE,NA,471.5,244.8,305.1,196.7,263.1,203.9,108.40000000000003,15,323,323,5.693300000000001,2.3105143850199585,2021,2021_August,1.8246346601881507,8.467408333333333,8.60574630223782,17.35492170951294,2.8685821007459404,14.486339608766999,46.32760092704694,46.32760092704694,NA
moderate,"(80,90]","(80,100]","(80,85]",7.2222,8.9301,4.59471805429427,NA,NA,NA,10.351,NA,0.8627282388175054,6.284819480610874,1,NA,"(80,90]",NA,0.8319573745535463,1.1533327065902022,1,1,1,2021_August_CADE_1.1,83.19573745535463,83.19573745535463,NA,83.19573745535463,1,HP,"2021_August_HP_CADE_(80,90]","2021_August_HP_CADE_(80,90]_1.1",August,3.73,10,NA,NA,60,NA,60,75,NA,7,72.13507167530231,27.864928324697686,1.1,NA,5.3258,1,CADE,NA,383,298.9,264.5,221.8,306.5,221.2,42.69999999999999,6,NA,NA,1.4209000000000014,0.7310819457057303,2021,2021_August,NA,4.1872,NA,NA,NA,NA,NA,NA,NA
dry,"(20,30]","(20,40]","(25,30]",12.1687,16.3232,6.517954519338284,12,60,above 56,17.4395,86,0.9359901373319189,14.622592493057436,1,NA,"(20,30]",NA,0.26869659405463925,1.7465037827923886,1,1,1,2021_August_PIJE_1.1,26.869659405463924,26.869659405463924,NA,26.869659405463924,1,HP,"2021_August_HP_PIJE_(20,30]","2021_August_HP_PIJE_(20,30]_1.1",August,1.22,1,NA,74,100,NA,40,40,0.8333333333333334,7,15.384827488036418,84.61517251196358,1.1,11,6.9637,1,PIJE,NA,458.2,248.4,334.6,212.8,260.2,219.6,121.80000000000001,1,298,298,1.116299999999999,0.44574548066171626,2021,2021_August,1.9107705196685505,8.467408333333333,9.205341924676597,13.194323425369788,1.8410683849353193,11.353255040434469,45.71986489256043,45.71986489256043,NA
dry,"(20,30]","(20,40]","(20,25]",12.2841,13.3662,2.0382353995057656,12,46,46,13.5968,NA,0.9830401270887267,57.96270598438834,1,NA,"(20,30]",NA,0.21310414933924876,1.4494177073102295,1,1,1,2021_August_QUKE_1.1,21.310414933924875,21.310414933924875,NA,21.310414933924875,1,HP,"2021_August_HP_QUKE_(20,30]","2021_August_HP_QUKE_(20,30]_1.1",August,9.37,5,sample being SCORCHED by pilot flame,NA,60,NA,NA,NA,0.8333333333333334,7,14.702742229824056,85.29725777017595,1.1,NA,2.0734,1,QUKE,NA,278.2,232.5,276.3,181.9,232.3,188.3,94.4,3,2,2,0.2306000000000008,0.03516460049423431,2021,2021_August,23.87255416139297,1.815675,22.56854140162326,NA,5.8874455830321555,NA,0.9812409305053592,0.9812409305053592,NA
hydrated,"(130,140]","(120,140]","(130,135]",12.1964,13.5749,5.072488747553816,17,11,11,15.4322,142,0.8796477495107632,7.308943089430892,1,1,"(130,140]",66,1.3473340587595226,1.429940703435949,1,1,1,2021_August_ARPA_1.1,134.73340587595226,134.73340587595226,NA,134.73340587595226,1,HP,"2021_August_HP_ARPA_(130,140]","2021_August_HP_ARPA_(130,140]_1.1",August,0.37,11,sample touching pilot flame; thermocouple turned off for max temps,59,18,NA,40,50,0.5882352941176471,8,94.22307201424968,5.776927985750319,1.1,NA,5.7665,1,ARPA,NA,NA,284.9,NA,217.6,279.9,211.9,NA,2,11,77,1.8573000000000004,0.6940112524461837,2021,2021_August,3.3476496886244647,5.7665,2.168560749455521,27.994147856607633,3.3514120673403505,11.631371292534158,2.168560749455521,15.179925246188647,13.011364496733126
hydrated,"(90,100]","(80,100]","(95,100]",7.1299,8.6368,4.122054576472921,NA,NA,NA,10.082,NA,0.8566554255108112,5.976197066150006,1,NA,"(90,100]",NA,0.9590550136040895,1.1533327065902022,1,1,1,2021_August_CADE_1.1,95.90550136040895,95.90550136040895,NA,95.90550136040895,1,HP,"2021_August_HP_CADE_(90,100]","2021_August_HP_CADE_(90,100]_1.1",August,1.82,13,sample loaded shortly before video start,NA,46,NA,20,5,NA,8,83.15510417106877,16.84489582893123,1.1,started video 5seconds late,4.8118,1,CADE,NA,423.4,262.6,271.7,207,298.9,221.2,64.69999999999999,6,NA,NA,1.4452000000000016,0.6897454235270786,2021,2021_August,NA,4.1872,NA,NA,NA,NA,NA,NA,NA
hydrated,"(160,170]","(160,180]","(165,170]",12.1018,14.0139,6.464493508053984,16,60,above 56,17.2275,84,0.8134610361340879,4.3608103061986565,1,NA,"(160,170]",NA,1.680665237173789,1.7465037827923886,1,1,1,2021_August_PIJE_1.1,168.06652371737889,168.06652371737889,NA,168.06652371737889,1,HP,"2021_August_HP_PIJE_(160,170]","2021_August_HP_PIJE_(160,170]_1.1",August,1.81,1,NA,68,100,NA,NA,100,0.625,8,96.23026607401135,3.769733925988646,1.1,11,7.9469,1,PIJE,NA,373.7,234.4,192.4,151.2,242.9,156.9,41.20000000000002,1,276,276,3.2135999999999996,1.4824064919460165,2021,2021_August,1.9989187039076952,8.467408333333333,9.281469603960032,12.994057445544044,2.475058561056008,10.518998884488035,42.69476017821614,42.69476017821614,NA
hydrated,"(120,130]","(120,140]","(125,130]",12.1676,13.5899,4.527032161249991,18,60,above 52,15.4369,214,0.88035162500242925,7.3578234975636185,1,NA,"(120,130]",NA,1.298600857765591,1.5801950858130633,1,1,1,2021_August_ABCO_1.1,129.8600857765591,129.8600857765591,NA,129.8600857765591,1,HP,"2021_August_HP_ABCO_(120,130]","2021_August_HP_ABCO_(120,130]_1.1",August,3.07,13,NA,196,85,NA,75,75,0.5555555555555556,9,82.17978080202782,17.82021919797218,1.1,NA,5.1423,1,ABCO,NA,293.2,236.3,243.1,193.1,243.1,184.9,50,11,176,176,1.8469999999999995,0.6152678387500083,2021,2021_August,2.658914151369823,7.1123666666666665,13.253716311887867,47.27158817906673,3.9761148935663604,43.29547328550037,38.877567848204414,38.877567848204414,NA
dry,"(50,60]","(40,60]","(55,60]",12.0828,14.8183,4.045441213698181,NA,NA,NA,16.4489,NA,0.9008687511018976,9.08763645283946,1,NA,"(50,60]",NA,0.596088466459513,1.1533327065902022,1,1,1,2021_August_CADE_1.1,59.608846645951296,59.608846645951296,NA,59.608846645951296,1,HP,"2021_August_HP_CADE_(50,60]","2021_August_HP_CADE_(50,60]_1.1",August,6.24,11,NA,NA,55,NA,50,50,NA,9,51.683999166366554,48.316000833633446,1.1,NA,4.4906,1,CADE,NA,306,262,264.4,208.2,278.5,206.4,56.19999999999999,6,NA,NA,1.6305999999999976,0.4451587863018185,2021,2021_August,NA,4.1872,NA,NA,NA,NA,NA,NA,NA
hydrated,"(110,120]","(100,120]","(115,120]",12.1277,14.3302,6.395203511591086,22,60,above 52,16.9268,121,0.8465982938299028,5.518832319186627,1,NA,"(110,120]",NA,1.178933030646993,1.7465037827923886,1,1,1,2021_August_PIJE_1.1,117.8933030646993,117.8933030646993,NA,117.8933030646993,1,HP,"2021_August_HP_PIJE_(110,120]","2021_August_HP_PIJE_(110,120]_1.1",August,3.27,21,NA,99,71,NA,NA,NA,0.45454545454545453,9,67.50246075975066,32.49753924024934,1.1,11,7.554,1,PIJE,NA,431,237.6,280.4,188.5,259.8,184.2,91.89999999999998,15,302,302,2.5966000000000005,1.158796488408914,2021,2021_August,1.8960685389470628,8.467408333333333,9.382031375741533,18.92042994107876,3.4400781711052284,15.48035176997353,47.22289125789905,47.22289125789905,NA
hydrated,"(110,120]","(100,120]","(110,115]",12.1126,14.2404,6.5509780437921075,25,60,above 52,16.624,254,0.8566169393647738,5.974324551099179,1,1,"(110,120]",178,1.1202180656076703,1.6364993468930766,1,1,1,2021_August_ABCO_1.2,112.02180656076703,112.02180656076703,NA,112.02180656076703,1,HP,"2021_August_HP_ABCO_(110,120]","2021_August_HP_ABCO_(110,120]_1.2",August,4.17,20,sample touching pilot flame,51,70,NA,20,NA,0.4,10,68.4520936555474,31.5479063444526,1.2,NA,7.6475,1,ABCO,NA,316.9,270.9,249.5,221.6,275.2,206.9,27.900000000000006,14,161,339,2.3835999999999995,1.0965219562078925,2021,2021_August,1.7759378806833286,7.048614285714286,9.158937734016328,38.77283640733579,3.8162240558401366,7.785097073913879,24.57648291961048,51.74799819719225,27.171515277581772
hydrated,"(90,100]","(80,100]","(95,100]",12.176,13.4289,4.613099386595365,28,52,52,14.6233,135,0.9183221297518344,11.243218352310786,1,NA,"(90,100]",NA,0.9533083246867264,1.554122524182408,1,1,1,2021_August_ARPA_1.2,95.33083246867264,95.33083246867264,NA,95.33083246867264,1,HP,"2021_August_HP_ARPA_(90,100]","2021_August_HP_ARPA_(90,100]_1.2",August,3.33,11,NA,107,27,NA,40,40,0.35714285714285715,10,61.340615675603985,38.659384324396015,1.2,NA,5.0234,1,ARPA,NA,340.7,272.7,251.4,217.9,287.8,190.6,33.5,3,119,119,1.1944,0.410300613404635,2021,2021_August,3.3618644795666124,4.8308,11.272247927521434,29.264489811834494,6.06967196097308,23.194817850861412,25.79610583413559,25.79610583413559,NA
dry,"(30,40]","(20,40]","(35,40]",7.25,8.9145,3.149775065963061,NA,NA,NA,9.5508,NA,0.933377308707124,14.009900990099004,1,NA,"(30,40]",NA,0.3822769600480626,1.1221556221556224,1,1,1,2021_August_CADE_1.2,38.22769600480626,38.22769600480626,NA,38.22769600480626,1,HP,"2021_August_HP_CADE_(30,40]","2021_August_HP_CADE_(30,40]_1.2",August,10,2,NA,NA,100,NA,40,NA,NA,11,34.066305287828236,65.93369471217176,1.2,NA,3.3746,1,CADE,NA,268,249.9,254.1,206.2,250.8,207.6,47.900000000000006,2,NA,NA,0.6363000000000003,0.22482493403693926,2021,2021_August,NA,5.6298125,NA,NA,NA,NA,NA,NA,NA
hydrated,"(90,100]","(80,100]","(95,100]",12.1263,15.4717,9.346430576369956,19,60,above 56,18.6703,147,0.828679774829542,4.8370224473207015,1,NA,"(90,100]",NA,0.9561188497638553,1.4788906772316452,1,1,1,2021_August_PIJE_1.2,95.61188497638553,95.61188497638553,NA,95.61188497638553,1,HP,"2021_August_HP_PIJE_(90,100]","2021_August_HP_PIJE_(90,100]_1.2",August,4.28,23,NA,128,65,NA,95,100,0.5263157894736842,11,64.6510837132077,35.3489162867923,1.2,14,11.2787,1,PIJE,NA,324.3,225.7,200.9,170.9,245,168.5,30,15,318,318,3.1986000000000008,1.9322694236300446,2021,2021_August,1.8408193405927886,15.214233333333334,6.419563009615088,15.727929373556966,2.032861619711445,13.695067753845523,34.02368395095997,34.02368395095997,NA
hydrated,"(90,100]","(80,100]","(90,95]",12.2282,16.5038,13.33701531238679,28,60,above 52,20.4266,124,0.8079562922855491,4.207147955541957,1,NA,"(90,100]",NA,0.917485265225934,1.4788906772316452,1,1,1,2021_August_PIJE_1.2,91.7485265225934,91.7485265225934,NA,91.7485265225934,1,HP,"2021_August_HP_PIJE_(90,100]","2021_August_HP_PIJE_(90,100]_1.2",August,3.63,23,NA,96,65,NA,60,60,0.35714285714285715,12,62.03874832339782,37.96125167660218,1.2,16,16.5071,1,PIJE,NA,596.7,265.6,308.9,203.4,272.2,199.9,105.49999999999997,15,234,234,3.9228000000000023,3.170084687613212,2021,2021_August,2.2108937123278847,15.214233333333334,4.4987576751355185,9.297432528613404,2.099420248396575,7.19801228021683,17.54515493302852,17.54515493302852,NA
moderate,"(60,70]","(60,80]","(60,65]",12.1771,14.9139,8.340201082948065,NA,NA,NA,16.6767,NA,0.8942956340283149,8.460347174948943,1,NA,"(60,70]",NA,0.6441099093832213,1.1221556221556224,1,1,1,2021_August_CADE_1.2,64.41099093832213,64.41099093832213,NA,64.41099093832213,1,HP,"2021_August_HP_CADE_(60,70]","2021_August_HP_CADE_(60,70]_1.2",August,6.29,10,NA,NA,70,NA,40,30,NA,13,57.39933897456293,42.60066102543707,1.2,NA,9.326,1,CADE,NA,472.7,263.9,381.8,204.4,262,191.1,177.4,7,NA,NA,1.7628000000000004,0.9857989170519357,2021,2021_August,NA,5.6298125,NA,NA,NA,NA,NA,NA,NA
hydrated,"(100,110]","(100,120]","(100,105]",12.1932,20.949,13.813319455736604,43,60,above 52,29.765,110,0.7038132034268436,2.3762477313974597,1,NA,"(100,110]",NA,1.0068754425637858,1.4788906772316452,1,1,1,2021_August_PIJE_1.2,100.68754425637859,100.68754425637859,NA,100.68754425637859,1,HP,"2021_August_HP_PIJE_(100,110]","2021_August_HP_PIJE_(100,110]_1.2",August,3.24,20,thermocouple off during ignition,67,70,NA,40,40,0.23255813953488372,13,68.08315571023607,31.91684428976393,1.2,15,19.6264,1,PIJE,NA,563.7,291.7,392.7,212.6,NA,NA,180.1,14,219,219,8.815999999999999,5.813080544263396,2021,2021_August,2.3052392691455714,15.214233333333334,4.34363370747082,7.963328463696504,3.112937490354088,4.850390973342416,15.854263032268495,15.854263032268495,NA
moderate,"(60,70]","(60,80]","(65,70]",12.1868,15.9776,3.6421635929936413,NA,NA,NA,18.5717,NA,0.8603197337885062,6.159207432250108,1,NA,"(60,70]",NA,0.6843146565368784,1.1221556221556224,1,1,1,2021_August_CADE_1.2,68.43146565368784,68.43146565368784,NA,68.43146565368784,1,HP,"2021_August_HP_CADE_(60,70]","2021_August_HP_CADE_(60,70]_1.2",August,5.99,10,NA,NA,70,NA,60,50,NA,14,60.98215283387641,39.01784716612359,1.2,NA,4.2335,1,CADE,NA,410.5,315.3,315.8,270.2,264.4,209.2,45.60000000000002,7,NA,NA,2.594099999999999,0.5913364070063589,2021,2021_August,NA,5.6298125,NA,NA,NA,NA,NA,NA,NA
