model_spp_gr_sample,sample,round,model_spp_gr,spp,model,lfm_notes,fh,ttfg,gti,tti,fd,gd,pfg,ignition,prop_new,glow,year_month,year,month,dry_wt,fresh_wt,water_wt,site,bottle_wt,ttms,lfm_outliers_out,precip_2mo,season,ignition_no_double,prop_ignite,ros,hydration,bins5lfm,bins10lfm,bins20lfm,temp_change,gdw_gfw,gww_gdw,gdw_gww,dw_flam_sample,ww_flam_sample,gww_gdw_saturated,gdw_gww_saturated,rwc,rwd,max_mpa_sample,flam_index,mean_wt,dry_norm_fh,dry_norm_gd,dry_norm_fd,dry_norm_pfg,dry_norm_ttfg,dry_norm_tti,dry_norm_gti,location,ambient_humidity,ambient_temp,prop_new_lfm,sample_length,temp_start_higher,taller_temp_start,taller_temp_max,lower_temp_max,surface_temp_start,temp_at_ignition_taller,temp_at_ignition_lower,ignition_num,glow_pre_ignition,ignition2,n,notes_flam,prop_new_flam,start_temp,id,individual,mpa,sample_wt,lfm
"2020_october_hp_abco_(110,120]_1.6",1.6,8,"2020_october_hp_abco_(110,120]",abco,hp,0,33,33,37,70,16,102,49,1,75,1,2020_october,2020,october,7.3956,7.6198,0.2242,1,7.2043,3,117.1981181,0.61,dry,1,92,0.625,hydrated,"(115,120]","(110,120]","(100,120]",52.10000000000002,0.970576655555264,1.171981181,32.986619090098124,2.0629606813827137,0.06253931861728645,2.359763314,11.39166168559474,49.66520049052683,50.33479950947317,-0.106,16.37103597925886,3.367958333333333,15.996427027335065,49.44350172085383,7.755843407192758,23.752270434527823,15.996427027335065,33.93181490646832,17.935387879133252,seki,NA,NA,NA,NA,NA,NA,NA,297.3,245.2,NA,227.5,1,NA,NA,NA,NA,NA,NA,102,2020_october_abco_1.6,3.452,2.1255,117.1981181
"2020_october_hp_abco_(110,120]_2.1",2.1,4,"2020_october_hp_abco_(110,120]",abco,hp,0,35,56,11,67,19,131,101,1,20,1,2020_october,2020,october,7.4471,7.6964,0.2493,2,7.2325,2,116.1696179,0.61,dry,1,92,0.5263157894736842,hydrated,"(115,120]","(110,120]","(100,120]",40.19999999999999,0.9676082324203524,1.161696179,29.87204171680706,2.556227428408087,0.0855725715919129,1.803030303,13.507062399427856,64.43020824814168,35.56979175185832,-0.155,16.98691611169799,3.367958333333333,13.692052440653356,51.24739627787399,7.43282846778325,39.51135132874254,21.907283905045368,26.21050038639357,4.303216481348198,seki,NA,NA,NA,NA,NA,NA,NA,312.3,272.1,NA,268.5,1,NA,NA,NA,NA,NA,NA,112,2020_october_abco_2.1,2.592,2.6418,116.1696179
"2020_october_hp_abco_(110,120]_2.2",2.2,7,"2020_october_hp_abco_(110,120]",abco,hp,0,44,14,49,63,7,129,73,1,NA,1,2020_october,2020,october,7.467,7.7654,0.2984,2,7.2065,2,114.5489443,0.61,dry,1,92,1.4285714285714286,hydrated,"(110,115]","(110,120]","(100,120]",67.6,0.9615731320987972,1.145489443,25.023458445040212,2.920297602184047,0.11670239781595272,1.845419019,12.779918172519604,62.07205145315564,37.92794854684436,-0.164,18.556300985271793,3.367958333333333,15.066957548125592,44.173580084277305,2.397015973565435,24.997452295753824,4.79403194713087,21.57314376208892,16.779111814958046,seki,NA,NA,NA,NA,NA,NA,NA,314.2,246.6,NA,263.9,1,NA,NA,NA,NA,NA,NA,121,2020_october_abco_2.2,3.489,3.037,114.5489443
"2020_october_hp_abco_(110,120]_2.3",2.3,6,"2020_october_hp_abco_(110,120]",abco,hp,0,43,89,2,91,9,122,111,1,60,1,2020_october,2020,october,12.4862,12.8679,0.3817,2,12.1459,2,112.1657361,0.61,dry,1,92,1.1111111111111112,hydrated,"(110,115]","(110,120]","(100,120]",34.30000000000001,0.9703370402318948,1.121657361,32.71207754781242,3.4615803573232617,0.10581964267673838,1.812757974,13.655228171038448,61.87573725161835,38.12426274838165,-0.192,15.280012331981771,3.367958333333333,12.422071875069983,35.24401787810554,2.5999685319913923,32.06627856122717,25.710799927470436,26.288570712357412,0.5777707848869761,seki,NA,NA,NA,NA,NA,NA,NA,290.7,256.4,NA,240.9,1,NA,NA,NA,NA,NA,NA,128,2020_october_abco_2.3,3.148,3.5674,112.1657361
"2020_october_hp_abco_(110,120]_2.4",2.4,8,"2020_october_hp_abco_(110,120]",abco,hp,0,32,36,34,70,18,137,85,1,80,1,2020_october,2020,october,7.6348,8.0808,0.446,2,7.2479,4,115.2752649,0.61,dry,1,92,0.5555555555555556,hydrated,"(115,120]","(110,120]","(100,120]",43.30000000000001,0.9448074448074448,1.152752649,17.118385650224216,3.446563077913078,0.2013369220869219,1.972067039,9.158510638297871,58.454029513344544,41.545970486655456,-0.192,16.25276962340278,3.367958333333333,9.28461173540345,39.749743992196024,5.22259410116444,24.662249922165415,10.44518820232888,20.310088171195048,9.864899968866164,seki,NA,NA,NA,NA,NA,NA,NA,285.3,242,NA,244.5,1,NA,NA,NA,NA,NA,NA,135,2020_october_abco_2.4,4.145,3.6479,115.2752649
"2020_october_hp_abco_(110,120]_2.5",2.5,8,"2020_october_hp_abco_(110,120]",abco,hp,0,34,88,0.5,88,10,82,72,1,80,0,2020_october,2020,october,7.6947,8.2256,0.5309,2,7.2481,4,118.8759516,0.61,dry,1,92,1,hydrated,"(115,120]","(110,120]","(100,120]",67.79999999999998,0.9354575957984828,1.188759516,14.493689960444527,2.6780280052518965,0.18477199474810344,1.681119649,8.512656858502814,70.71236819503739,29.287631804962615,-0.152,14.672856122293144,3.367958333333333,12.695909054469332,30.61954536666133,3.734090898373333,26.885454468288,32.859999905685335,32.859999905685335,0.18670454491866667,seki,NA,NA,NA,NA,NA,NA,NA,312.2,244.4,NA,231.5,1,NA,NA,NA,NA,NA,NA,138,2020_october_abco_2.5,3.379,2.8628,118.8759516
"2020_october_hp_abco_(120,130]_1.1",1.1,5,"2020_october_hp_abco_(120,130]",abco,hp,0,53,99,19,118,13,112,80,1,NA,1,2020_october,2020,october,12.8031,13.5592,0.7561,1,12.1776,3,120.8792966,0.61,dry,1,100,0.7692307692307693,hydrated,"(120,125]","(120,130]","(120,140]",71.40000000000003,0.9442371231341082,1.208792966,16.933077635233435,2.568891517198655,0.1517084828013453,1.873278237,9.215439010017676,64.52821274088181,35.47178725911819,-0.208,14.233328609737658,3.367958333333333,20.631466780580855,43.59857130990671,5.060548455614172,31.141836649933367,38.53802285429254,45.93420905865172,7.396186204359174,seki,NA,NA,NA,NA,NA,NA,NA,334.1,262.7,NA,280.8,1,NA,NA,NA,NA,NA,NA,62,2020_october_abco_1.1,2.509,2.7206,120.8792966
"2020_october_hp_abco_(120,130]_1.2",1.2,6,"2020_october_hp_abco_(120,130]",abco,hp,0,32,52,0.5,52,16,74,58,1,10,1,2020_october,2020,october,12.5154,12.9354,0.42,1,12.1722,2,122.3776224,0.61,dry,1,100,0.625,hydrated,"(120,125]","(120,130]","(120,140]",1.900000000000034,0.9675309615473816,1.223776224,29.798571428571428,1.6730545387077322,0.05614546129226783,2.0020790020000003,16.146672318779146,61.12527141923443,38.87472858076557,-0.261,19.03986704415149,3.367958333333333,19.126692680751944,44.23047682423887,9.563346340375972,34.6671304838629,31.080875606221905,31.080875606221905,0.2988545731367491,seki,NA,NA,NA,NA,NA,NA,NA,275.6,273.7,NA,264.7,1,NA,NA,NA,NA,NA,NA,70,2020_october_abco_1.2,2.991,1.7292,122.3776224
"2020_october_hp_abco_(120,130]_1.5",1.5,7,"2020_october_hp_abco_(120,130]",abco,hp,0,44,113,3,116,10,74,61,1,55,1,2020_october,2020,october,7.461,7.777,0.316,1,7.2155,2,128.7169043,0.61,dry,1,100,1,hydrated,"(125,130]","(120,130]","(120,140]",66.40000000000003,0.9593673653079594,1.287169043,23.610759493670887,3.201217024559599,0.1355829754404012,1.811521812,13.809007352941176,71.054570498320885,28.945429501679115,-0.179,13.69424945359444,3.367958333333333,13.7447725856866,23.116208439563824,3.1238119512924087,19.055252902883694,35.29907504960422,36.23621863499194,0.9371435853877228,seki,NA,NA,NA,NA,NA,NA,NA,307.1,240.7,NA,257.8,1,NA,NA,NA,NA,NA,NA,94,2020_october_abco_1.5,2.94,3.3368,128.7169043
"2020_october_hp_abco_(120,130]_2.1",2.1,3,"2020_october_hp_abco_(120,130]",abco,hp,0,31,86,0.5,86,15,68,53,1,NA,0,2020_october,2020,october,7.6067,8.0573,0.4506,2,7.2431,3,123.9273927,0.61,dry,1,100,0.6666666666666666,hydrated,"(120,125]","(120,130]","(120,140]",24.899999999999977,0.9440755588100233,1.239273927,16.88126941855304,2.5117130242140666,0.14878697578593325,1.803030303,13.507062399427856,68.73283964989467,31.26716035010533,-0.155,14.522300049899863,3.367958333333333,12.342174325309369,27.073156584549583,5.972019834827114,21.101136749722468,34.23958038634212,34.23958038634212,0.19906732782757044,seki,NA,NA,NA,NA,NA,NA,NA,282.4,257.5,NA,262.6,1,NA,NA,NA,NA,NA,NA,109,2020_october_abco_2.1,1.769,2.6605,123.9273927
