effect,group,term,estimate,std.error,statistic,df,p.value,y_var
fixed,NA,(Intercept),15.18897750267388,1.9521223461727606,7.780750797947002,118.82856466311036,2.936462763932348e-12,fd
fixed,NA,spparpa,2.899942459365749,1.58426193126392,1.830469067101917,128.02463274713253,0.06950560997336859,fd
fixed,NA,sppcade,2.524212032381647,1.5365416963411027,1.6427878517012842,116.07814574375473,0.10313308523064799,fd
fixed,NA,sppceco,-5.23444644877324,1.8706725508410718,-2.7981628566794248,149.29822164531453,0.005817735074439127,fd
fixed,NA,spppije,17.360609841862033,1.6246398971603533,10.685820206807668,111.0098337820861,9.353278835711479e-19,fd
fixed,NA,sppquke,-8.325498817787297,2.195583882099452,-3.7919292838979684,230.47056829967363,1.909666914132011e-4,fd
fixed,NA,mpa_scaled,1.445737322207386,1.8002712124832356,0.8030664003193068,753.5164762617753,0.4221895890232491,fd
fixed,NA,lfm_scaled,-1.4727080572797828,0.9912557452196653,-1.4856993912841596,766.9999971137606,0.13776954494593327,fd
fixed,NA,site,-0.13741894838104732,1.0580875843488933,-0.12987483306082803,107.59331097453853,0.8969079521039051,fd
fixed,NA,year_month2020_september,3.657463817400159,1.004744227765327,3.640193908388807,130.14587845685912,3.9178191069389265e-4,fd
fixed,NA,sample_wt_scaled,3.0606012907844233,0.5080523279468522,6.0241851526455275,705.1406080128168,2.7366281386367434e-9,fd
fixed,NA,spparpa:mpa_scaled,-6.541886004192658,2.2038952309231497,-2.968328944317578,766.2307674658218,0.0030875554147390687,fd
fixed,NA,sppcade:mpa_scaled,-0.5845012691876412,2.518884544153592,-0.23204766194793905,762.0534781895519,0.8165632942237224,fd
fixed,NA,sppceco:mpa_scaled,-1.1399862031708878,2.414746211642875,-0.4720935880028971,759.4435846436329,0.6369956051152654,fd
fixed,NA,spppije:mpa_scaled,-6.058926398273787,2.504334477768472,-2.419375866945973,766.8342706498942,0.015778836898509462,fd
fixed,NA,sppquke:mpa_scaled,-1.4302826810609028,2.576594853928449,-0.5551057741500175,758.0288012061335,0.5789860778713826,fd
fixed,NA,spparpa:lfm_scaled,-4.255453656802306,1.6365444470377202,-2.6002676948402024,705.0559966273894,0.009510213887744496,fd
fixed,NA,sppcade:lfm_scaled,1.6156074602772628,1.7643379910279988,0.9157017921129287,766.4662956338743,0.36011132583215777,fd
fixed,NA,sppceco:lfm_scaled,1.483927783959775,2.615882571326795,0.567276146194558,763.4020184926136,0.5706933498297004,fd
fixed,NA,spppije:lfm_scaled,-2.4983489274869632,1.536064893249007,-1.6264605346214127,724.1446025959157,0.10428677121746939,fd
