individual,site,year,month,year.month,lfm.outliers.out,lfm.NAs.imputed,mpa,dw.flam.sample,ww.flam.sample,sample.wt,spp,start.temp,gww.gdw.saturated,gdw.gww.saturated,fd,fh,gd,gti,pfg,dry.norm.fd,dry.norm.fh,dry.norm.gd,dry.norm.gti,dry.norm.pfg,temp.max,ttfg,tti,temp.change,PC1,PC2,PC3,PC4,model,LFM,prop.ignite,bins10lfm,flam.index,precip.2mo,prop.ignite.bins5
2020_January_CEME_6,St. Marys,2020,January,2020_January,143.8328236,143.8328236,2.36,0.1931651337792642,0.2778348662207358,0.471,CEME,272.5,1.9952672321401497,0.45719424460431646,12,8,130,28,90,62.12301239473565,41.415341596490435,672.9993009429695,144.9536955877165,465.92259296051736,259.6,15,43,-12.899999999999975,0.16497366569610772,0.32839022186843225,0.47473430103102493,1.1286011723822804,EPI,143.8328236,67,"(140,150]",8.016366953707092,5.82,100
2020_January_CEME_6,St. Marys,2020,January,2020_January,143.8328236,143.8328236,2.36,0.1931651337792642,0.2778348662207358,0.471,CEME,251.5,1.9952672321401497,0.45719424460431646,18,12.5,187,15,154,93.18451859210349,64.7114712445163,968.083609817964,77.65376549341957,797.2453257324408,270,24,39,18.5,0.1598351505094986,-3.215165128341523,-0.5295833408372403,2.164994657367812,EPI,143.8328236,67,"(140,150]",9.11284198269232,5.82,100
2020_January_CEME_2,St. Marys,2020,January,2020_January,141.6280864,141.6280864,3.64,0.2483155037521954,0.35168449624780457,0.6,CEME,275.4,1.890806373835132,0.3372372372372372,9,13.5,130,32,89,36.24421296296297,54.36631944444445,523.5275205761318,128.86831275720166,358.4149948559671,274.9,11,43,-0.5,-0.08824839290674243,0.3501304371721131,1.2280961266239174,0.5020868819258343,EPI,141.6280864,67,"(140,150]",8.901744116765329,5.82,100
2020_January_CEME_5,St. Marys,2020,January,2020_January,158.8868576,158.8868576,3.55,0.21092923270045508,0.335070767299545,0.546,CEME,278.6,2.309701596226629,0.12536687631027257,8,7.5,134,29,97,37.92741241969511,35.556949143464166,635.2841580298931,137.48687002139476,459.8698755888032,276.7,26,55,-1.900000000000034,1.3223228163664127,0.40348764820060384,-0.7873860123515722,0.47455620026102063,EPI,158.8868576,50,"(150,160]",7.180797473270112,5.82,100
2020_January_CEME_1,St. Marys,2020,January,2020_January,99.45337621,99.45337621,6,0.23514267290020957,0.2338573270997904,0.469,CEME,270.5,1.8080913821630569,0.40836543753439736,2,10.5,119,26,91,8.505474465065577,44.65374094159428,506.07573067140186,110.5711680458525,386.9990881604838,267.3,31,57,-3.1999999999999886,1.3236946254029531,1.2749945198416166,-1.3821671857217268,0.33433789732539254,EPI,99.45337621,80,"(90,100]",7.538984254469424,5.82,100
2020_January_CEME_3,St. Marys,2020,January,2020_January,91.92346425,91.92346425,6.9,0.26054564533053515,0.23945435466946485,0.5,CEME,260.4,2.0264853273018097,0.34663951120162934,10,10.5,91,2,79,38.38099073701168,40.300040273862265,349.26701570680626,7.676198147402336,303.2098268223923,287.8,17,19,27.40000000000003,-2.7420518260555706,0.62813384225245406,-0.6069507018860104,1.4538691684701375,EPI,91.92346425,80,"(90,100]",11.845162129497051,5.82,67
2020_January_CEME_4,St. Marys,2020,January,2020_January,122.9965157,122.9965157,5.5,0.2345328125,0.2884671875,0.523,CEME,277.8,1.648472426208795,0.39799446749654216,8,16.5,116,19,89,34.110365687104014,70.35262922965204,494.60030246300823,81.01211850687204,379.4778182690322,268.2,11,30,-9.600000000000025,-1.5445972847700309,0.3672108487894765,0.9242867295879141,1.1083104722633559,EPI,122.9965157,67,"(120,130]",10.830637328620908,5.82,100
2020_January_CEME_6,St. Marys,2020,January,2020_January,62.33090531,62.33090531,8.6,0.28891602564102564,0.18008397435897433,0.469,CEME,268.5,1.9952672321401497,0.45719424460431646,7,15,142,22,113,24.22849332939879,51.91819999156884,491.4922932535184,76.14669332096763,391.1171066031519,279.9,12,34,11.399999999999975,-0.49916015448750617,-0.5520190477861633,0.9501007040138038,1.0888645781457766,EPI,62.33090531,100,"(60,70]",10.050784744100618,5.82,100
2020_January_CEME_1,St. Marys,2020,January,2020_January,92.95774648,92.95774648,7,0.28557990521327015,0.2654200947867299,0.551,CEME,262.4,1.8080913821630569,0.40836543753439736,5,16.5,92,22,65,17.508234678718086,57.77717443976968,322.1515180884128,77.03623258635957,227.6070508233351,270.1,8,30,7.700000000000045,-1.8307865777562016,1.6637204663290421,1.2458786823190342,0.6124030271660397,EPI,92.95774648,80,"(90,100]",10.830637328620908,5.82,67
2020_January_CEME_2,St. Marys,2020,January,2020_January,85.29784537,85.29784537,7.3,0.2865656634746922,0.24443433652530783,0.531,CEME,279.3,1.890806373835132,0.3372372372372372,15,5,107,30,62,52.34402411691836,17.448008038972787,373.3873720340176,104.68804823383672,216.35529968326256,284.2,18,30,4.899999999999977,-0.8922621236619606,0.955668917251697,0.1592808996534532,0.6863855754204843,EPI,85.29784537,50,"(80,90]",8.66523083631515,5.82,50
2020_January_CEME_3,St. Marys,2020,January,2020_January,67.59899897,67.59899897,9.1,0.2613535921306868,0.17664640786931318,0.438,CEME,275.4,2.0264853273018097,0.34663951120162934,6,12.5,102,21,75,22.95740399466088,47.82792498887684,390.275867909235,80.35091398131308,286.967549933261,330.9,14,35,55.5,-1.279075973072629,0.8301817861728652,0.33060485393869227,-0.3703162930229702,EPI,67.59899897,100,"(60,70]",9.53356414255808,5.82,100
2020_January_CEME_4,St. Marys,2020,January,2020_January,62.00540673,62.00540673,7.5,0.34443294902912625,0.2135670509708738,0.558,CEME,266.3,1.648472426208795,0.39799446749654216,7,10.5,96,17,72,20.323258909263235,30.484888363894857,278.71897932703865,49.35648592249643,209.039234495279,276.3,9,26,10,-1.720577489465509,1.326646228745052,0.7864073679120107,1.041869963175646,EPI,62.00540673,100,"(60,70]",10.413203458136191,5.82,100
2020_January_CEME_5,St. Marys,2020,January,2020_January,89.5783339,89.5783339,7.5,0.27007305605786613,0.24192694394213388,0.512,CEME,269.7,2.309701596226629,0.12536687631027257,13,13,143,6,124,48.13512384298938,48.13512384298938,529.4863622728832,22.21621100445664,459.1350274254371,281,20,26,11.300000000000011,-1.4798588263134322,-1.5810581573132365,-0.50583548795197,1.9339610113217016,EPI,89.5783339,50,"(80,90]",10.892500928108252,5.82,50
2020_January_CEME_6,St. Marys,2020,January,2020_January,54.31472081,54.31472081,10,0.2961480263157895,0.1608519736842105,0.457,CEME,268.6,1.9952672321401497,0.45719424460431646,9,19.5,120,14,97,30.3902075997734,65.84544979950904,405.2027679969787,47.273656266314184,327.5389041308911,292.6,10,24,24,-2.3325116297796513,-0.39814537437051606,0.9863802690922946,0.9381475501563827,EPI,54.31472081,100,"(50,60]",12.37619311231821,5.82,100
2020_January_CEME_2,St. Marys,2020,January,2020_January,102.6654578,102.6654578,6.8,0.1993616031490428,0.20463839685095725,0.404,CEME,265.5,1.890806373835132,0.3372372372372372,6,15,86,15,65,30.096066169343544,75.24016542335886,431.3769484272575,75.24016542335886,326.0407168345551,266.5,14,29,1,-2.049132427755896,1.6563642583275855,0.2773188474606184,0.9062533847609264,EPI,102.6654578,67,"(100,110]",10.745129882274917,5.82,50
