model.spp.gr.sample,model.spp.bins5lfm_gr.sample,model.spp.bins5lfm_gr.sample_nodate,model.spp.bins10lfm_gr.sample_nodate,individual,sample,round,year.month.spp,model.spp.gr,model.spp.bins5lfm_gr,model.spp.bins5lfm_gr_nodate,model.spp.bins10lfm_gr_nodate,spp,model,mpa,lfm,lfm.notes,fh,ttfg,gti,tti,fd,gd,pfg,ignition,start.temp,temp.max,ignition.temp,prop.new,sample.wt,glow,year.month,year,month,dry.wt,fresh.wt,water.wt,site,lfm.outliers.out,lfm.NAs.imputed,gr,precip.2month,precip.2mo,season,prop.ignite,ros,bins5lfm_gr,individual.bins5lfm_gr,prop.ignite.bins5,individual.bins5lfm_gr_nodate,prop.ignite.bins5_nodate,bins10lfm_gr,individual.bins10lfm_gr_nodate,prop.ignite.bins10_nodate,hydration,bins5lfm,bins10lfm,bins20lfm,temp.change,gdw.gfw,gww.gdw,gdw.gww,dw.flam.sample,ww.flam.sample,ww.outs,dw.outs,gww.gdw.saturated,gdw.gww.saturated,RWC,RWD,max.mpa.sample,tti.outs,gti.outs,gd.outs,fd.outs,pfg.outs,fh.outs,temp.max.outs,ignition.temp.outs,flam.index,mean.wt,dry.norm.fh,dry.norm.gd,dry.norm.fd,dry.norm.pfg,dry.norm.ttfg,dry.norm.tti,dry.norm.gti,LFM,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
"2019_December_EPI_CEME_(90,100]_4","2019_December_EPI_CEME_(95,100]_4","EPI_CEME_(95,100]_4","EPI_CEME_(90,100]_4",2019_December_CEME_4,4,1,2019_December_CEME,"2019_December_EPI_CEME_(90,100]","2019_December_EPI_CEME_(95,100]","EPI_CEME_(95,100]","EPI_CEME_(90,100]",CEME,EPI,0.58,96.18380062,0,10.25,13,56,69,6,119,60,1,279.3,343.2,277.85,100,0.576,1,2019_December,2019,December,0.2568,0.5038,0.247,St. Marys,96.18380062,96.18380062,"(90,100]",2019_December,3.69,Wet,71,3.3333333333333335,"(95,100]","2019_December_EPI_CEME_(95,100]_4",67,"EPI_CEME_(95,100]_4",80,"(90,100]","EPI_CEME_(90,100]_4",70,hydrated,"(95,100]","(90,100]","(80,100]",63.89999999999998,0.5097260817784834,0.9618380062,1.0396761133603238,0.2936022231044064,0.28239777689559353,0.28239777689559353,0.2936022231044064,1.6225527521008252,0.4787172011661808,59.27930570852907,40.72069429147093,-0.043,69,NA,119,3,60,2,343.2,NA,6.979591238445601,0.5233976525821596,34.91117979837315,405.31028253721024,20.43581256490135,204.35812564901357,44.277593890619606,235.0118444963656,190.734250605746,96.18380062,-2.066264763794476,1.6098070821531612,0.6088370818309417,2.2339332799333427,-0.46399382989523863,-2.2245136131866925,-0.05252364458614936,-0.07886207035525827
"2019_December_EPI_CEME_(120,130]_5","2019_December_EPI_CEME_(120,125]_5","EPI_CEME_(120,125]_5","EPI_CEME_(120,130]_5",2019_December_CEME_5,5,1,2019_December_CEME,"2019_December_EPI_CEME_(120,130]","2019_December_EPI_CEME_(120,125]","EPI_CEME_(120,125]","EPI_CEME_(120,130]",CEME,EPI,0.25,120.9012994,0,10.25,3,60,63,6,171,104,1,283.6,312.3,277.85,100,0.512,1,2019_December,2019,December,0.3617,0.799,0.4373,St. Marys,120.9012994,120.9012994,"(120,130]",2019_December,3.69,Wet,86,1.4285714285714286,"(120,125]","2019_December_EPI_CEME_(120,125]_5",86,"EPI_CEME_(120,125]_5",89,"(120,130]","EPI_CEME_(120,130]_5",80,hydrated,"(120,125]","(120,130]","(120,140]",28.69999999999999,0.4526908635794744,1.209012994,0.8271209695860965,0.23177772215269088,0.28022227784730913,0.28022227784730913,0.23177772215269088,1.624141315,0.6157099697885197,74.44013540164146,25.559864598358544,-0.043,63,NA,171,7,104,5,312.3,NA,7.220333209970354,0.5233976525821596,44.22340466892452,737.7758242327895,25.886871025711915,448.7057644456732,12.943435512855958,271.8121457699751,258.8687102571191,120.9012994,-3.1445999953453474,0.3793987027598247,2.682717286343906,1.1521426993625035,-0.3488408628994524,-1.5138744652720004,-0.011068882875651442,0.006208442809095549
"2019_December_EPI_CEME_(220,230]_8","2019_December_EPI_CEME_(220,225]_8","EPI_CEME_(220,225]_8","EPI_CEME_(220,230]_8",2019_December_CEME_8,8,1,2019_December_CEME,"2019_December_EPI_CEME_(220,230]","2019_December_EPI_CEME_(220,225]","EPI_CEME_(220,225]","EPI_CEME_(220,230]",CEME,EPI,0.317,224.1209333,0,10.25,9,27,36,6,128,93,1,265.3,296.95000000000005,277.85,100,0.584,1,2019_December,2019,December,0.1522,0.4932,0.341,St. Marys,NA,166.37631662564598,"(220,230]",2019_December,3.69,Wet,50,1.25,"(220,225]","2019_December_EPI_CEME_(220,225]_8",50,"EPI_CEME_(220,225]_8",50,"(220,230]","EPI_CEME_(220,230]_8",50,hydrated,"(220,225]","(220,230]","(220,240]",23.09999999999999,0.3085969180859692,1.6637631662564598,0.44633431085043984,0.180220600162206,0.403779399837794,0.403779399837794,0.180220600162206,1.7181569442508005,0.3264283327764784,96.83417872992626,3.165821270073735,-0.043,36,27,128,8,93,7,NA,NA,9.040789252376594,0.5233976525821596,56.87474123809696,710.2406710708693,33.292531456447,516.0342375749285,49.9387971846705,199.755188738682,149.81639155401152,166.37631662564598,-0.09152981544755281,0.2665139565265211,0.9791385112369548,-0.22812168675541367,0.016629620045845672,0.1206399247345285,0.013955945060691088,0.04306693040736673
"2019_December_EPI_CEME_(120,130]_5","2019_December_EPI_CEME_(120,125]_5","EPI_CEME_(120,125]_5","EPI_CEME_(120,130]_5",2019_December_CEME_5,5,2,2019_December_CEME,"2019_December_EPI_CEME_(120,130]","2019_December_EPI_CEME_(120,125]","EPI_CEME_(120,125]","EPI_CEME_(120,130]",CEME,EPI,1.92,123.7289451,0,5,9,40,49,1,113,72,1,276.7,283,277.85,100,0.616,1,2019_December,2019,December,0.6442,1.4412,0.797,St. Marys,123.7289451,123.7289451,"(120,130]",2019_December,3.69,Wet,86,10,"(120,125]","2019_December_EPI_CEME_(120,125]_5",86,"EPI_CEME_(120,125]_5",89,"(120,130]","EPI_CEME_(120,130]_5",80,hydrated,"(120,125]","(120,130]","(120,140]",6.300000000000011,0.44698862059394945,1.237289451,0.8082810539523212,0.27534499028587284,0.34065500971412715,0.34065500971412715,0.27534499028587284,1.624141315,0.6157099697885197,76.18114505017688,23.81885494982312,-0.043,49,40,113,1,72,5,283,NA,7.071740845122855,0.5233976525821596,18.15903748533367,410.3942471685409,3.631807497066734,261.49013978880487,32.68626747360061,177.95856735626995,145.27229988266936,123.7289451,-1.4517648118926951,2.3042780654033006,0.7290632857044995,0.27945516802579384,0.32086268710392685,0.07110310449967697,-0.01299672312891198,-0.0022107034414923232
"2019_December_EPI_CEME_(150,160]_6","2019_December_EPI_CEME_(155,160]_6","EPI_CEME_(155,160]_6","EPI_CEME_(150,160]_6",2019_December_CEME_6,6,2,2019_December_CEME,"2019_December_EPI_CEME_(150,160]","2019_December_EPI_CEME_(155,160]","EPI_CEME_(155,160]","EPI_CEME_(150,160]",CEME,EPI,1.39,158.7018545,0,9,30,44,74,4,163,115,1,274.5,307.6,277.85,100,0.665,1,2019_December,2019,December,0.2804,0.7254,0.445,St. Marys,158.7018545,158.7018545,"(150,160]",2019_December,3.69,Wet,100,2.5,"(155,160]","2019_December_EPI_CEME_(155,160]_6",100,"EPI_CEME_(155,160]_6",100,"(150,160]","EPI_CEME_(150,160]_6",75,hydrated,"(155,160]","(150,160]","(140,160]",33.10000000000002,0.3865453542872897,1.587018545,0.6301123595505618,0.25705266060104764,0.4079473393989524,NA,0.25705266060104764,1.708897828952057,0.5435865504358656,92.86795957679946,7.132040423200536,-0.043,NA,44,163,4,115,9,307.6,NA,6.635368338259195,0.5233976525821596,35.01228105928159,634.1113125180999,15.561013804125151,447.3791468685981,116.70760353093864,287.8787553763153,171.17115184537667,158.7018545,-3.889949104101391,-0.30920839942303485,-0.8345517719581648,0.4354051754324194,-0.9853636362177338,-1.136738464598503,-0.011429823279476059,-0.01128834742071469
"2019_December_EPI_CEME_(180,190]_9","2019_December_EPI_CEME_(180,185]_9","EPI_CEME_(180,185]_9","EPI_CEME_(180,190]_9",2019_December_CEME_9,9,2,2019_December_CEME,"2019_December_EPI_CEME_(180,190]","2019_December_EPI_CEME_(180,185]","EPI_CEME_(180,185]","EPI_CEME_(180,190]",CEME,EPI,1.01,180.1801802,0,15,24,33,57,9,149,107,1,276.4,261.9,277.85,100,0.669,1,2019_December,2019,December,0.1943,0.5443,0.35,St. Marys,NA,155.0548129080762,"(180,190]",2019_December,3.69,Wet,75,1.1111111111111112,"(180,185]","2019_December_EPI_CEME_(180,185]_9",67,"EPI_CEME_(180,185]_9",40,"(180,190]","EPI_CEME_(180,190]_9",44,hydrated,"(180,185]","(180,190]","(180,200]",-14.5,0.3569722579459857,1.550548129080762,0.5551428571428572,0.23881444056586448,0.4301855594341356,NA,0.23881444056586448,1.741025006,0.5195018796992481,89.05949792433722,10.940502075662778,-0.043,57,33,149,9,107,15,261.9,NA,8.143583494065025,0.5233976525821596,62.81027212784076,623.9153698032183,37.686163276704455,448.0466078452641,100.4964354045452,238.67903408579488,138.1825986812497,155.0548129080762,-1.6464876269179576,-0.6531955664486471,-0.11088334343588269,-1.139118679767196,-1.1252415222573107,-1.716062124281067,-0.012062534605114195,-0.007759501044600284
"2019_December_EPI_CEME_(140,150]_4","2019_December_EPI_CEME_(145,150]_4","EPI_CEME_(145,150]_4","EPI_CEME_(140,150]_4",2019_December_CEME_4,4,3,2019_December_CEME,"2019_December_EPI_CEME_(140,150]","2019_December_EPI_CEME_(145,150]","EPI_CEME_(145,150]","EPI_CEME_(140,150]",CEME,EPI,2.98,147.9640844,0,13,23,32,55,12,114,70,1,265.7,273.6,277.85,100,0.56,1,2019_December,2019,December,0.2395,0.5938,0.3543,St. Marys,147.9640844,147.9640844,"(140,150]",2019_December,3.69,Wet,60,0.8333333333333334,"(145,150]","2019_December_EPI_CEME_(145,150]_4",33,"EPI_CEME_(145,150]_4",33,"(140,150]","EPI_CEME_(140,150]_4",64,hydrated,"(145,150]","(140,150]","(140,160]",7.900000000000034,0.40333445604580664,1.479640844,0.675980807225515,0.22586729538565173,0.3341327046143483,0.3341327046143483,0.22586729538565173,1.6225527521008252,0.4787172011661808,91.19215643893315,8.807843561066832,-0.043,55,32,114,12,70,13,273.6,NA,7.996621510111008,0.5233976525821596,57.555920071577695,504.7211452430659,53.128541604533254,309.9164926931107,101.82970474202207,243.50581568744408,141.676110945422,147.9640844,-0.46999193047363497,0.35858659514519053,-0.6596033258905973,-0.5198794820926489,-0.2101355983954038,-2.3785454902390493,-0.022792151647306524,-0.0011094927889901962
"2019_December_EPI_CEME_(170,180]_6","2019_December_EPI_CEME_(170,175]_6","EPI_CEME_(170,175]_6","EPI_CEME_(170,180]_6",2019_December_CEME_6,6,3,2019_December_CEME,"2019_December_EPI_CEME_(170,180]","2019_December_EPI_CEME_(170,175]","EPI_CEME_(170,175]","EPI_CEME_(170,180]",CEME,EPI,2.37,170.2711981,0,3,26,34,60,3,132,95,1,259.7,260.4,277.85,NA,0.647,1,2019_December,2019,December,0.2913,0.7873,0.496,St. Marys,170.2711981,170.2711981,"(170,180]",2019_December,3.69,Wet,67,3.3333333333333335,"(170,175]","2019_December_EPI_CEME_(170,175]_6",60,"EPI_CEME_(170,175]_6",60,"(170,180]","EPI_CEME_(170,180]_6",67,hydrated,"(170,175]","(170,180]","(160,180]",0.6999999999999886,0.3699987298361488,1.702711981,0.5872983870967742,0.2393891782039883,0.4076108217960117,NA,0.2393891782039883,1.708897828952057,0.5435865504358656,99.63802119428928,0.36197880571073426,-0.043,60,34,132,3,95,3,260.4,NA,6.173713404422584,0.5233976525821596,12.531894810397986,551.4033716575115,12.531894810397986,396.84333566260295,108.60975502344922,250.63789620795976,142.02814118451053,170.2711981,-2.7942922426245413,1.1618157327196355,-1.0847704576749948,-0.7122552872951275,0.43706921785461084,-0.1752271464207097,-0.014866341174019193,-9.375347967517794e-4
"2019_December_EPI_CEME_(170,180]_6","2019_December_EPI_CEME_(170,175]_6","EPI_CEME_(170,175]_6","EPI_CEME_(170,180]_6",2019_December_CEME_6,6,3,2019_December_CEME,"2019_December_EPI_CEME_(170,180]","2019_December_EPI_CEME_(170,175]","EPI_CEME_(170,175]","EPI_CEME_(170,180]",CEME,EPI,2.37,170.2711981,0,13,27,18,45,3,103,82,1,265.2,297.1,277.85,100,0.647,1,2019_December,2019,December,0.2913,0.7873,0.496,St. Marys,170.2711981,170.2711981,"(170,180]",2019_December,3.69,Wet,67,3.3333333333333335,"(170,175]","2019_December_EPI_CEME_(170,175]_6",60,"EPI_CEME_(170,175]_6",60,"(170,180]","EPI_CEME_(170,180]_6",67,hydrated,"(170,175]","(170,180]","(160,180]",31.90000000000003,0.3699987298361488,1.702711981,0.5872983870967742,0.2393891782039883,0.4076108217960117,NA,0.2393891782039883,1.708897828952057,0.5435865504358656,99.63802119428928,0.36197880571073426,-0.043,45,18,103,3,82,13,297.1,NA,8.665235348749052,0.5233976525821596,54.30487751172461,430.26172182366423,12.531894810397986,342.53845815087834,112.78705329358188,187.9784221559698,75.19136886238792,170.2711981,5.656057809833026e-4,0.526166511961046,-1.495169040669796,-0.40412884247634684,-1.2577550278490996,-0.05346567237190249,0.003097464349312684,6.029834212193108e-4
"2019_December_EPI_CEME_(190,200]_9","2019_December_EPI_CEME_(190,195]_9","EPI_CEME_(190,195]_9","EPI_CEME_(190,200]_9",2019_December_CEME_9,9,3,2019_December_CEME,"2019_December_EPI_CEME_(190,200]","2019_December_EPI_CEME_(190,195]","EPI_CEME_(190,195]","EPI_CEME_(190,200]",CEME,EPI,2.152,192.5138528,0,13,19,27,46,5,157,125,1,274.2,276.8,277.85,100,0.623,1,2019_December,2019,December,0.2211,0.6467,0.4256,St. Marys,NA,167.22579536331662,"(190,200]",2019_December,3.69,Wet,67,2,"(190,195]","2019_December_EPI_CEME_(190,195]_9",50,"EPI_CEME_(190,195]_9",50,"(190,200]","EPI_CEME_(190,200]_9",67,hydrated,"(190,195]","(190,200]","(180,200]",2.6000000000000227,0.3418895933199319,1.6722579536331663,0.5195018796992481,0.2129972166383176,0.4100027833616824,NA,0.2129972166383176,1.741025006,0.5195018796992481,96.05019731882967,3.9498026811703255,-0.043,46,27,157,5,125,13,276.8,NA,8.588087598136973,0.5233976525821596,61.03366140260322,737.0988338622082,23.474485154847393,586.8621288711848,89.20304358842009,215.965263424596,126.76221983617592,167.22579536331662,-1.4950874099943108,-0.8837946125983782,0.42266949156566486,-1.0731412016548787,-1.0459335669757241,-0.020970426116774313,0.001049692411537878,-0.008277422596839973
