hydration,bins10lfm,bins20lfm,bins5lfm,bottle_wt,dry_wt,dw_flam_sample,fd,fh,fh_old,fresh_wt,gd,gdw_gfw,gdw_gww,gdw_gww_saturated,glow_pre_ignition,gr,gti,gww_gdw,gww_gdw_saturated,ignition,ignition_num,ignition2,individual,lfm,lfm_NAs_imputed,lfm_notes,lfm_outliers_out,max_mpa_sample,model,model_spp_gr,model_spp_gr_sample,month,mpa,n,notes_flam,pfg,prop_ignite,prop_new,prop_new_flam,prop_new_lfm,ros,round,RWC,RWD,sample,sample_length,sample_wt,site,spp,start_temp,surface_temp_max_within_5_secs_of_flame_end,surface_temp_start,taller_temp_max,taller_temp_start,temp_at_ignition_lower,temp_at_ignition_taller,temp_change,total,ttfg,tti,water_wt,ww_flam_sample,year,year_month,flam_index,mean_wt,dry_norm_fh,dry_norm_gd,dry_norm_fd,dry_norm_pfg,dry_norm_ttfg,dry_norm_tti,dry_norm_gti
hydrated,"(120,130]","(120,140]","(120,125]",7.1908,8.6104,5.186866603507279,37,60,above 52,10.3442,219,0.8323891649426731,4.966201407313415,1,1,"(120,130]",122,1.221329952,1.7020241340000002,1,1,1,2021_August_ABCO_2.2,122.1329952,122.1329952,NA,122.1329952,1,HP,"2021_August_HP_ABCO_(120,130]","2021_August_HP_ABCO_(120,130]_2.2",August,3,13,sample touching pilot flame,60,2015,NA,15,NA,0.2702702702702703,8,71.75749906258379,28.24250093741621,2.2,NA,6.2313,2,ABCO,NA,322.4,223.7,243.4,178.1,222.3,162.5,65.30000000000001,262,2,124,1.7338000000000005,1.044433396492721,2021,2021_August,3.384280576485343,8.1042875,11.567677479777275,42.22202280118706,7.13340111252932,11.567677479777275,0.3855892493259092,23.90653345820637,23.52094420888046
moderate,"(80,90]","(80,100]","(80,85]",7.1299,7.6459,2.254132732814591,24,40,40,8.0708,NA,0.9473534222134113,17.99458696163803,1,NA,"(80,90]",NA,0.8234496124,1.488087903,1,1,1,2021_August_CECO_2.2,82.34496124,82.34496124,NA,82.34496124,1,HP,"2021_August_HP_CECO_(80,90]","2021_August_HP_CECO_(80,90]_2.2",August,4.99,19,sample touching pilot flame; thermocoouple turned off for max temps,NA,1379,NA,NA,NA,0.4166666666666667,8,55.33608671503326,44.66391328496674,2.2,NA,2.3794,2,CECO,NA,NA,252.3,NA,205.3,267.9,212.9,NA,262,101,101,0.42490000000000006,0.12526726718540893,2021,2021_August,3.5423215496272773,2.496,17.74518395376592,NA,10.64711037225955,NA,44.806589483258946,44.806589483258946,NA
hydrated,"(100,110]","(100,120]","(100,105]",12.1962,15.525,6.374635052921961,17,60,above 56,18.8863,97,0.8220244304072265,4.618748698420257,1,NA,"(100,110]",NA,1.009763278,1.296437747,1,1,1,2021_August_PIJE_2.2,100.97632780000001,100.97632780000001,NA,100.97632780000001,1,HP,"2021_August_HP_PIJE_(100,110]","2021_August_HP_PIJE_(100,110]_2.2",August,2.92,20,NA,80,1310,NA,NA,NA,0.5882352941176471,8,77.88752528508414,22.112474714915862,2.2,11.5,7.7548,2,PIJE,NA,453.9,248.7,342,215.8,257,219.9,126.19999999999999,262,217,217,3.361299999999998,1.3801649470780397,2021,2021_August,2.3187504846898332,9.042877777777777,9.412303528262001,15.216557370690236,2.666819333007567,12.549738037682669,34.04116442721424,34.04116442721424,NA
hydrated,"(120,130]","(120,140]","(120,125]",12.0682,13.0182,2.8023696876896373,20,42,42,14.1718,87,0.9185989076899195,11.284847434119287,1,NA,"(120,130]",NA,1.214315789,1.7020241340000002,1,1,1,2021_August_ABCO_2.2,121.4315789,121.4315789,NA,121.4315789,1,HP,"2021_August_HP_ABCO_(120,130]","2021_August_HP_ABCO_(120,130]_2.2",August,3.21,13,NA,67,2015,NA,50,NA,0.5,9,71.34539192145203,28.654608078547966,2.2,NA,3.0507,2,ABCO,NA,343.7,236.6,318.2,195.7,253.9,199.6,122.5,262,95,95,1.153599999999999,0.24833031231036262,2021,2021_August,3.746267725377715,8.1042875,14.987315979222618,31.04515452838971,7.136817132963151,23.908337395426557,33.89988138157497,33.89988138157497,NA
hydrated,"(90,100]","(80,100]","(95,100]",7.236,10.1424,4.269517229847419,NA,NA,NA,12.9177,NA,0.7851552520959614,3.6545238352610534,1,NA,"(90,100]",NA,0.9548926507000001,1.105270951,1,1,1,2021_August_CADE_2.2,95.48926507,95.48926507,NA,95.48926507,1,HP,"2021_August_HP_CADE_(90,100]","2021_August_HP_CADE_(90,100]_2.2",August,2.99,13,NA,NA,2015,NA,80,90,NA,9,86.39444019007789,13.605559809922113,2.2,NA,5.4378,2,CADE,NA,370.7,280,228.4,205.4,296,212,23,262,NA,NA,2.7752999999999997,1.1682827701525813,2021,2021_August,NA,4.1801,NA,NA,NA,NA,NA,NA,NA
hydrated,"(90,100]","(80,100]","(90,95]",12.0276,14.389,6.503193778880969,15,60,above 56,16.5983,111,0.8668960074224469,6.512922645181734,1,NA,"(90,100]",NA,0.9355890573000001,1.296437747,1,1,1,2021_August_PIJE_2.2,93.55890573,93.55890573,NA,93.55890573,1,HP,"2021_August_HP_PIJE_(90,100]","2021_August_HP_PIJE_(90,100]_2.2",August,3.26,23,NA,96,1139,NA,10,10,0.6666666666666666,9,72.16613828662304,27.83386171337696,2.2,15,7.5017,2,PIJE,NA,495.9,227.2,193.9,165.6,230.6,152.7,28.30000000000001,262,234,234,2.209299999999999,0.9985062211190305,2021,2021_August,2.2108937123278847,9.042877777777777,9.226235914244038,17.068536441351473,2.3065589785610094,14.761977462790462,35.98232006555175,35.98232006555175,NA
hydrated,"(130,140]","(120,140]","(135,140]",12.1883,15.3735,7.710412813607802,30,60,above 52,19.7181,85,0.7796643692850731,3.538530589697556,1,NA,"(130,140]",NA,1.363995981,1.412770123,1,1,1,2021_August_PIJE_2.3,136.3995981,136.3995981,NA,136.3995981,1,HP,"2021_August_HP_PIJE_(130,140]","2021_August_HP_PIJE_(130,140]_2.3",August,0.75,6,NA,55,4367,NA,NA,NA,0.3333333333333333,1,96.54762362213403,3.452376377865974,2.3,14,9.8894,2,PIJE,NA,422.4,222.5,232,188.9,237.5,178.6,43.099999999999994,262,198,198,4.3446,2.178987186392198,2021,2021_August,2.4599121986362307,11.28827,7.781684515530527,11.024053063668246,3.8908422577652635,7.1332108059029835,25.67955890125074,25.67955890125074,NA
hydrated,"(130,140]","(120,140]","(135,140]",12.1563,14.2173,4.970659519103699,29,49,49,17.1014,82,0.8313529886442045,4.929544745327829,1,NA,"(130,140]",NA,1.3993692379999998,1.951887782,1,1,1,2021_August_ABCO_2.3,139.9369238,139.9369238,NA,139.9369238,1,HP,"2021_August_HP_ABCO_(130,140]","2021_August_HP_ABCO_(130,140]_2.3",August,3.49,17,sample touching pilot flame,53,1541,NA,50,50,0.3448275862068966,10,71.69311939470913,28.30688060529087,2.3,NA,5.979,2,ABCO,NA,357.6,262.2,307,218.6,270.7,208.6,88.4,262,188,188,2.884100000000002,1.008340480896301,2021,2021_August,2.4194440920351803,7.060742857142857,9.857846793102336,16.496804837436564,5.834235857142199,10.662568980294363,37.82194279802529,37.82194279802529,NA
hydrated,"(120,130]","(120,140]","(125,130]",12.1905,15.2486,11.446755051235305,24,60,above 56,19.0884,113,0.7988411810314118,3.9711964164800246,1,NA,"(120,130]",NA,1.255616232,1.412770123,1,1,1,2021_August_PIJE_2.3,125.5616232,125.5616232,NA,125.5616232,1,HP,"2021_August_HP_PIJE_(120,130]","2021_August_HP_PIJE_(120,130]_2.3",August,1.76,19,NA,89,1379,NA,10,10,0.4166666666666667,10,88.87618810438278,11.123811895617223,2.3,17,14.3292,2,PIJE,NA,523.3,230.1,250.4,160.9,233.5,147.9,89.5,262,192,192,3.8398000000000003,2.882444948764695,2021,2021_August,2.5099391398546556,11.28827,5.241660167570804,9.871793315591681,2.0966640670283216,7.77512924856336,16.773312536226573,16.773312536226573,NA
moderate,"(70,80]","(60,80]","(75,80]",7.2576,8.9298,4.284564519479501,16,44,44,10.2056,174,0.874990201458023,6.99937294246747,1,NA,"(70,80]",NA,0.7629470159,1.585608238,1,1,1,2021_August_ARPA_2.3,76.29470159,76.29470159,NA,76.29470159,1,HP,"2021_August_HP_ARPA_(70,80]","2021_August_HP_ARPA_(70,80]_2.3",August,5.85,16,NA,158,1638,NA,100,70,0.625,12,48.11699369463039,51.88300630536961,2.3,NA,4.8967,2,ARPA,NA,299.6,242.4,242,203.9,255.4,199.6,38.099999999999994,262,158,158,1.2758000000000003,0.6121354805204993,2021,2021_August,2.6473430405938148,4.8967,10.269421734684304,40.610895041706115,3.734335176248838,36.876559865457274,36.876559865457274,36.876559865457274,NA
