"","sample","fresh.wt","dry.wt","water.wt","individual","mpa","spp","year.month","gww.gdw.saturated","RWC","RWD","gww.gdw","gdw.gfw","lfm.outliers.out","lfm.NAs.imputed","LFM"
"1",11,8.462,7.646,0.816,"2020_October_ABCO_1.1",-0.208,"ABCO","2020_October",1.873278237,100,0,1.873278237,0.903568896242023,187.3278237,187.3278237,187.3278237
"2",11,8.4925,7.6631,0.8294,"2020_October_ABCO_1.1",-0.698,"ABCO","2020_October",1.873278237,97.4797964302619,2.52020356973806,1.826067812,0.902337356491022,182.6067812,182.6067812,182.6067812
"3",11,8.6678,7.8193,0.8485,"2020_October_ABCO_1.1",-2.187,"ABCO","2020_October",1.873278237,76.8231453062037,23.1768546937963,1.439111262,0.90210895498281,143.9111262,143.9111262,143.9111262
"4",11,13.5592,12.8031,0.7561,"2020_October_ABCO_1.1",-2.509,"ABCO","2020_October",1.873278237,64.5282127408818,35.4717872591182,1.208792966,0.944237123134108,120.8792966,120.8792966,120.8792966
"5",11,13.3797,12.6961,0.6836,"2020_October_ABCO_1.1",-3.01,"ABCO","2020_October",1.873278237,72.6935786208037,27.3064213791963,1.361752988,0.948907673565177,136.1752988,136.1752988,136.1752988
"6",11,8.1926,7.7071,0.4855,"2020_October_ABCO_1.1",-3.62,"ABCO","2020_October",1.873278237,54.5508994775131,45.4491005224869,1.021890128,0.940739203671606,102.1890128,102.1890128,102.1890128
"7",12,7.642,7.3531,0.2889,"2020_October_ABCO_1.2",-0.261,"ABCO","2020_October",2.002079002,100,0,2.002079002,0.96219576027218,200.2079002,200.2079002,200.2079002
"8",12,7.9934,7.5323,0.4611,"2020_October_ABCO_1.2",-1.223,"ABCO","2020_October",2.002079002,82.4304194465549,17.5695805534451,1.650322119,0.942314909800586,165.0322119,165.0322119,165.0322119
"9",12,7.7905,7.4956,0.2949,"2020_October_ABCO_1.2",-1.784,"ABCO","2020_October",2.002079002,72.9553663736992,27.0446336263008,1.460624071,0.962146203709646,146.0624071,146.0624071,146.0624071
"10",12,7.7997,7.4313,0.3684,"2020_October_ABCO_1.2",-2.674,"ABCO","2020_October",2.002079002,78.5355197486857,21.4644802513143,1.57234315,0.952767414131313,157.234315,157.234315,157.234315
"11",12,7.8501,7.4728,0.3773,"2020_October_ABCO_1.2",-2.738,"ABCO","2020_October",2.002079002,70.0833401977811,29.9166598022189,1.403123838,0.951936918001045,140.3123838,140.3123838,140.3123838
"12",12,12.9354,12.5154,0.42,"2020_October_ABCO_1.2",-2.991,"ABCO","2020_October",2.002079002,61.1252714192344,38.8747285807656,1.223776224,0.967530961547382,122.3776224,122.3776224,122.3776224
"13",12,8.0898,7.618,0.4718,"2020_October_ABCO_1.2",-3.467,"ABCO","2020_October",2.002079002,56.5662593168738,43.4337406831262,1.1325012,0.941679645973942,113.25012,113.25012,113.25012
"14",12,7.5714,7.4046,0.1668,"2020_October_ABCO_1.2",-3.822,"ABCO","2020_October",2.002079002,52.8638297461151,47.1361702538849,1.058375635,0.977969728187654,105.8375635,105.8375635,105.8375635
"15",13,8.0189,7.4405,0.5784,"2020_October_ABCO_1.3",-0.112,"ABCO","2020_October",1.91840796,100,0,1.91840796,0.927870406165434,191.840796,191.840796,191.840796
"16",13,8.525,7.6374,0.8876,"2020_October_ABCO_1.3",-1.117,"ABCO","2020_October",1.91840796,90.5431137285314,9.45688627146856,1.736986301,0.895882697947214,173.6986301,173.6986301,173.6986301
"17",13,13.762,12.9378,0.8242,"2020_October_ABCO_1.3",-1.821,"ABCO","2020_October",1.91840796,68.4446510532619,31.5553489467381,1.313047634,0.940110449062636,131.3047634,131.3047634,131.3047634
"18",13,8.8232,7.8292,0.994,"2020_October_ABCO_1.3",-2.223,"ABCO","2020_October",1.91840796,86.298795278143,13.701204721857,1.655562958,0.887342460785203,165.5562958,165.5562958,165.5562958
"19",13,12.8518,12.3525,0.4993,"2020_October_ABCO_1.3",-2.61,"ABCO","2020_October",1.91840796,77.4606828153486,22.5393171846514,1.486011905,0.961149410977451,148.6011905,148.6011905,148.6011905
"20",13,12.9796,12.4549,0.5247,"2020_October_ABCO_1.3",-2.755,"ABCO","2020_October",1.91840796,78.7526747439059,21.2473252560941,1.510797581,0.959575025424512,151.0797581,151.0797581,151.0797581
"21",13,7.9367,7.516,0.4207,"2020_October_ABCO_1.3",-2.961,"ABCO","2020_October",1.91840796,69.4415519939773,30.5584480060227,1.332172261,0.946993082767397,133.2172261,133.2172261,133.2172261
"22",13,12.9453,12.5391,0.4062,"2020_October_ABCO_1.3",-3.377,"ABCO","2020_October",1.91840796,49.2070812352134,50.7929187647866,0.9439925633,0.968621816412134,94.39925633,94.39925633,94.39925633
"23",14,7.9775,7.5349,0.4426,"2020_October_ABCO_1.4",-0.312,"ABCO","2020_October",1.74,75.5024683908046,24.4975316091954,1.31374295,0.944518959573801,131.374295,131.374295,131.374295
"24",14,8.1974,7.6232,0.5742,"2020_October_ABCO_1.4",-1.243,"ABCO","2020_October",1.74,100,0,1.74,0.929953399858492,174,174,174
"25",14,12.659,12.3406,0.3184,"2020_October_ABCO_1.4",-2.352,"ABCO","2020_October",1.74,83.901194770115,16.098805229885,1.459880789,0.974847934276009,145.9880789,145.9880789,145.9880789
"26",14,7.8384,7.4749,0.3635,"2020_October_ABCO_1.4",-2.437,"ABCO","2020_October",1.74,88.5954393678161,11.4045606321839,1.541560645,0.953625739946928,154.1560645,154.1560645,154.1560645
"27",14,12.7213,12.3278,0.3935,"2020_October_ABCO_1.4",-2.662,"ABCO","2020_October",1.74,75.4334306896552,24.5665693103448,1.312541694,0.969067626736261,131.2541694,131.2541694,131.2541694
"28",14,7.6447,7.3786,0.2661,"2020_October_ABCO_1.4",-3.109,"ABCO","2020_October",1.74,67.045609137931,32.954390862069,1.166593599,0.965191570630633,116.6593599,116.6593599,116.6593599
"29",14,12.6864,12.3912,0.2952,"2020_October_ABCO_1.4",-3.283,"ABCO","2020_October",1.74,61.6031853448276,38.3968146551724,1.071895425,0.976730987514188,107.1895425,107.1895425,107.1895425
"30",14,7.5094,7.3526,0.1568,"2020_October_ABCO_1.4",-3.476,"ABCO","2020_October",1.74,57.6182497126437,42.3817502873563,1.002557545,0.979119503555544,100.2557545,100.2557545,100.2557545
"31",15,8.0561,7.5121,0.544,"2020_October_ABCO_1.5",-0.179,"ABCO","2020_October",1.811521812,100,0,1.811521812,0.932473529375256,181.1521812,181.1521812,181.1521812
"32",15,7.8922,7.4048,0.4874,"2020_October_ABCO_1.5",-1.083,"ABCO","2020_October",1.811521812,97.8028176786866,2.19718232131339,1.771719375,0.938242822026811,177.1719375,177.1719375,177.1719375
"33",15,7.8323,7.4885,0.3438,"2020_October_ABCO_1.5",-1.517,"ABCO","2020_October",1.811521812,72.910174321434,27.089825678566,1.320783711,0.956104847873549,132.0783711,132.0783711,132.0783711
"34",15,12.7778,12.3819,0.3959,"2020_October_ABCO_1.5",-2.518,"ABCO","2020_October",1.811521812,81.0027920878272,18.9972079121728,1.467383247,0.969016575623347,146.7383247,146.7383247,146.7383247
"35",15,12.8859,12.4827,0.4032,"2020_October_ABCO_1.5",-2.637,"ABCO","2020_October",1.811521812,81.0838958311146,18.9161041688854,1.468852459,0.968709985332806,146.8852459,146.8852459,146.8852459
"36",15,7.777,7.461,0.316,"2020_October_ABCO_1.5",-2.94,"ABCO","2020_October",1.811521812,71.0545704983209,28.9454295016791,1.287169043,0.959367365307959,128.7169043,128.7169043,128.7169043
"37",15,12.6169,12.3244,0.2925,"2020_October_ABCO_1.5",-3.02,"ABCO","2020_October",1.811521812,63.4944758810334,36.5055241189666,1.15021628,0.976816809200358,115.021628,115.021628,115.021628
"38",15,7.5861,7.3844,0.2017,"2020_October_ABCO_1.5",-3.224,"ABCO","2020_October",1.811521812,62.517040562137,37.482959437863,1.132509826,0.973411898076746,113.2509826,113.2509826,113.2509826
"39",16,7.9587,7.5062,0.4525,"2020_October_ABCO_1.6",-0.106,"ABCO","2020_October",1.897634742,75.7239569974104,24.2760430025896,1.436964116,0.943143980800884,143.6964116,143.6964116,143.6964116
"40",16,7.85,7.4608,0.3892,"2020_October_ABCO_1.6",-1.278,"ABCO","2020_October",1.897634742,86.9425287956706,13.0574712043294,1.649851632,0.950420382165605,164.9851632,164.9851632,164.9851632
"41",16,7.9701,7.4807,0.4894,"2020_October_ABCO_1.6",-2.313,"ABCO","2020_October",1.897634742,100,0,1.897634742,0.938595500683806,189.7634742,189.7634742,189.7634742
"42",16,8.2925,7.6233,0.6692,"2020_October_ABCO_1.6",-2.485,"ABCO","2020_October",1.897634742,84.0842942366408,15.9157057633592,1.59561278,0.919300572806753,159.561278,159.561278,159.561278
"43",16,12.349,12.1496,0.1994,"2020_October_ABCO_1.6",-2.907,"ABCO","2020_October",1.897634742,73.8780094571403,26.1219905428597,1.40193477415674,0.983852943558183,NA,140.193477415674,140.193477415674
"44",16,12.7509,12.4702,0.2807,"2020_October_ABCO_1.6",-3.04,"ABCO","2020_October",1.897634742,60.8227733954504,39.1772266045496,1.154194079,0.977985867664243,115.4194079,115.4194079,115.4194079
"45",16,7.6198,7.3956,0.2242,"2020_October_ABCO_1.6",-3.452,"ABCO","2020_October",1.897634742,61.7601035152212,38.2398964847788,1.171981181,0.970576655555264,117.1981181,117.1981181,117.1981181
