individual,site,year,month,year.month,lfm.outliers.out,lfm.NAs.imputed,mpa,dw.flam.sample,ww.flam.sample,sample.wt,spp,start.temp,gww.gdw.saturated,gdw.gww.saturated,fd,fh,gd,gti,pfg,dry.norm.fd,dry.norm.fh,dry.norm.gd,dry.norm.gti,dry.norm.pfg,temp.max,ttfg,tti,temp.change,PC1,PC2,PC3,PC4,model,LFM,prop.ignite,bins10lfm,flam.index,precip.2mo
2019_December_CEME_4,St. Marys,2019,December,2019_December,96.18380062,96.18380062,0.58,0.293602223104406,0.282397776895594,0.576,CEME,279.3,1.479640844,0.478717201166181,3,2,119,24,60,10.2179062824507,6.8119375216338,405.310282537211,81.7432502596055,204.358125649014,343.2,13,69,63.9,-1.713623757945977,1.8108791402430104,0.5889856003834887,1.842392828649094,EPI,96.18380062,80,"(90,100]",5.67907339782035,3.69
2019_December_CEME_5,St. Marys,2019,December,2019_December,120.9012994,120.9012994,0.25,0.231777722152691,0.280222277847309,0.512,CEME,283.6,1.624141315,0.61570996978852,7,5,171,24,104,30.2013495299972,21.5723925214266,737.775824232789,103.547484102848,448.705764445673,312.3,3,63,28.7,-2.213163847391397,-0.41855742419042746,-1.3208065132467641,0.3915473389425738,EPI,120.9012994,86,"(120,130]",6.41079518826722,3.69
2019_December_CEME_8,St. Marys,2019,December,2019_December,NA,111.15935358594,0.317,0.180220600162206,0.403779399837794,0.584,CEME,265.3,1.480726086,0.326428332776478,8,7,128,27,93,44.3900419419293,38.8412866991882,710.240671070869,149.816391554011,516.034237574928,296.8,9,36,23.45,-0.288694087229123,0.10237826143026339,-0.9082831415175779,-0.3144899298078791,EPI,111.15935358594,54,"(110,120]",8.43560168140682,3.69
2019_December_CEME_5,St. Marys,2019,December,2019_December,123.7289451,123.7289451,1.92,0.275344990285873,0.340655009714127,0.616,CEME,276.7,1.624141315,0.61570996978852,1,5,113,40,72,3.63180749706673,18.1590374853337,410.394247168541,145.272299882669,261.490139788805,283,9,49,6.30000000000001,-1.564458446183511,2.3699731486813205,-0.9173951686839757,-0.1020777032447967,EPI,123.7289451,86,"(120,130]",7.07174084512286,3.69
2019_December_CEME_6,St. Marys,2019,December,2019_December,158.7018545,158.7018545,1.39,0.257052660601048,0.407947339398952,0.665,CEME,274.5,1.702711981,0.543586550435866,4,9,163,44,115,15.5610138041251,35.0122810592815,634.111312518099,171.171151845376,447.379146868598,307.6,30,43,33.1,-2.747543104719319,-0.6735307455709624,0.13363116484536403,0.10847017196505573,EPI,158.7018545,100,"(150,160]",8.18999995508938,3.69
2019_December_CEME_9,St. Marys,2019,December,2019_December,NA,107.069762440853,1.01,0.238814440565864,0.430185559434136,0.669,CEME,276.4,1.741025006,0.519501879699248,9,15,149,33,107,37.6861632767045,62.8102721278409,623.915369803219,138.18259868125,448.046607845265,261.9,24,57,-14.5,-1.8112701634781756,-0.905900418455929,0.15484714000181127,-1.4702749081985522,EPI,107.069762440853,53,"(100,110]",8.14358349406502,3.69
2019_December_CEME_4,St. Marys,2019,December,2019_December,147.9640844,147.9640844,2.98,0.225867295385652,0.334132704614348,0.56,CEME,265.7,1.479640844,0.478717201166181,12,13,114,32,70,53.1285416045332,57.5559200715776,504.721145243065,141.676110945422,309.91649269311,273.6,23,55,7.90000000000003,-0.5476215683475062,0.22342338389979277,0.605125891607692,-0.9455857350173171,EPI,147.9640844,60,"(140,150]",7.99662151011101,3.69
2019_December_CEME_6,St. Marys,2019,December,2019_December,170.2711981,170.2711981,2.37,0.239389178203988,0.407610821796012,0.647,CEME,259.7,1.702711981,0.543586550435866,3,3,132,34,95,12.531894810398,12.531894810398,551.403371657512,142.02814118451101,396.843335662603,260.4,26,60,0.699999999999989,-2.9981138778162,1.1555502057442342,1.013224171606689,-0.9196289889196377,EPI,170.2711981,60,"(170,180]",6.17371340442258,3.69
2019_December_CEME_6,St. Marys,2019,December,2019_December,170.2711981,170.2711981,2.37,0.239389178203988,0.407610821796012,0.647,CEME,265.2,1.702711981,0.543586550435866,3,13,103,18,82,12.531894810398,54.3048775117247,430.261721823665,75.191368862388,342.538458150879,297.1,27,45,31.9,-0.040565084575162905,0.5045361398993174,1.5450319670028319,-0.29655066494965987,EPI,170.2711981,60,"(170,180]",8.66523534874905,3.69
2019_December_CEME_9,St. Marys,2019,December,2019_December,NA,100.33049391605,2.152,0.212997216638318,0.410002783361682,0.623,CEME,274.2,1.741025006,0.519501879699248,5,13,157,27,125,23.4744851548473,61.0336614026031,737.098833862207,126.762219836176,586.862128871184,276.8,19,46,2.60000000000002,-1.6430587013679285,-1.127345639706131,-0.33537114629802933,-1.1182797680301169,EPI,100.33049391605,53,"(100,110]",8.58808759813697,3.69
2019_December_CEME_4,St. Marys,2019,December,2019_December,77.59403372,77.59403372,8.87,0.322645974073398,0.250354025926602,0.573,CEME,267.4,1.479640844,0.478717201166181,10,13,150,33,107,30.9937231627292,40.291840111548,464.905847440938,102.279286437006,331.632837841202,288.6,12,45,21.2,-0.968599883864007,-0.9774952041852819,-1.1971466423062243,-0.7217194082344244,EPI,77.59403372,100,"(70,80]",8.66523534874905,3.69
2019_December_CEME_6,St. Marys,2019,December,2019_December,28.49525435,28.49525435,10,0.414032863070539,0.117967136929461,0.532,CEME,276.9,1.702711981,0.543586550435866,5,12,142,26,111,12.0763360737096,28.9832065769029,342.967944493351,62.7969475832897,268.094660836352,282.1,13,39,5.20000000000005,-0.7663156916887204,-0.48870076708881593,-0.7768995656411568,-0.9131455581285561,EPI,28.49525435,50,"(20,30]",9.03333150740487,3.69
2019_December_CEME_8,St. Marys,2019,December,2019_December,NA,94.204959127305,3.19,0.175781560283688,0.348218439716312,0.524,CEME,258.9,1.480726086,0.326428332776478,5,9,103,35,63,28.4443942352694,51.199909623485,585.95452124655,199.110759646886,358.399367364395,297.2,11,46,38.3,-0.3529287920123445,1.729888254624043,-0.5737847005909077,0.08571544018174826,EPI,94.204959127305,80,"(90,100]",7.9675423291906,3.69
