date,sample,fresh.weight,dry.weight,water.potential,spp,fresh.weight.saturated.excel,RWD.excel,TLP.excel,RWC.at.tlp.excel,Po,SWC,
02.11.2020,5,0.2538,0.1295,-1.073,CEME,0.2612,5.64,,,,,
02.11.2020,5,0.2531,0.1295,-1.24,CEME,0.2612,6.17,,,,,
02.11.2020,5,0.2527,0.1295,-1.342,CEME,0.2612,6.47,,,,,
02.11.2020,5,0.2521,0.1295,-1.42,CEME,0.2612,6.93,,,,,
02.11.2020,5,0.2512,0.1295,-1.561,CEME,0.2612,7.61,,,,,
02.11.2020,5,0.251,0.1295,-1.577,CEME,0.2612,7.76,,,,,
02.11.2020,5,0.2504,0.1295,-1.833,CEME,0.2612,8.22,,,,,
02.11.2020,5,0.2496,0.1295,-1.997,CEME,0.2612,8.83,,,,,
02.11.2020,5,0.2484,0.1295,-2,CEME,0.2612,9.74,,,,,
02.11.2020,5,0.2487,0.1295,-2.081,CEME,0.2612,9.51,,,,,
02.11.2020,5,0.2478,0.1295,-2.084,CEME,0.2612,10.19,,,,,
02.11.2020,5,0.2467,0.1295,-2.148,CEME,0.2612,11.03,,,,,
02.11.2020,5,0.2449,0.1295,-2.336,CEME,0.2612,12.39,,,,,
02.11.2020,5,0.2456,0.1295,-2.384,CEME,0.2612,11.86,,,,,
02.11.2020,5,0.246,0.1295,-2.402,CEME,0.2612,11.56,,,,,
02.11.2020,5,0.2436,0.1295,-2.511,CEME,0.2612,13.38,,,,,
02.11.2020,5,0.2429,0.1295,-2.668,CEME,0.2612,13.91,,,,,
02.11.2020,5,0.2419,0.1295,-2.894,CEME,0.2612,14.67,,,,,
02.11.2020,6,0.3159,0.148,-0.144,CEME,0.3168,0.52,,,,,
02.11.2020,6,0.314,0.148,-0.298,CEME,0.3168,1.65,,,,,
02.11.2020,6,0.3113,0.148,-0.596,CEME,0.3168,3.25,,,,,
02.11.2020,6,0.3074,0.148,-0.725,CEME,0.3168,5.56,,,,,
02.11.2020,6,0.309,0.148,-0.824,CEME,0.3168,4.61,,,,,
02.11.2020,6,0.3053,0.148,-0.845,CEME,0.3168,6.8,,,,,
02.11.2020,6,0.304,0.148,-1.086,CEME,0.3168,7.57,,,,,
02.11.2020,6,0.3018,0.148,-1.38,CEME,0.3168,8.88,,,,,
02.11.2020,6,0.2981,0.148,-1.508,CEME,0.3168,11.07,,,,,
02.11.2020,6,0.2995,0.148,-1.631,CEME,0.3168,10.24,,,,,
02.11.2020,6,0.3005,0.148,-1.711,CEME,0.3168,9.65,,,,,
02.11.2020,6,0.2968,0.148,-1.962,CEME,0.3168,11.84,,,,,
02.11.2020,6,0.2952,0.148,-2.113,CEME,0.3168,12.79,,,,,
02.11.2020,6,0.2941,0.148,-2.135,CEME,0.3168,13.44,,,,,
02.11.2020,6,0.2928,0.148,-2.171,CEME,0.3168,14.21,,,,,
02.11.2020,6,0.2914,0.148,-2.492,CEME,0.3168,15.04,,,,,
02.11.2020,6,0.2851,0.148,-2.611,CEME,0.3168,18.77,,,,,
02.11.2020,6,0.2894,0.148,-2.614,CEME,0.3168,16.22,,,,,
02.11.2020,6,0.2907,0.148,-2.671,CEME,0.3168,15.45,,,,,
02.11.2020,6,0.2879,0.148,-2.709,CEME,0.3168,17.11,,,,,
02.11.2020,6,0.2871,0.148,-2.831,CEME,0.3168,17.59,,,,,
02.11.2020,6,0.2869,0.148,-2.915,CEME,0.3168,17.71,,,,,
02.11.2020,6,0.2834,0.148,-2.932,CEME,0.3168,19.78,,,,,
02.11.2020,6,0.2818,0.148,-3.004,CEME,0.3168,20.73,,,,,
02.11.2020,6,0.2805,0.148,-3.064,CEME,0.3168,21.5,,,,,
09.11.2021,1,0.4499,0.2404,-0.156,ADFA,0.4518,0.9,-3.210883099,85.46044293,-2.31320938,0.690982719,
09.11.2021,1,0.4487,0.2404,-0.232,ADFA,0.4518,1.46,-3.210883099,85.46044293,-2.31320938,0.690982719,
09.11.2021,1,0.4444,0.2404,-0.836,ADFA,0.4518,3.5,-3.210883099,85.46044293,-2.31320938,0.690982719,
09.11.2021,1,0.445,0.2404,-0.84,ADFA,0.4518,3.21,-3.210883099,85.46044293,-2.31320938,0.690982719,
09.11.2021,1,0.4418,0.2404,-1.111,ADFA,0.4518,4.73,-3.210883099,85.46044293,-2.31320938,0.690982719,
09.11.2021,1,0.4411,0.2404,-1.286,ADFA,0.4518,5.06,-3.210883099,85.46044293,-2.31320938,0.690982719,
09.11.2021,1,0.4387,0.2404,-1.289,ADFA,0.4518,6.19,-3.210883099,85.46044293,-2.31320938,0.690982719,
09.11.2021,1,0.4328,0.2404,-1.308,ADFA,0.4518,8.99,-3.210883099,85.46044293,-2.31320938,0.690982719,
09.11.2021,1,0.4367,0.2404,-1.383,ADFA,0.4518,7.14,-3.210883099,85.46044293,-2.31320938,0.690982719,
09.11.2021,1,0.4345,0.2404,-1.414,ADFA,0.4518,8.18,-3.210883099,85.46044293,-2.31320938,0.690982719,
09.11.2021,1,0.4337,0.2404,-1.477,ADFA,0.4518,8.56,-3.210883099,85.46044293,-2.31320938,0.690982719,
09.11.2021,1,0.4309,0.2404,-2.003,ADFA,0.4518,9.88,-3.210883099,85.46044293,-2.31320938,0.690982719,
09.11.2021,1,0.4318,0.2404,-2.055,ADFA,0.4518,9.46,-3.210883099,85.46044293,-2.31320938,0.690982719,
09.11.2021,1,0.4294,0.2404,-2.124,ADFA,0.4518,10.59,-3.210883099,85.46044293,-2.31320938,0.690982719,
