"","individual","site","year","year_month","month","lfm_outliers_out","lfm_n_as_imputed","mpa","dw_flam_sample","ww_flam_sample","sample_wt","spp","start_temp","gww_gdw_saturated","gdw_gww_saturated","fd","fh","gd","gti","pfg","dry_norm_fd","dry_norm_fh","dry_norm_gd","dry_norm_gti","dry_norm_pfg","temp_max","ttfg","tti","temp_change","pc1","pc2","pc3","pc4","ttms","model","lfm","prop_ignite","bins10lfm","flam_index","precip_2mo"
"23","2020_October_CADE_1.1",1,2020,"2020_October","October",121.1375212,121.1375212,1.271,3.71031453086345,0.274485469136547,3.9848,"CADE",229.9,1.509893892,13.5173440784863,15,39,155,0.5,140,4.04278394061359,10.5112382455953,41.7754340530071,0.13475946468712,37.7326501123935,278.1,168,168,48.2,3.06787852343047,1.17971756194651,0.0151994678701861,2.38853312912614,3,"HP",121.1375212,100,"(120,130]",NA,NA
"24","2020_October_PIJE_1.1",1,2020,"2020_October","October",131.6837658,131.6837658,3.609,6.47383263508813,0.190867364911867,6.6647,"PIJE",267.4,1.700417537,12.6997228820269,60,44,215,7,148,9.26808019021072,6.79659213948786,33.2106206815884,1.08127602219125,22.8612644691864,275.1,53,60,7.70000000000005,0.991301103540057,-2.06161600310617,1.35637282014255,-0.853771301136436,19,"HP",131.6837658,92,"(130,140]",NA,NA
"25","2020_October_ARPA_1.1",1,2020,"2020_October","October",88.39779006,88.39779006,4.008,4.47959839989162,0.20890160010838,4.6885,"ARPA",236.2,1.341844398,12.2200157604413,23,30,172,0.5,149,5.13438883283744,6.69702891239666,38.3962990977409,0.111617148539944,33.2619102649034,397.9,41,41,161.7,0.0952388058783917,-1.9333240664956,0.830285279806051,-0.868076533297125,5,"HP",88.39779006,67,"(80,90]",NA,NA
"26","2020_October_ARPA_1.1",1,2020,"2020_October","October",95.97623548,95.97623548,3.025,2.62561838440111,0.120281615598886,2.7459,"ARPA",267.7,1.341844398,12.2200157604413,10,33,188,11,167,3.80862659227645,12.5684677545123,71.6021799347972,4.18948925150409,63.6040640910166,308.6,86,97,40.9,1.20849004215835,-0.844556828323288,-0.825871268605251,0.883278599634541,2,"HP",95.97623548,85,"(90,100]",NA,NA
"27","2020_October_ARPA_1.1",1,2020,"2020_October","October",71.06050532,71.06050532,5.761,3.37494894363623,0.185451056363769,3.5604,"ARPA",250.1,1.341844398,12.2200157604413,19,29,260,0.5,241,5.62971479489377,8.59272258167997,77.0382024564411,0.14815038933931,71.4084876615473,340,33,33,89.9,0.417538484209528,-3.57039049375114,-0.157541148716793,0.159106228603455,2,"HP",71.06050532,57,"(70,80]",NA,NA
"28","2020_October_ARPA_1.2",1,2020,"2020_October","October",82.86189684,82.86189684,4.9,3.50181583162029,0.110384168379714,3.6122,"ARPA",252.6,1.676336375,12.9897993879633,25,25,26,0.5,1,7.13915328563482,7.13915328563482,7.42471941706021,0.142783065712696,0.285566131425393,337.9,32,32,85.3,-2.2706642352997,0.107845645859453,1.28146752683121,-0.800165109857839,7,"HP",82.86189684,67,"(80,90]",NA,NA
"29","2020_October_PIJE_1.2",1,2020,"2020_October","October",133.1919406,133.1919406,3.333,6.8860158945229,0.232984105477096,7.119,"PIJE",273.5,1.744179014,19.3928847641145,20,40,33,0.5,13,2.90443709488209,5.80887418976418,4.79232120655545,0.0726109273720523,1.88788411167336,333.7,66,66,60.2,-0.869382668472446,1.3809388050866,1.06338993324219,-0.496576839247936,7,"HP",133.1919406,92,"(130,140]",NA,NA
"30","2020_October_PIJE_1.2",1,2020,"2020_October","October",122.9087452,122.9087452,3.716,5.14261927336165,0.265180726638349,5.4078,"PIJE",270.5,1.744179014,19.3928847641145,21,51,64,21,22,4.08352220604358,9.91712535753441,12.4450200565138,4.08352220604358,4.27797564442661,336.9,77,98,66.4,0.500236669634762,2.04714005288386,0.0343312420806484,-1.25490420316895,8,"HP",122.9087452,94,"(120,130]",NA,NA
"31","2020_October_PIJE_1.2",1,2020,"2020_October","October",146.9850587,146.9850587,1.786,4.82226648620289,0.210833513797115,5.0331,"PIJE",263.3,1.744179014,19.3928847641145,11,40,35,0.5,24,2.28108505232392,8.29485473572335,7.25799789375793,0.103685684196542,4.97691284143401,315.9,74,74,52.6,-0.801562068463016,1.59808869278773,0.535739738396838,0.109753267367798,NA,"HP",146.9850587,92,"(140,150]",NA,NA
"32","2020_October_QUKE_1.2",1,2020,"2020_October","October",138.9121339,138.9121339,1.003,1.10769065855745,0.0299093414425542,1.1376,"QUKE",225,1.612939417,21.1035634743875,5,25,39,0.5,34,4.51389560918708,22.5694780459354,35.2083857516592,0.451389560918708,30.6944901424721,222.1,31,31,-2.90000000000001,-3.04607902841157,0.100682393525453,-0.411560532361145,1.15610921772093,0,"HP",138.9121339,75,"(130,140]",NA,NA
"33","2020_October_QUKE_1.2",1,2020,"2020_October","October",102.0126509,102.0126509,3.443,1.02024256317372,0.0476574368262832,1.0679,"QUKE",224,1.612939417,21.1035634743875,6,34,41,0.5,35,5.88095440885696,33.3254083168561,40.1865217938559,0.490079534071414,34.305567384999,334.5,18,18,110.5,-2.46869782856952,0.253122228614194,0.294915123121186,-0.624084036602254,2,"HP",102.0126509,67,"(100,110]",NA,NA
"34","2020_October_CADE_1.2",1,2020,"2020_October","October",102.0672334,102.0672334,2.471,2.48462070921986,0.102579290780142,2.5872,"CADE",245,1.614745587,16.1734190782422,32,43,72,0.5,40,12.8792293653737,17.3064644597209,28.9782660720908,0.201237958833964,16.0990367067171,265.3,78,78,20.3,-0.319697653697888,0.936930624825954,1.04599000216734,0.171682219575005,NA,"HP",102.0672334,100,"(100,110]",NA,NA
"35","2020_October_CADE_1.2",1,2020,"2020_October","October",51.8957346,51.8957346,5,2.15251920529801,0.0618807947019868,2.2144,"CADE",232.5,1.614745587,16.1734190782422,18,47,59,0.5,41,8.36229472689324,21.8348806757768,27.4097438270389,0.232285964635923,19.0474491001457,287.8,41,41,55.3,-1.43186790206713,0.841747468236144,0.548132667600166,-0.415280242676047,2,"HP",51.8957346,100,"(50,60]",NA,NA
"36","2020_October_ABCO_1.2",1,2020,"2020_October","October",146.0624071,146.0624071,1.784,2.88095437776779,0.113345622232206,2.9943,"ABCO",265.6,2.002079002,16.1466723187791,14,40,57,0.5,43,4.85950076406535,13.8842878973296,19.7851102536946,0.17355359871662,14.9256094896293,287,74,74,21.4,-0.708851446724166,1.18904585929992,0.394019245548216,0.434695023704298,1,"HP",146.0624071,100,"(140,150]",NA,NA
"37","2020_October_CADE_1.2",1,2020,"2020_October","October",121.9884933,121.9884933,1.212,3.23195115112073,0.17114884887927,3.4031,"CADE",248.3,1.614745587,16.1734190782422,17,31,122,57,48,5.25998049014602,9.59172912908979,37.7480952822244,17.6364051728425,14.8517096192358,310.5,30,87,62.2,-0.295180089844424,0.129254541935932,-2.42104224464185,-1.88385816416033,1,"HP",121.9884933,100,"(120,130]",NA,NA
"38","2020_October_PIJE_1.2",1,2020,"2020_October","October",174.4179014,174.4179014,1.117,6.02267383478055,0.27752616521945,6.3002,"PIJE",275.9,1.744179014,19.3928847641145,20,47,69,0.5,49,3.32078418135502,7.80384282618428,11.4567054256748,0.0830196045338754,8.13592124431979,377.7,104,104,101.8,1.10138425066946,1.79825447837861,1.20801616193137,-0.475605582816398,3,"HP",174.4179014,100,"(170,180]",NA,NA
"39","2020_October_ABCO_1.2",1,2020,"2020_October","October",165.0322119,165.0322119,1.223,2.56988122200816,0.157318777991843,2.7272,"ABCO",263.6,2.002079002,16.1466723187791,10,47,62,0.5,52,3.89123042511116,18.2887829980225,24.1256286356892,0.194561521255558,20.2343982105781,294.8,67,67,31.2,-0.662490335047835,1.35848449616194,0.233238324327989,0.163835613190649,NA,"HP",165.0322119,100,"(160,170]",NA,NA
"40","2020_October_ABCO_1.2",1,2020,"2020_October","October",200.2079002,200.2079002,0.261,3.08374119209631,0.12115880790369,3.2049,"ABCO",267,2.002079002,16.1466723187791,6,20,108,44,58,1.94568857314554,6.4856285771518,35.0223943166197,14.268382869734,18.8083228737402,289.2,100,144,22.2,0.8477205543201,0.945526876507898,-2.30602240310987,0.477303855501804,NA,"HP",200.2079002,100,"(200,210]",NA,NA
"41","2020_October_ABCO_1.2",1,2020,"2020_October","October",122.3776224,122.3776224,2.991,1.67305453870773,0.0561454612922678,1.7292,"ABCO",273.7,2.002079002,16.1466723187791,16,32,74,0.5,58,9.56334634037597,19.1266926807519,44.2304768242389,0.298854573136749,34.6671304838629,275.6,52,52,1.90000000000003,-1.42985058380305,0.0963081164717774,0.288445658178695,0.468334759001258,NA,"HP",122.3776224,100,"(120,130]",NA,NA
"42","2020_October_PIJE_1.2",1,2020,"2020_October","October",169.1558442,169.1558442,0.512,6.90388518769023,0.318114812309774,7.222,"PIJE",274.9,1.744179014,19.3928847641145,29,42,87,0.5,58,4.20053335355397,6.08353106376782,12.6016000606619,0.0724229888543788,8.40106670710794,351.2,130,130,76.3,1.85036207650108,1.62027303588544,1.40568110881091,0.184604576712484,NA,"HP",169.1558442,100,"(160,170]",NA,NA
"43","2020_October_ABCO_1.2",1,2020,"2020_October","October",105.8375635,105.8375635,3.822,1.83007475235756,0.0412252476424437,1.8713,"ABCO",235.3,2.002079002,16.1466723187791,28,26,106,18,60,15.299921472568,14.2070699388132,57.9211312890076,9.83566380379374,32.7855460126458,236.4,45,63,1.09999999999999,-1.24424946355824,-0.592389882571024,-0.398446171135327,0.19521844450328,4,"HP",105.8375635,100,"(100,110]",NA,NA
"44","2020_October_ABCO_1.2",1,2020,"2020_October","October",113.25012,113.25012,3.467,2.51381381492744,0.155686185072561,2.6695,"ABCO",236.1,2.002079002,16.1466723187791,11,34.5,95,15,69,4.37582128584074,13.7241667601369,37.7911838322609,5.96702902614646,27.4483335202737,266.8,60,75,30.7,-0.721244487663326,0.405184530949138,-0.779561803767008,0.389327033697679,2,"HP",113.25012,92,"(110,120]",NA,NA
"45","2020_October_CADE_1.2",1,2020,"2020_October","October",133.4392375,133.4392375,0.994,3.01139188369323,0.159608116306766,3.171,"CADE",271.4,1.614745587,16.1734190782422,14,29,108,17,77,4.64901299489129,9.63009834656052,35.8638145320185,5.64523006522514,25.5695714719021,272,81,98,0.600000000000023,-0.00898728112875974,0.315424170516092,-0.752904304008053,0.722005473966063,NA,"HP",133.4392375,100,"(130,140]",NA,NA
"46","2020_October_CADE_1.2",1,2020,"2020_October","October",88.58926342,88.58926342,3.296,2.09279213179439,0.0593078682056141,2.1521,"CADE",245.3,1.614745587,16.1734190782422,10,44,90,0.5,80,4.77830542655274,21.0245438768321,43.0047488389747,0.238915271327637,38.226443412422,283.4,93,93,38.1,0.262927745146812,1.21386369756836,0.0520561466454925,0.900404304080288,NA,"HP",88.58926342,100,"(80,90]",NA,NA
"47","2020_October_CADE_1.2",1,2020,"2020_October","October",116.722478,116.722478,1.909,2.49158416207091,0.108815837929094,2.6004,"CADE",253.2,1.614745587,16.1734190782422,21,39,104,0.5,83,8.42837272755243,15.6526922083117,41.7405125554978,0.200675541132201,33.3121398279453,272.3,72,72,19.1,-0.301204659571247,0.226518794568099,0.393517129282557,0.573547657436141,3,"HP",116.722478,100,"(110,120]",NA,NA
"48","2020_October_ARPA_1.2",1,2020,"2020_October","October",110.7378401,110.7378401,1.859,5.22755277234181,0.362847227658186,5.5904,"ARPA",212.5,1.676336375,12.9897993879633,47,21,138,0.5,91,8.99082267493689,4.01717608880159,26.3985857264105,0.0956470497333712,17.4077630514736,413.5,47,47,201,-0.0329823179491781,-1.96115194943575,2.20922635446595,-1.53248062340666,25,"HP",110.7378401,88,"(110,120]",NA,NA
"49","2020_October_ABCO_1.2",1,2020,"2020_October","October",157.234315,157.234315,2.674,2.90222482018539,0.143875179814608,3.0461,"ABCO",267,2.002079002,16.1466723187791,13,29,107,0.5,94,4.47932217710466,9.99233408738731,36.8682671500152,0.172281622196333,32.3889449729106,343.6,57,57,76.6,-0.604304323913332,-0.475110295016319,0.385141146926615,0.0800082231055835,NA,"HP",157.234315,100,"(150,160]",NA,NA
"50","2020_October_PIJE_1.2",1,2020,"2020_October","October",105.6876457,105.6876457,3.201,6.63937650128902,0.120823498710985,6.7602,"PIJE",249.1,1.744179014,19.3928847641145,14,44,170,54,102,2.10863173632071,6.62712831415081,25.6048139410372,8.13329384009418,15.3628883646223,384.6,30,84,135.5,0.952658431001509,-0.092809510661492,-2.19315253418103,-2.75062087679006,NA,"HP",105.6876457,100,"(100,110]",NA,NA
"51","2020_October_ARPA_1.2",1,2020,"2020_October","October",72.67358626,72.67358626,5.802,2.58372988793398,0.134770112066019,2.7185,"ARPA",276.7,1.676336375,12.9897993879633,17,30,123,0.5,106,6.57963515435185,11.6111208606209,47.6055955285458,0.193518681010349,41.0259603741939,302,28,28,25.3,-1.4733294430122,-1.27448614020313,0.20929165236614,0.0121992348555119,10,"HP",72.67358626,57,"(70,80]",NA,NA
"52","2020_October_CADE_1.2",1,2020,"2020_October","October",133.4392375,133.4392375,0.994,3.01139188369323,0.159608116306766,3.171,"CADE",271.4,1.614745587,16.1734190782422,14,36,144,16,114,4.64901299489129,11.9546048440062,47.8184193760247,5.31315770844719,37.8562486726862,272.9,81,97,1.5,0.561283193068651,0.0171557765551651,-0.866434966987507,0.671454454142195,2,"HP",133.4392375,100,"(130,140]",NA,NA
"53","2020_October_ABCO_1.2",1,2020,"2020_October","October",140.3123838,140.3123838,2.738,3.29265460567381,0.166245394326187,3.4589,"ABCO",270,2.002079002,16.1466723187791,12,28,163,37,114,3.64447579145469,8.50377684672761,49.5041295005929,11.2371336903186,34.6225200188196,287.3,75,112,17.3,0.845070891108142,-0.289282495205281,-1.99539833842625,0.121399505573675,2,"HP",140.3123838,100,"(140,150]",NA,NA
"54","2020_October_PIJE_1.2",1,2020,"2020_October","October",138.1393476,138.1393476,1.466,5.17404243841036,0.238457561589642,5.4125,"PIJE",246,1.744179014,19.3928847641145,12,54,161,15,134,2.31926972823339,10.4367137770502,31.1168688537979,2.89908716029173,25.8985119652728,291.1,95,110,45.1,1.7105130407512,0.843298736599639,-0.833335490127945,0.296167842164812,1,"HP",138.1393476,92,"(130,140]",NA,NA
"55","2020_October_CADE_1.2",1,2020,"2020_October","October",124.7148289,124.7148289,1.251,2.82798809594904,0.13291190405096,2.9609,"CADE",268.2,1.614745587,16.1734190782422,10,34,149,0.5,139,3.53608277712503,12.0226814422251,52.6876333791629,0.176804138856251,49.1515506020379,283.7,78,78,15.5,0.214822028241493,-0.53314097814951,-0.28477571167076,1.19382766721951,3,"HP",124.7148289,100,"(120,130]",NA,NA
"56","2020_October_ARPA_1.2",1,2020,"2020_October","October",145.1628825,145.1628825,2.006,3.01220961258021,0.231890387419794,3.2441,"ARPA",271.7,1.676336375,12.9897993879633,26,28,175,0.5,149,8.63153742402702,9.29550184125987,58.0968865078742,0.165991104308212,49.4653490838472,283.6,40,40,11.9,-0.630123274331876,-2.13865702151471,0.271696672073511,0.402043656734974,15,"HP",145.1628825,100,"(140,150]",NA,NA
"57","2020_October_CADE_1.2",1,2020,"2020_October","October",161.4745587,161.4745587,0.318,3.19975937289363,0.197840627106373,3.3976,"CADE",257.5,1.614745587,16.1734190782422,19,28,214,0.5,195,5.93794650965201,8.75065801422401,66.8800291087121,0.156261750254,60.9420825990601,307.2,84,84,49.7,1.17834093355684,-1.91475694924141,-0.0555932416688689,1.18334976212893,2,"HP",161.4745587,100,"(160,170]",NA,NA
"58","2020_October_PIJE_1.2",1,2020,"2020_October","October",141.1518325,141.1518325,2.906,7.17356798694301,0.233932013056992,7.4075,"PIJE",254.3,1.744179014,19.3928847641145,21,24,319,10,288,2.92741353232077,3.34561546550945,44.4688055623964,1.39400644396227,40.1473855861134,297.8,62,72,43.5,1.73121367015864,-4.07891767228757,-1.03743780685376,1.11309988391526,605,"HP",141.1518325,92,"(140,150]",NA,NA
"59","2020_October_ARPA_1.2",1,2020,"2020_October","October",112.1722846,112.1722846,0.109,2.99050920174165,0.142090798258346,3.1326,"ARPA",228.8,1.676336375,12.9897993879633,33,21,329,0.5,296,11.0349100349803,7.02221547680567,110.014709136622,0.167195606590611,98.9797991016418,286.3,50,50,57.5,1.2654783480333,-4.97801324764614,-0.162102737606197,1.12727378056534,5,"HP",112.1722846,88,"(110,120]",NA,NA
"60","2020_October_PIJE_1.3",1,2020,"2020_October","October",108.8312369,108.8312369,3.501,8.02946882710846,0.263931172891539,8.2934,"PIJE",246,1.676606061,18.2505783689994,49,32,75,0.5,26,6.10252073394569,3.98531966298494,9.34059296012096,0.0622706197341397,3.23807222617527,275.9,68,68,29.9,-0.653562967203486,-0.0202345158197438,1.85489402757408,-0.271789213531796,31,"HP",108.8312369,100,"(100,110]",NA,NA
"61","2020_October_QUKE_1.3",1,2020,"2020_October","October",102.1552915,102.1552915,3.728,0.744690777847407,0.0222092221525929,0.7669,"QUKE",225.5,1.632308846,17.1497129735936,3,32,32,0.5,29,4.028517727414,42.9708557590827,42.9708557590827,0.671419621235667,38.9423380316687,223.3,14,14,-2.19999999999999,-3.44947273607414,0.267385088522383,-0.47028624731116,0.697320197389247,1,"HP",102.1552915,67,"(100,110]",NA,NA
"62","2020_October_ABCO_1.3",1,2020,"2020_October","October",191.840796,191.840796,0.112,4.55027647183529,0.353723528164711,4.904,"ABCO",248.7,1.91840796,7.87645875251509,15,33,70,12,43,3.2965029911578,7.25230658054716,15.3836806254031,2.63720239292624,9.44997524131903,288.8,109,121,40.1,0.517510586535907,1.53213542997069,-0.131271187942464,0.829140538230237,NA,"HP",191.840796,100,"(190,200]",NA,NA
