"","individual","year.month","dry.wt","spp","model","lfm.NAs.imputed","RWC","max.mpa.sample","mpa","gww.gdw","gww.gdw.saturated","fresh.wt","site","sample"
"38","2016_December_ADFA_2","2016_December",0.285,"ADFA","EPI",98.24561404,87.3294347022222,-0.043,-2.2,0.9824561404,1.125,0.565,"St. Marys",2
"39","2016_December_ADFA_3","2016_December",0.5275,"ADFA","EPI",75.45023697,67.1265453469751,-0.043,-1.7,0.7545023697,1.124,0.9255,"St. Marys",3
"40","2016_December_ADFA_4","2016_December",0.748,"ADFA","EPI",70.32085561,66.1016042879424,-0.043,-2.5,0.7032085561,1.063829787,1.274,"St. Marys",4
"41","2016_December_ADFA_5","2016_December",0.51,"ADFA","EPI",75.29411765,82.3369347740732,-0.043,-2.6,0.7529411765,0.9144634526,0.894,"St. Marys",5
"42","2016_December_ADFA_6","2016_December",0.54,"ADFA","EPI",76.2962963,79.8726851888129,-0.043,-4.9,0.762962963,0.9552238806,0.952,"St. Marys",6
"43","2016_December_ADFA_1","2016_December",0.3915,"ADFA","EPI",62.83524904,54.9015054513292,-0.043,-2.7,0.6283524904,1.144508671,0.6375,"St. Marys",1
"44","2016_December_ADFA_2","2016_December",0.128,"ADFA","EPI",76.7416479808314,68.2147982051834,-0.043,-2.8,0.767416479808314,1.125,0.346,"St. Marys",2
"45","2016_December_ADFA_3","2016_December",0.53,"ADFA","EPI",67.54716981,60.0953468060498,-0.043,-2.7,0.6754716981,1.124,0.888,"St. Marys",3
"46","2016_December_ADFA_4","2016_December",0.5765,"ADFA","EPI",93.49522984,87.8855160689348,-0.043,-4.1,0.9349522984,1.063829787,1.1155,"St. Marys",4
"47","2016_December_ADFA_5","2016_December",0.5045,"ADFA","EPI",59.26660059,64.8102452006074,-0.043,-3.6,0.5926660059,0.9144634526,0.8035,"St. Marys",5
"48","2016_December_ADFA_6","2016_December",0.9525,"ADFA","EPI",61.41732283,64.2962598374553,-0.043,-5.9,0.6141732283,0.9552238806,1.5375,"St. Marys",6
"49","2016_December_ADFA_1","2016_December",0.409,"ADFA","EPI",65.03667482,56.8249734300178,-0.043,-3.1,0.6503667482,1.144508671,0.675,"St. Marys",1
"50","2016_December_ADFA_2","2016_December",0.1675,"ADFA","EPI",64.47761194,57.3134328355556,-0.043,-2.8,0.6447761194,1.125,0.2755,"St. Marys",2
"51","2016_December_ADFA_3","2016_December",0.998,"ADFA","EPI",62.6252505,55.7164150355872,-0.043,-3,0.626252505,1.124,1.623,"St. Marys",3
"52","2016_December_ADFA_4","2016_December",0.2935,"ADFA","EPI",91.99318569,86.4735945676242,-0.043,-4.9,0.9199318569,1.063829787,0.5635,"St. Marys",4
"53","2016_December_ADFA_5","2016_December",0.305,"ADFA","EPI",58.68852459,64.1780974659369,-0.043,-4.5,0.5868852459,0.9144634526,0.484,"St. Marys",5
"54","2016_December_ADFA_6","2016_December",0.8755,"ADFA","EPI",60.53683609,63.3745002815207,-0.043,-5.6,0.6053683609,0.9552238806,1.4055,"St. Marys",6
"55","2016_December_ADFA_1","2016_December",0.317,"ADFA","EPI",94.95268139,82.9637064322425,-0.043,-3.4,0.9495268139,1.144508671,0.618,"St. Marys",1
"56","2016_December_ADFA_2","2016_December",0.274,"ADFA","EPI",67.15328467,59.6918085955556,-0.043,-3.6,0.6715328467,1.125,0.458,"St. Marys",2
"57","2016_December_ADFA_3","2016_December",0.3945,"ADFA","EPI",88.46641318,78.7067732918149,-0.043,-3.8,0.8846641318,1.124,0.7435,"St. Marys",3
"58","2016_December_ADFA_4","2016_December",0.5575,"ADFA","EPI",51.12107623,48.0538116667718,-0.043,-5.1,0.5112107623,1.063829787,0.8425,"St. Marys",4
"59","2016_December_ADFA_5","2016_December",0.1955,"ADFA","EPI",78.26086957,85.5811889993951,-0.043,-4.7,0.7826086957,0.9144634526,0.3485,"St. Marys",5
"60","2016_December_ADFA_6","2016_December",0.4115,"ADFA","EPI",55.40704739,58.004252736225,-0.043,-5.3,0.5540704739,0.9552238806,0.6395,"St. Marys",6
"61","2016_December_ADFA_1","2016_December",0.635,"ADFA","EPI",79.52755906,69.4862005637002,-0.043,-4,0.7952755906,1.144508671,1.14,"St. Marys",1
"62","2016_December_ADFA_2","2016_December",0.2715,"ADFA","EPI",106.0773481,94.2909760888889,-0.043,-4.1,1.060773481,1.125,0.5595,"St. Marys",2
"63","2016_December_ADFA_3","2016_December",0.4435,"ADFA","EPI",87.93686584,78.2356457651245,-0.043,-3.9,0.8793686584,1.124,0.8335,"St. Marys",3
"64","2016_December_ADFA_4","2016_December",0.5565,"ADFA","EPI",47.07996406,44.2551662261361,-0.043,-5.6,0.4707996406,1.063829787,0.8185,"St. Marys",4
"65","2016_December_ADFA_5","2016_December",0.2775,"ADFA","EPI",76.75675676,83.9363853653915,-0.043,-5.1,0.7675675676,0.9144634526,0.4905,"St. Marys",5
"66","2016_December_ADFA_6","2016_December",0.3265,"ADFA","EPI",56.04900459,58.6763016799729,-0.043,-5.8,0.5604900459,0.9552238806,0.5095,"St. Marys",6
"67","2016_December_ADFA_1","2016_December",0.2495,"ADFA","EPI",112.6252505,98.4048905471333,-0.043,-4.2,1.126252505,1.144508671,0.5305,"St. Marys",1
"68","2016_December_ADFA_2","2016_December",0.324,"ADFA","EPI",99.69135802,88.6145404622222,-0.043,-4.2,0.9969135802,1.125,0.647,"St. Marys",2
"69","2016_December_ADFA_3","2016_December",0.2925,"ADFA","EPI",102.5641026,91.2492016014235,-0.043,-4,1.025641026,1.124,0.5925,"St. Marys",3
"70","2016_December_ADFA_4","2016_December",0.348,"ADFA","EPI",65.8045977,61.8563218516084,-0.043,-7,0.658045977,1.063829787,0.577,"St. Marys",4
"71","2016_December_ADFA_5","2016_December",0.3415,"ADFA","EPI",63.83601757,69.807073632633,-0.043,-6.4,0.6383601757,0.9144634526,0.5595,"St. Marys",5
"72","2016_December_ADFA_6","2016_December",0.938,"ADFA","EPI",54.26439232,56.8080357098225,-0.043,-7.9,0.5426439232,0.9552238806,1.447,"St. Marys",6
"73","2016_December_ADFA_1","2016_December",0.173,"ADFA","EPI",114.4508671,100,-0.043,-4.7,1.144508671,1.144508671,0.371,"St. Marys",1
"74","2016_December_ADFA_2","2016_December",0.156,"ADFA","EPI",69.3737752891833,61.6655780348296,-0.043,-4.5,0.693737752891833,1.125,0.352,"St. Marys",2
"75","2016_December_ADFA_3","2016_December",0.4235,"ADFA","EPI",85.00590319,75.6280277491103,-0.043,-6.2,0.8500590319,1.124,0.7835,"St. Marys",3
"76","2016_December_ADFA_4","2016_December",0.3365,"ADFA","EPI",60.02971768,56.4279346316141,-0.043,-6.5,0.6002971768,1.063829787,0.5385,"St. Marys",4
"77","2016_December_ADFA_5","2016_December",0.363,"ADFA","EPI",66.66666667,72.902494332008,-0.043,-5.9,0.6666666667,0.9144634526,0.605,"St. Marys",5
"78","2016_December_ADFA_6","2016_December",0.821,"ADFA","EPI",54.44579781,56.9979445821656,-0.043,-7,0.5444579781,0.9552238806,1.268,"St. Marys",6
"79","2016_December_ADFA_1","2016_December",0.084,"ADFA","EPI",67.2067539092868,58.7210526334989,-0.043,-5,0.672067539092868,1.144508671,0.218,"St. Marys",1
"80","2016_December_ADFA_2","2016_December",0.538,"ADFA","EPI",59.8388812176388,53.1901166379011,-0.043,-6.7,0.598388812176388,1.125,0.826,"St. Marys",2
"81","2016_December_ADFA_3","2016_December",0.106,"ADFA","EPI",60.2722854936181,53.6230297985926,-0.043,-6.6,0.602722854936181,1.124,0.269,"St. Marys",3
"82","2016_December_ADFA_4","2016_December",0.538,"ADFA","EPI",53.53159851,50.3197026104703,-0.043,-8.7,0.5353159851,1.063829787,0.826,"St. Marys",4
"83","2016_December_ADFA_5","2016_December",0.628,"ADFA","EPI",52.5477707,57.462953331373,-0.043,-7.3,0.525477707,0.9144634526,0.958,"St. Marys",5
"84","2016_December_ADFA_6","2016_December",0.707,"ADFA","EPI",48.51485149,50.788985153435,-0.043,-9.8,0.4851485149,0.9552238806,1.05,"St. Marys",6
"85","2016_December_ADFA_1","2016_December",0.273,"ADFA","EPI",63.003663,55.0486550223786,-0.043,-6.3,0.63003663,1.144508671,0.445,"St. Marys",1
"86","2016_December_ADFA_2","2016_December",0.261,"ADFA","EPI",85.82375479,76.2877820355556,-0.043,-5.6,0.8582375479,1.125,0.485,"St. Marys",2
"87","2016_December_ADFA_3","2016_December",0.8955,"ADFA","EPI",31.60245673,28.1160647064057,-0.043,-5.5,0.3160245673,1.124,1.1785,"St. Marys",3
"88","2016_December_ADFA_4","2016_December",0.633,"ADFA","EPI",46.44549763,43.6587677818049,-0.043,-8.85,0.4644549763,1.063829787,0.927,"St. Marys",4
"89","2016_December_ADFA_5","2016_December",0.725,"ADFA","EPI",43.86206897,47.9648135147353,-0.043,-7.65,0.4386206897,0.9144634526,1.043,"St. Marys",5
"90","2016_December_ADFA_6","2016_December",0.754,"ADFA","EPI",50.39787798,52.7602785101476,-0.043,-9.3,0.5039787798,0.9552238806,1.134,"St. Marys",6
"91","2016_December_ADFA_1","2016_December",0.774,"ADFA","EPI",48.96640827,42.7837809452472,-0.043,-7.2,0.4896640827,1.144508671,1.153,"St. Marys",1
"92","2016_December_ADFA_2","2016_December",0.303,"ADFA","EPI",44.55445545,39.6039604,-0.043,-7.4,0.4455445545,1.125,0.438,"St. Marys",2
"93","2016_December_ADFA_3","2016_December",0.92,"ADFA","EPI",37.06521739,32.9761720551601,-0.043,-7.1,0.3706521739,1.124,1.261,"St. Marys",3
"94","2016_December_ADFA_4","2016_December",0.503,"ADFA","EPI",59.2445328,55.6898608442518,-0.043,-7.72,0.592445328,1.063829787,0.801,"St. Marys",4
"95","2016_December_ADFA_5","2016_December",0.5995,"ADFA","EPI",51.20934112,55.9993305084,-0.043,-8.91,0.5120934112,0.9144634526,0.9065,"St. Marys",5
"96","2016_December_ADFA_6","2016_December",0.4825,"ADFA","EPI",61.34715026,64.2227979282368,-0.043,-8.2,0.6134715026,0.9552238806,0.7785,"St. Marys",6
