"","model.spp.gr.sample","model.spp.bins5lfm_gr.sample","individual","sample","round","model.spp.gr","model.spp.bins5lfm_gr","spp","model","mpa","lfm.notes","fh","ttfg","gti","tti","fd","gd","pfg","ignition","start.temp","temp.max","ignition.temp","prop.new","sample.wt","glow","year.month","year","month","dry.wt","fresh.wt","water.wt","site","lfm.outliers.out","lfm.NAs.imputed","gr","precip.2month","precip.2mo","season","prop.ignite","ros","bins5lfm_gr","individual.bins5lfm_gr","prop.ignite.bins5","hydration","bins5lfm","bins10lfm","bins20lfm","temp.change","gdw.gfw","gww.gdw","gdw.gww","dw.flam.sample","ww.flam.sample","gww.gdw.saturated","gdw.gww.saturated","RWC","RWD","max.mpa.sample"
"11","2016_December_EPI_ADFA_(60,70]_5","2016_December_EPI_ADFA_(60,65]_5","2016_December_ADFA_5",5,2,"2016_December_EPI_ADFA_(60,70]","2016_December_EPI_ADFA_(60,65]","ADFA","EPI",-0.4,"0",10,15,16,31,9,101,76,1,277.2,379.3,NA,100,0.533,1,"2016_December",2016,"December",0.295,0.473,0.178,"St. Marys",60.33898305,60.33898305,"(60,70]","2016_December",0.61,"Dry",100,1.11111111111111,"(60,65]","2016_December_EPI_ADFA_(60,65]_5",100,"moderate","(60,65]","(60,70]","(60,80]",102.1,0.623678646934461,0.6033898305,1.65730337078652,0.332420718816068,0.200579281183932,0.9144634526,1.09353741496599,65.9829355437272,34.0170644562728,-0.043
"12","2016_December_EPI_ADFA_(80,90]_6","2016_December_EPI_ADFA_(80,85]_6","2016_December_ADFA_6",6,2,"2016_December_EPI_ADFA_(80,90]","2016_December_EPI_ADFA_(80,85]","ADFA","EPI",-0.2,"0",10,46,3,49,6,69,60,1,277.9,316.8,NA,100,0.523,1,"2016_December",2016,"December",0.6625,1.2155,0.553,"St. Marys",83.47169811,83.47169811,"(80,90]","2016_December",0.61,"Dry",100,1.66666666666667,"(80,85]","2016_December_EPI_ADFA_(80,85]_6",100,"moderate","(80,85]","(80,90]","(80,100]",38.9,0.545043192102016,0.8347169811,1.19801084990958,0.285057589469354,0.237942410530646,0.9552238806,1.046875,87.3844339586332,12.6155660413668,-0.043
"13","2016_December_EPI_ADFA_(70,80]_1","2016_December_EPI_ADFA_(75,80]_1","2016_December_ADFA_1",1,3,"2016_December_EPI_ADFA_(70,80]","2016_December_EPI_ADFA_(75,80]","ADFA","EPI",-0.4,"0",10,3,34,37,4,119,81,1,276,341.9,NA,100,0.484,1,"2016_December",2016,"December",0.242,0.427,0.185,"St. Marys",76.44628099,76.44628099,"(70,80]","2016_December",0.61,"Dry",100,2.5,"(75,80]","2016_December_EPI_ADFA_(75,80]_1",100,"moderate","(75,80]","(70,80]","(60,80]",65.9,0.566744730679157,0.7644628099,1.30810810810811,0.274304449648712,0.209695550351288,1.144508671,0.175675675675676,66.7939727561924,33.2060272438076,-0.043
"14","2016_December_EPI_ADFA_(50,60]_2","2016_December_EPI_ADFA_(55,60]_2","2016_December_ADFA_2",2,3,"2016_December_EPI_ADFA_(50,60]","2016_December_EPI_ADFA_(55,60]","ADFA","EPI",-0.7,"0",8,16,18,34,2,70,50,1,283.9,286.3,NA,100,0.53,1,"2016_December",2016,"December",0.1695,0.2635,0.094,"St. Marys",55.45722714,55.45722714,"(50,60]","2016_December",0.61,"Dry",100,5,"(55,60]","2016_December_EPI_ADFA_(55,60]_2",100,"dry","(55,60]","(50,60]","(40,60]",2.40000000000003,0.64326375711575,0.5545722714,1.8031914893617,0.340929791271347,0.189070208728653,1.125,0.454802259887006,49.2953130133333,50.7046869866667,-0.043
"15","2016_December_EPI_ADFA_(80,90]_3","2016_December_EPI_ADFA_(85,90]_3","2016_December_ADFA_3",3,3,"2016_December_EPI_ADFA_(80,90]","2016_December_EPI_ADFA_(85,90]","ADFA","EPI",-0.5,"0",7,14,29,43,3,91,59,1,286.4,289.4,NA,100,0.452,1,"2016_December",2016,"December",0.108,0.322,0.214,"St. Marys",NA,86.7099463283552,"(80,90]","2016_December",0.61,"Dry",100,3.33333333333333,"(85,90]","2016_December_EPI_ADFA_(85,90]_3",100,"moderate","(85,90]","(80,90]","(80,100]",3,0.335403726708075,0.867099463283552,0.504672897196262,0.15160248447205,0.30039751552795,1.124,0.32,77.1440803633053,22.8559196366947,-0.043
"16","2016_December_EPI_ADFA_(90,100]_4","2016_December_EPI_ADFA_(90,95]_4","2016_December_ADFA_4",4,3,"2016_December_EPI_ADFA_(90,100]","2016_December_EPI_ADFA_(90,95]","ADFA","EPI",-0.5,"0",8,15,37,52,7,130,86,1,279.1,306.2,NA,100,0.536,1,"2016_December",2016,"December",0.345,0.662,0.317,"St. Marys",91.88405797,91.88405797,"(90,100]","2016_December",0.61,"Dry",100,1.42857142857143,"(90,95]","2016_December_EPI_ADFA_(90,95]_4",100,"hydrated","(90,95]","(90,100]","(80,100]",27.1,0.521148036253776,0.9188405797,1.08832807570978,0.279335347432024,0.256664652567976,1.063829787,0.94,86.3710145108016,13.6289854891984,-0.043
"17","2016_December_EPI_ADFA_(80,90]_5","2016_December_EPI_ADFA_(80,85]_5","2016_December_ADFA_5",5,3,"2016_December_EPI_ADFA_(80,90]","2016_December_EPI_ADFA_(80,85]","ADFA","EPI",-0.6,"0",12,8,39,47,13,144,92,1,279.5,310.3,NA,100,0.501,1,"2016_December",2016,"December",0.3655,0.6595,0.294,"St. Marys",80.4377565,80.4377565,"(80,90]","2016_December",0.61,"Dry",100,0.769230769230769,"(80,85]","2016_December_EPI_ADFA_(80,85]_5",100,"moderate","(80,85]","(80,90]","(80,100]",30.8,0.55420773313116,0.804377565,1.24319727891156,0.277658074298711,0.223341925701289,0.9144634526,1.09353741496599,87.9616963054123,12.0383036945877,-0.043
"18","2016_December_EPI_ADFA_(90,100]_6","2016_December_EPI_ADFA_(95,100]_6","2016_December_ADFA_6",6,3,"2016_December_EPI_ADFA_(90,100]","2016_December_EPI_ADFA_(95,100]","ADFA","EPI",-0.4,"0",12,35,3,38,12,103,88,1,273,321.6,NA,100,0.533,1,"2016_December",2016,"December",0.402,0.786,0.384,"St. Marys",95.52238806,95.52238806,"(90,100]","2016_December",0.61,"Dry",100,0.833333333333333,"(95,100]","2016_December_EPI_ADFA_(95,100]_6",100,"hydrated","(95,100]","(90,100]","(80,100]",48.6,0.511450381679389,0.9552238806,1.046875,0.272603053435114,0.260396946564886,0.9552238806,1.046875,100,0,-0.043
"19","2016_December_EPI_ADFA_(80,90]_1","2016_December_EPI_ADFA_(85,90]_1","2016_December_ADFA_1",1,4,"2016_December_EPI_ADFA_(80,90]","2016_December_EPI_ADFA_(85,90]","ADFA","EPI",-0.5,"0",8,15,30,45,1,131,100,1,276.7,287.8,NA,100,0.506,1,"2016_December",2016,"December",0.191,0.425,0.234,"St. Marys",NA,86.7099463283552,"(80,90]","2016_December",0.61,"Dry",100,10,"(85,90]","2016_December_EPI_ADFA_(85,90]_1",100,"moderate","(85,90]","(80,90]","(80,100]",11.1,0.449411764705882,0.867099463283552,0.816239316239316,0.227402352941176,0.278597647058824,1.144508671,0.175675675675676,75.761720750087,24.238279249913,-0.043
"20","2016_December_EPI_ADFA_(80,90]_2","2016_December_EPI_ADFA_(85,90]_2","2016_December_ADFA_2",2,4,"2016_December_EPI_ADFA_(80,90]","2016_December_EPI_ADFA_(85,90]","ADFA","EPI",-0.8,"0",10,23,0,23,12,81,69,1,283,294.7,NA,100,0.508,1,"2016_December",2016,"December",0.0805,0.2575,0.177,"St. Marys",NA,85.4097335004173,"(80,90]","2016_December",0.61,"Dry",100,0.833333333333333,"(85,90]","2016_December_EPI_ADFA_(85,90]_2",100,"moderate","(85,90]","(80,90]","(80,100]",11.7,0.312621359223301,0.854097335004173,0.454802259887006,0.158811650485437,0.349188349514563,1.125,0.454802259887006,75.9197631114821,24.0802368885179,-0.043
