individual,year_month,dry_wt,spp,model,lfm_NAs_imputed,RWC,max_mpa_sample,mpa,gww_gdw,gww_gdw_saturated,fresh_wt,site,sample
2021_August_CADE_1.1,2021_August,8.4507,CADE,HP,107.7346329,93.41158214461355,1,-2.91,1.077346329,1.153332707,9.8213,1,1.1
2021_August_CECO_1.1,2021_August,6.3237,CECO,HP,131.0719132,74.47215246041966,1,-2.63,1.310719132,1.760012419,6.1569,1,1.1
2021_August_PIJE_1.1,2021_August,15.9291,PIJE,HP,108.3905416,62.06144106588517,1,-2.81,1.0839054160000001,1.746503783,20.05,1,1.1
2021_August_QUKE_1.1,2021_August,8.4974,QUKE,HP,61.28348721,42.281453382299546,1,-7.61,0.6128348721,1.449417707,9.3072,1,1.1
2021_August_ABCO_1.1,2021_August,13.5888,ABCO,HP,146.5561589,92.74561109475569,1,-2.44,1.4655615890000002,1.580195086,15.64,1,1.1
2021_August_ARPA_1.1,2021_August,9.8193,ARPA,HP,122.6295876,85.75851246329617,1,-2.19,1.226295876,1.429940703,13.0604,1,1.1
2021_August_CADE_1.1,2021_August,8.2832,CADE,HP,115.3332707,100,1,-0.19,1.153332707,1.153332707,9.51,1,1.1
2021_August_CECO_1.1,2021_August,7.6306,CECO,HP,56.80984809,32.27809501610114,1,-8.27,0.5680984809,1.760012419,7.8475,1,1.1
2021_August_PIJE_1.1,2021_August,17.1798,PIJE,HP,114.1330714,65.34945558717979,1,-2.64,1.141330714,1.746503783,22.8731,1,1.1
2021_August_QUKE_1.1,2021_August,8.1301,QUKE,HP,50.55008022,34.87612989400301,1,-9.97,0.5055008021999999,1.449417707,8.5712,1,1.1
2021_August_ARPA_1.1,2021_August,13.3381,ARPA,HP,142.9940703,100,1,-0.47,1.429940703,1.429940703,15.0985,1,1.1
2021_August_CADE_1.1,2021_August,8.9301,CADE,HP,83.19573746,72.13507165369933,1,-3.73,0.8319573746000001,1.153332707,10.351,1,1.1
2021_August_CECO_1.1,2021_August,7.6599,CECO,HP,112.8407852,64.11363009819763,1,-3.02,1.128407852,1.760012419,8.0738,1,1.1
2021_August_PIJE_1.1,2021_August,16.3232,PIJE,HP,26.86965941,15.384827488804815,1,-1.22,0.2686965941,1.746503783,17.4395,1,1.1
2021_August_QUKE_1.1,2021_August,13.3662,QUKE,HP,21.31041493,14.702742230263095,1,-9.37,0.2131041493,1.449417707,13.5968,1,1.1
2021_August_ABCO_1.1,2021_August,7.8476,ABCO,HP,103.2990072,65.37104697717051,1,-3.12,1.032990072,1.580195086,9.5228,1,1.1
2021_August_ARPA_1.1,2021_August,13.5749,ARPA,HP,134.7334059,94.22307205979295,1,-0.37,1.347334059,1.429940703,15.4322,1,1.1
2021_August_CADE_1.1,2021_August,8.6368,CADE,HP,95.90550136,83.15510414116784,1,-1.82,0.9590550136,1.153332707,10.082,1,1.1
2021_August_CECO_1.1,2021_August,7.6285,CECO,HP,6.401766004,3.637341381737148,1,-4.27,0.06401766004,1.760012419,7.6546,1,1.1
2021_August_PIJE_1.1,2021_August,14.0139,PIJE,HP,168.0665237,96.23026605262154,1,-1.81,1.6806652370000001,1.746503783,17.2275,1,1.1
2021_August_QUKE_1.1,2021_August,12.4874,QUKE,HP,88.99151273,61.39811339423632,1,-4.29,0.8899151273,1.449417707,12.8439,1,1.1
2021_August_ABCO_1.1,2021_August,13.5899,ABCO,HP,129.8600858,82.17978080714016,1,-3.07,1.2986008580000001,1.580195086,15.4369,1,1.1
