full_name,lfm,mpa
Arctostaphylos patula,131.2470477,-2.67
Arctostaphylos patula,78.83763031,-3.55
Arctostaphylos patula,95.48599671,-4
Arctostaphylos patula,100.253841,-5
Arctostaphylos patula,92.23529412,-6
Arctostaphylos patula,58.40418574,-6.87
Arctostaphylos patula,159.6474512,-0.19
Arctostaphylos patula,181.8249813,-0.27
Arctostaphylos patula,141.29135110000001,-2.57
Arctostaphylos patula,117.1343168,-2.46
Arctostaphylos patula,107.7456176,-3.19
Arctostaphylos patula,113.0981346,-3.72
Arctostaphylos patula,97.09805071,-6.08
Arctostaphylos patula,71.14675516,-5.8
Arctostaphylos patula,72.80751174,-5.8
Arctostaphylos patula,186.2572704,-0.52
Arctostaphylos patula,71.26269956,-0.98
Arctostaphylos patula,142.8754649,-2.65
Arctostaphylos patula,137.8467258,-2.52
Arctostaphylos patula,140.842598,-2.86
Arctostaphylos patula,121.0856359,-3.45
Arctostaphylos patula,121.506155,-4.04
Arctostaphylos patula,101.8859502,-3.56
Arctostaphylos patula,117.7703052,-3.56
Arctostaphylos patula,110.9399529,-3.96
Arctostaphylos patula,101.2555425,-4.11
Arctostaphylos patula,166.225416,-0.21
Arctostaphylos patula,154.3099153,-1.71
Arctostaphylos patula,154.3099153,-1.71
Arctostaphylos patula,144.4877626,-2.38
Arctostaphylos patula,148.2751975,-2.53
Arctostaphylos patula,129.9749373,-2.97
Arctostaphylos patula,117.5473427,-3.32
Arctostaphylos patula,109.5771902,-4.1
Arctostaphylos patula,96,-4.4
Arctostaphylos patula,98.64378633,-4.4
Arctostaphylos patula,87.36756316,-4.95
Calocedrus decurrens,135.4625299,-0.78
Calocedrus decurrens,112.6710199,-1.59
Calocedrus decurrens,103.968458,-2.13
Calocedrus decurrens,99.36956892,-1.87
Calocedrus decurrens,106.8426777,-1.8
Calocedrus decurrens,124.0368827,-2.4
Calocedrus decurrens,66.45768025,-4.53
Calocedrus decurrens,89.01084192,-3.56
Calocedrus decurrens,136.1993663,-0.46
Calocedrus decurrens,115.3629032,-1.15
Calocedrus decurrens,95.56915545,-1.11
Calocedrus decurrens,110.471365,-1.56
Calocedrus decurrens,128.9367235,-1.54
Calocedrus decurrens,94.20064908,-2.09
Calocedrus decurrens,92.06581353,-2.79
Calocedrus decurrens,90.93294461,-3.35
Calocedrus decurrens,73.5379111,-3.97
Calocedrus decurrens,145.0806452,-0.46
Calocedrus decurrens,98.96336268,-2.07
Calocedrus decurrens,110.9484561,-1.83
Calocedrus decurrens,114.5183901,-1.74
Calocedrus decurrens,103.635514,-2.25
Calocedrus decurrens,109.3186243,-2.46
Calocedrus decurrens,87.22434578,-3.47
Calocedrus decurrens,88.36816551,-3.25
Calocedrus decurrens,55.98762249,-5.59
Calocedrus decurrens,127.4073009,-0.29
Calocedrus decurrens,105.1200243,-1.07
Calocedrus decurrens,101.9001702,-1.45
Calocedrus decurrens,107.8379568,-1.55
Calocedrus decurrens,106.1617599,-1.77
Calocedrus decurrens,107.7445845,-2.16
Calocedrus decurrens,81.75943298,-3.78
Calocedrus decurrens,83.14913162,-4.21
Calocedrus decurrens,128.2804811,-0.54
Calocedrus decurrens,114.6577137,-1.07
Calocedrus decurrens,127.078341,-1.06
Calocedrus decurrens,107.2063179,-1.64
Calocedrus decurrens,107.403278,-1.57
Calocedrus decurrens,93.88598782,-2.37
Calocedrus decurrens,95.25222552,-2.89
Calocedrus decurrens,92.64280274,-3.55
Calocedrus decurrens,76.74121406,-3.99
Calocedrus decurrens,130.6676558,-0.275
Calocedrus decurrens,163.3684475,-0.096
Calocedrus decurrens,106.5063649,-1.54
Calocedrus decurrens,87.55233494,-1.72
Calocedrus decurrens,109.6221601,-1.9
Calocedrus decurrens,99.42903752,-1.89
Calocedrus decurrens,97.23549929,-2.75
Calocedrus decurrens,84.72584856,-3.15
