date,sample,fresh_weight,dry_weight,water_potential,spp,fresh_weight_saturated,rwd,tlp,rwc_at_tlp,po,lfm_at_tlp,timing,water_weight,lfm,swc,rwc,neg_mpa,year,month
2020-09-11,1,0.4499,0.2404,-0.156,ADFA,0.4518,99.00420540061974,-2.981191758,87.36433505,-2.213831307,76.70549085,fall,0.20950000000000002,87.14642262895175,0.21139999999999998,0.9957945993802568,6.410256410256411,2020,9
2020-09-11,1,0.4487,0.2404,-0.232,ADFA,0.4518,99.00686144311642,-2.981191758,87.36433505,-2.213831307,76.70549085,fall,0.20829999999999999,86.64725457570714,0.21139999999999998,0.9931385568835768,4.310344827586206,2020,9
2020-09-11,1,0.445,0.2404,-0.836,ADFA,0.4518,99.01505090748118,-2.981191758,87.36433505,-2.213831307,76.70549085,fall,0.2046,85.108153078203,0.21139999999999998,0.9849490925188137,1.1961722488038278,2020,9
2020-09-11,1,0.4444,0.2404,-0.84,ADFA,0.4518,99.01637892872952,-2.981191758,87.36433505,-2.213831307,76.70549085,fall,0.20400000000000001,84.8585690515807,0.21139999999999998,0.9836210712704737,1.1904761904761905,2020,9
2020-09-11,1,0.4418,0.2404,-1.111,ADFA,0.4518,99.02213368747233,-2.981191758,87.36433505,-2.213831307,76.70549085,fall,0.20140000000000002,83.77703826955076,0.21139999999999998,0.9778663125276672,0.9000900090009001,2020,9
2020-09-11,1,0.4411,0.2404,-1.286,ADFA,0.4518,99.02368304559539,-2.981191758,87.36433505,-2.213831307,76.70549085,fall,0.2007,83.48585690515806,0.21139999999999998,0.9763169544046039,0.7776049766718507,2020,9
2020-09-11,1,0.4387,0.2404,-1.289,ADFA,0.4518,99.02899513058875,-2.981191758,87.36433505,-2.213831307,76.70549085,fall,0.19829999999999998,82.48752079866888,0.21139999999999998,0.9710048694112439,0.7757951900698216,2020,9
2020-09-11,1,0.4367,0.2404,-1.308,ADFA,0.4518,99.03342186808322,-2.981191758,87.36433505,-2.213831307,76.70549085,fall,0.19629999999999997,81.65557404326121,0.21139999999999998,0.9665781319167773,0.764525993883792,2020,9
2020-09-11,1,0.4345,0.2404,-1.383,ADFA,0.4518,99.03829127932714,-2.981191758,87.36433505,-2.213831307,76.70549085,fall,0.1941,80.7404326123128,0.21139999999999998,0.9617087206728642,0.7230657989877078,2020,9
2020-09-11,1,0.4337,0.2404,-1.414,ADFA,0.4518,99.04006197432493,-2.981191758,87.36433505,-2.213831307,76.70549085,fall,0.19329999999999997,80.40765391014973,0.21139999999999998,0.9599380256750775,0.7072135785007072,2020,9
2020-09-11,1,0.4328,0.2404,-1.477,ADFA,0.4518,99.04205400619743,-2.981191758,87.36433505,-2.213831307,76.70549085,fall,0.19240000000000002,80.03327787021631,0.21139999999999998,0.9579459938025676,0.6770480704129993,2020,9
2020-09-11,1,0.4309,0.2404,-2.003,ADFA,0.4518,99.04625940681717,-2.981191758,87.36433505,-2.213831307,76.70549085,fall,0.1905,79.24292845257904,0.21139999999999998,0.9537405931828243,0.4992511233150274,2020,9
2020-09-11,1,0.4318,0.2404,-2.055,ADFA,0.4518,99.04426737494467,-2.981191758,87.36433505,-2.213831307,76.70549085,fall,0.19140000000000001,79.61730449251249,0.21139999999999998,0.9557326250553343,0.48661800486618,2020,9
2020-09-11,1,0.4294,0.2404,-2.124,ADFA,0.4518,99.04957945993803,-2.981191758,87.36433505,-2.213831307,76.70549085,fall,0.189,78.6189683860233,0.21139999999999998,0.9504205400619744,0.4708097928436911,2020,9
2020-09-11,1,0.4283,0.2404,-2.27,ADFA,0.4518,99.05201416555998,-2.981191758,87.36433505,-2.213831307,76.70549085,fall,0.1879,78.16139767054909,0.21139999999999998,0.9479858344400178,0.44052863436123346,2020,9
2020-09-11,1,0.4255,0.2404,-2.345,ADFA,0.4518,99.05821159805224,-2.981191758,87.36433505,-2.213831307,76.70549085,fall,0.1851,76.99667221297837,0.21139999999999998,0.9417884019477645,0.42643923240938164,2020,9
2020-09-11,1,0.4255,0.2404,-2.431,ADFA,0.4518,99.05821159805224,-2.981191758,87.36433505,-2.213831307,76.70549085,fall,0.1851,76.99667221297837,0.21139999999999998,0.9417884019477645,0.41135335252982314,2020,9
2020-09-11,1,0.4271,0.2404,-2.543,ADFA,0.4518,99.05467020805666,-2.981191758,87.36433505,-2.213831307,76.70549085,fall,0.18669999999999998,77.66222961730448,0.21139999999999998,0.9453297919433378,0.39323633503735744,2020,9
2020-09-11,1,0.4276,0.2404,-2.691,ADFA,0.4518,99.05356352368304,-2.981191758,87.36433505,-2.213831307,76.70549085,fall,0.18719999999999998,77.8702163061564,0.21139999999999998,0.9464364763169544,0.3716090672612412,2020,9
2020-09-11,1,0.4248,0.2404,-2.883,ADFA,0.4518,99.0597609561753,-2.981191758,87.36433505,-2.213831307,76.70549085,fall,0.1844,76.70549084858568,0.21139999999999998,0.9402390438247012,0.346860908775581,2020,9
