model.spp.gr.sample,individual,sample,round,model.spp.gr,spp,model,mpa,lfm.notes,fh,ttfg,gti,tti,fd,gd,pfg,ignition,start.temp,temp.max,ignition.temp,prop.new,sample.wt,glow,year.month,year,month,dry.wt,fresh.wt,water.wt,site,bottle.wt,ttms,lfm.outliers.out,lfm.NAs.imputed,gr,precip.2month,precip.2mo,season,ignition_no_double,prop.ignite,ros,hydration,bins5lfm,bins10lfm,bins20lfm,temp.change,gdw.gfw,gww.gdw,gdw.gww,dw.flam.sample,ww.flam.sample,gww.gdw.saturated,gdw.gww.saturated,RWC,RWD,max.mpa.sample,flam.index,mean.wt,dry.norm.fh,dry.norm.gd,dry.norm.fd,dry.norm.pfg,dry.norm.ttfg,dry.norm.tti,dry.norm.gti,LFM,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
"2020_October_HP_ARPA_(120,130]_1.3",2020_October_ARPA_1.3,1.3,1,"2020_October_HP_ARPA_(120,130]",ARPA,HP,0.113,0,23,50,0.5,50,14,213,199,1,279,335.3,282.2,NA,3.2273,0,2020_October,2020,October,7.685,8.2372,0.5522,1,7.2542,11,128.18013,128.18013,"(120,130]",2020_October,0.61,Dry,1,NA,0.7142857142857143,hydrated,"(125,130]","(120,130]","(120,140]",56.30000000000001,0.9329626572136163,1.2818013,13.917059036580948,3.010950383625504,0.216349616374496,1.2818013,13.917059036580948,100,0,-0.046,21.246792818147522,3.652345,7.638784127789432,70.74178344431083,4.649694686480523,66.0920887578303,16.606052451716156,16.606052451716156,0.16606052451716155,128.18013,-0.9840896318328386,-3.138304092073116,0.004989479885310788,-0.5513996523910598,-0.14259572831618647,-1.4298524809817086,-0.10660598252199197,-0.12703873757629716
"2020_October_HP_ARPA_(70,80]_1.3",2020_October_ARPA_1.3,1.3,5,"2020_October_HP_ARPA_(70,80]",ARPA,HP,5.558,0,31,88,29,117,6,329,294,1,243.9,261.2,260.8,NA,3.948,1,2020_October,2020,October,12.6346,13.0247,0.3901,1,12.1163,4,75.26529037,75.26529037,"(70,80]",2020_October,0.61,Dry,1,NA,1.6666666666666667,moderate,"(75,80]","(70,80]","(60,80]",17.299999999999983,0.9700492141853556,0.7526529037,32.38810561394514,3.8297542976037837,0.11824570239621623,1.2818013,13.917059036580948,58.71837574981396,41.28162425018604,-0.046,13.819589127281775,3.652345,8.094514057832955,85.90629435571104,1.566680140225733,76.76732687106093,22.97797538997742,30.550262734401795,7.572287344424377,75.26529037,-3.6968428444850088,-3.161583097753782,-3.79731180160617,-1.1044536377358671,-0.4953435712894041,-0.10882551951785491,0.297242834238256,-0.24829603180070042
"2020_October_HP_ARPA_(90,100]_1.3",2020_October_ARPA_1.3,1.3,4,"2020_October_HP_ARPA_(90,100]",ARPA,HP,3.749,0,35,40,0.5,40,46,172,150,1,254.1,266.7,249.4,NA,3.0409,0,2020_October,2020,October,7.4485,7.6853,0.2368,1,7.2002,4,95.36850584,95.36850584,"(90,100]",2020_October,0.61,Dry,1,NA,0.21739130434782608,hydrated,"(95,100]","(90,100]","(80,100]",12.599999999999994,0.9691879302044163,0.9536850584,31.45481418918919,2.94720357695861,0.09369642304139036,1.2818013,13.917059036580948,74.4019418922418,25.598058107758206,-0.046,26.959813901549023,3.652345,11.875664196946493,58.36040691070848,15.608015801701105,50.89570370119925,13.572187653653135,13.572187653653135,0.16965234567066417,95.36850584,-0.7265598429764877,-2.4172323684698065,1.7499152024334028,0.7258693652357288,0.6093534723605918,2.1078014770607236,-0.18925129997152065,-0.3618951600563572
"2020_October_HP_ARPA_(40,50]_1.4",2020_October_ARPA_1.4,1.4,3,"2020_October_HP_ARPA_(40,50]",ARPA,HP,3.377,0,26,40,0.5,40,12,45,33,1,254.1,253.3,249.4,NA,2.8179,0,2020_October,2020,October,7.5363,7.6928,0.1565,1,7.1846,4,44.49815183,44.49815183,"(40,50]",2020_October,0.61,Dry,1,NA,0.8333333333333334,dry,"(40,45]","(40,50]","(40,60]",-0.799999999999983,0.9796563019966722,0.4449815183,48.155271565495205,2.7605734933964223,0.05732650660357752,1.270564584,10.214003164556962,35.02234549141187,64.97765450858813,-0.046,25.056802021716333,3.652345,9.418332843590179,16.300960690829157,4.346922850887775,11.95403783994138,14.489742836292583,14.489742836292583,0.18112178545365729,44.49815183,2.5637992463618677,-0.4304822873532209,0.2670384691454485,-0.3867596529659154,0.9400258536017523,-0.517073413106047,0.06296500034250574,0.007300525323199557
"2020_October_HP_ARPA_(120,130]_1.4",2020_October_ARPA_1.4,1.4,1,"2020_October_HP_ARPA_(120,130]",ARPA,HP,0.134,0,32,70,0.5,70,32,111,79,1,272,300.9,278.4,NA,4.0751,0,2020_October,2020,October,7.4659,7.7667,0.3008,1,7.2267,1,125.7525084,125.7525084,"(120,130]",2020_October,0.61,Dry,1,NA,0.3125,hydrated,"(125,130]","(120,130]","(120,140]",28.899999999999977,0.9612705524868992,1.257525084,24.820146276595747,3.917273628439363,0.15782637156063695,1.270564584,10.214003164556962,98.97372395199709,1.026276048002913,-0.046,18.75936384846706,3.652345,8.168946832736001,28.336034326053007,8.168946832736001,20.167087493317005,17.869571196610003,17.869571196610003,0.12763979426150002,125.7525084,-0.2937732896754644,-0.4183189075836252,1.2212067768269939,0.19072836042650115,1.1648336160843715,0.45747877851195784,0.06880197908525745,-0.07036716162640123
"2020_October_HP_ARPA_(120,130]_1.4",2020_October_ARPA_1.4,1.4,4,"2020_October_HP_ARPA_(120,130]",ARPA,HP,0.743,0,31,41,0.5,41,46,135,89,1,256.3,332.3,278.8,NA,4.9927,0,2020_October,2020,October,7.5529,7.9389,0.386,1,7.2429,4,124.516129,124.516129,"(120,130]",2020_October,0.61,Dry,1,NA,0.21739130434782608,hydrated,"(120,125]","(120,130]","(120,140]",76,0.9513786544735416,1.24516129,19.567098445595853,4.749948208190052,0.24275179180994844,1.270564584,10.214003164556962,98.00062945875406,1.9993705412459377,-0.046,25.770527258416152,3.652345,6.52638695018791,28.421362525011865,9.684316119633673,18.737046405378194,8.631673063151752,8.631673063151752,0.1052643056481921,124.516129,-0.41911964025621845,-1.540913145097736,2.472156158563243,1.469329712785292,1.1205358626824042,0.868207383179381,-0.3055503299143522,-0.02805165233713193
"2020_October_HP_ARPA_(40,50]_1.4",2020_October_ARPA_1.4,1.4,3,"2020_October_HP_ARPA_(40,50]",ARPA,HP,3.377,0,29,32,0.5,32,20,129,109,1,235.6,263.6,238.5,NA,2.8179,0,2020_October,2020,October,7.5363,7.6928,0.1565,1,7.1846,4,44.49815183,44.49815183,"(40,50]",2020_October,0.61,Dry,1,NA,0.5,dry,"(40,45]","(40,50]","(40,60]",28.00000000000003,0.9796563019966722,0.4449815183,48.155271565495205,2.7605734933964223,0.05732650660357752,1.270564584,10.214003164556962,35.02234549141187,64.97765450858813,-0.046,29.401697144999932,3.652345,10.505063556312123,46.72942064704358,7.244871418146292,39.484549228897286,11.591794269034066,11.591794269034066,0.18112178545365729,44.49815183,1.1351332267894174,-1.928972012491448,0.48349566504174096,-0.13881041138899855,0.21709403700408314,0.16980296727897415,-0.09031002845372342,-0.032267009534269836
"2020_October_HP_ARPA_(120,130]_1.4",2020_October_ARPA_1.4,1.4,2,"2020_October_HP_ARPA_(120,130]",ARPA,HP,2.047,0,36,143,0.5,50,10,138,128,1,218.5,234.9,231.6,NA,4.0073,0,2020_October,2020,October,7.7463,8.5047,0.7584,1,7.1494,6,127.0564584,127.0564584,"(120,130]",2020_October,0.61,Dry,1,NA,1,hydrated,"(125,130]","(120,130]","(120,140]",16.400000000000006,0.9108257786870789,1.270564584,10.214003164556962,3.6499521429327313,0.35734785706726857,1.270564584,10.214003164556962,100,0,-0.046,23.70398704961828,3.652345,9.863143019479168,37.80871490800348,2.7397619498553247,35.06895295814815,39.17859588293114,13.698809749276622,0.13698809749276622,127.0564584,-0.24277062978602626,-0.3087330084532902,-0.6012421702790678,-2.5054423280145697,0.171320474920847,0.42074483467690327,-1.4660867717428359,0.06396710718215147
"2020_October_HP_ARPA_(80,90]_1.4",2020_October_ARPA_1.4,1.4,7,"2020_October_HP_ARPA_(80,90]",ARPA,HP,4.931,0,24,31,0.5,31,27,241,214,1,224,224.7,221,NA,2.1549,0,2020_October,2020,October,7.7187,8.1524,0.4337,1,7.2024,1,84.00154949,84.00154949,"(80,90]",2020_October,0.61,Dry,1,NA,0.37037037037037035,moderate,"(80,85]","(80,90]","(80,100]",0.6999999999999886,0.9468009420538737,0.8400154949,17.797325340096844,2.0402613500318925,0.11463864996810758,1.270564584,10.214003164556962,66.11356128434319,33.88643871565681,-0.046,28.61606512236918,3.652345,11.763198866471123,118.12212195081419,13.233598724780013,104.88852322603418,15.194131869191867,15.194131869191867,0.24506664305148174,84.00154949,-0.3726533344116508,-4.399823035889725,-0.0054216429669955435,-0.6369861212666841,0.35243356530158176,1.0092555942454868,-0.05309384980518014,-0.08764711915866781
"2020_October_HP_ARPA_(90,100]_1.4",2020_October_ARPA_1.4,1.4,5,"2020_October_HP_ARPA_(90,100]",ARPA,HP,4.063,0,28,43,0.5,43,25,281,256,1,246.4,263.7,240.7,NA,3.7797,0,2020_October,2020,October,12.4718,12.8324,0.3606,1,12.1054,4,98.41703057,98.41703057,"(90,100]",2020_October,0.61,Dry,1,NA,0.4,hydrated,"(95,100]","(90,100]","(80,100]",17.299999999999983,0.971899255010754,0.9841703057,34.58624514697726,3.6734876141641473,0.1062123858358528,1.270564584,10.214003164556962,77.45928999544662,22.540710004553375,-0.046,24.417735168248818,3.652345,7.622184403736182,76.49406490892382,6.805521789050163,69.68854311987366,11.70549747716628,11.70549747716628,0.13611043578100324,98.41703057,-1.6694167480073732,-4.459031396097731,-0.1386623969348102,-0.7575789977735026,-0.4035157172397584,0.6639377212924669,-0.06355647647352465,-0.14499949224794803
