individual,year.month,dry.wt,spp,model,lfm.NAs.imputed,RWC,max.mpa.sample,mpa,gww.gdw,gww.gdw.saturated,fresh.wt,site,sample
2020_October_ARPA_1.3,2020_October,12.395,ARPA,EPI,90.82503556,70.85734392686292,-0.113,-4.144,0.9082503556,1.2818013,12.6504,1,1.3
2020_October_ARPA_1.3,2020_October,12.395,ARPA,HP,90.82503556,70.85734392686292,-0.113,-4.144,0.9082503556,1.2818013,12.6504,1,1.3
2020_October_ARPA_1.3,2020_October,7.4485,ARPA,EPI,95.36850584,74.4019418922418,-0.113,-3.749,0.9536850584,1.2818013,7.6853,1,1.3
2020_October_ARPA_1.3,2020_October,7.685,ARPA,EPI,128.18013,100,-0.113,-0.113,1.2818013,1.2818013,8.2372,1,1.3
2020_October_ARPA_1.3,2020_October,7.4912,ARPA,EPI,120.0420168,93.6510337444657,-0.113,-2.283,1.200420168,1.2818013,7.7769,1,1.3
2020_October_ARPA_1.4,2020_October,12.6245,ARPA,EPI,66.5884361,52.408541004949015,-0.134,-5.588,0.6658843609999999,1.270564584,12.9366,1,1.4
2020_October_ARPA_1.4,2020_October,12.6245,ARPA,HP,66.5884361,52.408541004949015,-0.134,-5.588,0.6658843609999999,1.270564584,12.9366,1,1.4
2020_October_ARPA_1.4,2020_October,7.5363,ARPA,HP,44.49815183,35.02234549141187,-0.134,-3.377,0.4449815183,1.270564584,7.6928,1,1.4
2020_October_ARPA_1.4,2020_October,7.5363,ARPA,EPI,44.49815183,35.02234549141187,-0.134,-3.377,0.4449815183,1.270564584,7.6928,1,1.4
2020_October_ARPA_1.4,2020_October,7.4659,ARPA,HP,125.7525084,98.97372395199709,-0.134,-0.134,1.257525084,1.270564584,7.7667,1,1.4
2020_October_ARPA_1.4,2020_October,7.5529,ARPA,HP,124.516129,98.00062945875406,-0.134,-0.743,1.24516129,1.270564584,7.9389,1,1.4
2020_October_ARPA_1.4,2020_October,7.5363,ARPA,HP,44.49815183,35.02234549141187,-0.134,-3.377,0.4449815183,1.270564584,7.6928,1,1.4
2020_October_ARPA_1.4,2020_October,7.7463,ARPA,HP,127.0564584,100,-0.134,-2.047,1.270564584,1.270564584,8.5047,1,1.4
2020_October_ARPA_1.4,2020_October,7.7187,ARPA,EPI,84.00154949,66.11356128434319,-0.134,-4.931,0.8400154949,1.270564584,8.1524,1,1.4
2020_October_ARPA_1.4,2020_October,7.7187,ARPA,HP,84.00154949,66.11356128434319,-0.134,-4.931,0.8400154949,1.270564584,8.1524,1,1.4
2020_October_ARPA_1.4,2020_October,12.4718,ARPA,HP,98.41703057,77.45928999544662,-0.134,-4.063,0.9841703057,1.270564584,12.8324,1,1.4
2020_October_ARPA_1.4,2020_October,7.5363,ARPA,HP,41.581418092498794,32.7267252811281,-0.134,-10,0.41581418092498795,1.270564584,7.6928,1,1.4
2020_October_ARPA_1.4,2020_October,10.16615,ARPA,EPI,73.16077967413813,57.58131510624423,-0.134,-5.948,0.7316077967413812,1.270564584,8.5565,1,1.4
