spp,n.x,mean_lfm_fall_spp.x,sd_lfm_fall_spp.x,mean_tlp_spp,sd_spp,n.y,mean_lfm_fall_spp.y,sd_lfm_fall_spp.y,bottle_number,unique_id,age,pod,site,lfm,date,predawn1,predawn2,midday1,midday2,predawn,midday,type,doy,location,month,timing,wettest_lfm,rwc,rwd,water_potential,swc,predawn3,midday3
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,109,ABCO_old_1_1.2,old,1.2,1,133.7093559,2021-08-19,-1.61,-1.59,-2.04,-2.05,-1.6,-2.045,tree,231,CZO,8,fall,NA,NA,NA,-2.045,NA,NA,NA
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,11,ABCO_old_1_1.1,old,1.1,1,125.4719451,2021-09-16,-1.4,-1.72,-1.84,-1.88,-1.55,-1.86,tree,259,CZO,9,fall,203.1782212,61.754623285381925,38.245376714618075,-1.86,2.031782212,-1.53,NA
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,11,ABCO_old_1_1.4,old,1.4,1,92.64854465,2021-05-15,-0.79,-0.78,-1.55,-1.61,-0.785,-1.58,tree,135,CZO,5,spring,204.3210028,45.34460157318688,54.65539842681312,-1.58,2.043210028,NA,NA
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,11,ABCO_old_1_1.4,old,1.4,1,107.768442,2021-07-30,-1.36,-1.56,-2.14,-2.07,-1.426666667,-2.105,tree,211,CZO,7,spring,204.3210028,52.74467163098711,47.25532836901289,-2.105,2.043210028,-1.36,NA
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,11,ABCO_old_1_1.4,old,1.4,1,120.3591835,2021-08-19,-1.92,-1.86,-2.01,-1.99,-1.89,-2,tree,231,CZO,8,fall,204.3210028,58.90690719534781,41.09309280465219,-2,2.043210028,NA,NA
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,11,ABCO_old_1_1.4,old,1.4,1,124.2991095,2021-07-08,-1.31,-1.24,-2.22,-2.32,-1.275,-2.27,tree,189,CZO,7,spring,204.3210028,60.83520920346618,39.16479079653382,-2.27,2.043210028,NA,NA
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,11,ABCO_Old_1_4,Old,4,1,134.4513448,2020-10-19,-2.322,-2.229,-2.23,-2.3,-2.2755,-2.265,tree,292,SEKI,10,fall,135.9188856,98.92028190672568,1.079718093274323,-2.265,1.359188856,NA,NA
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,110,ABCO_old_2_2.3,old,2.3,2,145.5829502,2021-08-20,-1.06,-1.1,-1.98,-1.83,-1.08,-1.89,tree,232,CZO,8,fall,212.2914377,68.57692979861524,31.42307020138476,-1.89,2.122914377,NA,-1.86
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,12,ABCO_new_1_1.4,new,1.4,1,124.2028867,2021-04-24,-0.69,-0.64,-0.93,-0.94,-0.665,-0.935,tree,114,CZO,4,spring,267.8534393,46.36971883750608,53.63028116249392,-0.935,2.678534393,NA,NA
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,12,ABCO_new_1_1.4,new,1.4,1,NA,2021-07-08,-1.31,-1.24,-2.22,-2.32,-1.275,-2.27,tree,189,CZO,7,spring,267.8534393,100,0,-2.27,2.678534393,NA,NA
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,12,ABCO_New_1_1.4,New,1.4,1,124.2028867,2021-04-24,-0.69,-0.64,-0.93,-0.94,-0.665,-0.8025,tree,114,CZO,4,spring,124.2028867,100,0,-0.8025,1.242028867,NA,NA
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,12,ABCO_New_1_2,New,2,1,172.4758793,2020-08-26,-0.869,-0.741,-1.891,-2.892,-0.805,-2.3915,tree,238,CZO,8,fall,305.8628758,56.389935800113214,43.610064199886786,-2.3915,3.058628758,NA,NA
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,12,ABCO_New_2_2,New,2,2,206.695348,2020-08-04,-0.65,-0.59,-1.84,-1.85,-0.62,-1.845,tree,216,CZO,8,fall,252.8152897,81.75745551041331,18.24254448958669,-1.845,2.528152897,NA,NA
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,12,ABCO_Old_2_2,Old,2,2,153.0739482,2020-07-15,-0.645,-0.529,-1.3,-1.45,-0.587,-1.375,tree,197,CZO,7,spring,153.0739482,100,0,-1.375,1.530739482,NA,NA
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,122,ABCO_new_1_1.2,new,1.2,1,NA,2021-10-16,-1.44,-1.39,-1.94,-2,-1.415,-1.97,tree,289,CZO,10,fall,NA,NA,NA,-1.97,NA,NA,NA
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,123,ABCO_old_1_1.2,old,1.2,1,209.0506552,2021-10-16,-1.44,-1.39,-1.94,-2,-1.415,-1.97,tree,289,CZO,10,fall,NA,NA,NA,-1.97,NA,NA,NA
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,13,ABCO_old_1_1.5,old,1.5,1,122.65713,2021-06-16,-1.1,-1.31,-2.21,-2.28,-1.2,-2.245,tree,167,CZO,6,spring,205.0550563,59.81668153578713,40.18331846421287,-2.245,2.050550563,-1.19,NA
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,14,ABCO_old_1_1.5,old,1.5,1,124.8549059,2021-07-30,-1.43,-1.3,-2.24,-2.31,-1.353333333,-2.275,tree,211,CZO,7,spring,205.0550563,60.88847949076397,39.11152050923603,-2.275,2.050550563,-1.33,NA
