sample,round,spp,model,mpa,lfm,lfm.notes,fh,ttfg,gti,tti,fd,gd,pfg,ignition,surface temp start,taller temp start,surface temp max (within 5 secs of flame end),taller temp max,temp at ignition (lower),temp at ignition (taller),prop new flam,sample.wt,glow pre ignition?,year,month,dry.wt,fresh.wt,water.wt,site,bottle.wt,notes (flam),prop new lfm,sample length
1.1,1,CADE,HP,,,,,,,,,,,1,227.9,162.7,277.1,183.9,233.3,163.7,,,0,2021,August,,,0,1,,,,
1.2,1,CADE,HP,,,,,,,,,,,1,240.7,170.9,320.9,275.9,243.1,170.2,,,0,2021,August,,,0,1,,,,
1.3,1,CADE,HP,,,,,,,,,,,0,234.1,187.9,,,,,,,0,2021,August,,,0,1,,NOGORI,,
1.4,1,CADE,HP,,,,,,,,,,,1,207.5,178.7,,,,,,,0,2021,August,,,0,1,,check start time -- messing with sample; thermocoupler turned off :(,,
1.5,1,CADE,HP,,,,,,,,,,,1,213.8,188.1,296.2,233.1,202.6,176.5,,,0,2021,August,,,0,1,,,,
1.6,1,CADE,HP,,,,,,,,,,,0,215.6,155.1,,,,,,,0,2021,August,,,0,1,,NOGORI,,
2.1,1,CADE,HP,,,,,,,,,,,0,308.7,215.9,,,,,,,0,2021,August,,,0,2,,NOGORI; surface temps may be off -- thermocouple seems to be trapped under mesh,,
2.2,1,CADE,HP,,,,,,,,,,,0,303.5,211.6,,,,,,,0,2021,August,,,0,2,,NOGORI; surface temps may be off -- thermocouple seems to be trapped under mesh,,
2.3,1,CADE,HP,,,,,,,,,,,1,303.9,229.9,344.9,306.5,322.7,214.2,,,0,2021,August,,,0,2,,surface temps may be off -- thermocouple seems to be trapped under mesh,,
2.4,1,CADE,HP,,,,,,,,,,,1,285.7,203.9,374.5,355.4,297.2,180.2,,,0,2021,August,,,0,2,,,,
2.5,1,CADE,HP,,,,,,,,,,,1,310.9,214.5,375.3,307.5,322,209.3,,,0,2021,August,,,0,2,,surface temps may be off -- thermocouple seems to be trapped under mesh,,
1.1,2,CADE,HP,,,,,,,,,,,0,258.9,198.7,,,,,,,1,2021,August,,,0,1,,,,
1.2,2,CADE,HP,,,,,,,,,,,1,297.6,206.4,321,247.6,304.5,194.6,,,0,2021,August,,,0,1,,,,
1.3,2,CADE,HP,,,,,,,,,,,1,267.5,209.6,291.6,245.5,266.8,202.9,,,0,2021,August,,,0,1,,,,
1.4,2,CADE,HP,,,,,,,,,,,1,249.9,207.3,370.7,266.2,257.1,192,,,0,2021,August,,,0,1,,,,
1.5,2,CADE,HP,,,,,,,,,,,1,257.1,193.3,330.6,335.4,284.4,191.1,,,0,2021,August,,,0,1,,gpe = glowed past end (of video),,
1.6,2,CADE,HP,,,,,,,,,,,0,229.8,168.2,,,,,,,0,2021,August,,,0,1,,NOGORI,,
2.1,2,CADE,HP,,,,,,,,,,,0,229.8,221.6,,,,,,,0,2021,August,,,0,2,,NOGORI,,
2.2,2,CADE,HP,,,,,,,,,,,1,225.9,213.3,256.9,229.9,222.4,201.5,,,0,2021,August,,,0,2,,,,
2.3,2,CADE,HP,,,,,,,,,,,0,239.6,216.4,,,,,,,0,2021,August,,,0,2,,NOGORI,,
2.4,2,CADE,HP,,,,,,,,,,,0,233.4,217.2,,,,,,,0,2021,August,,,0,2,,NOGORI,,
2.5,2,CADE,HP,,,,,,,,,,,1,225.3,220.3,525.4,392.6,206.4,183.4,,,0,2021,August,,,0,2,,,,
1.1,3,CADE,HP,,,,,,,,,,,0,235.9,182.9,,,,,,,0,2021,August,,,0,1,,NOGORI,,
1.2,3,CADE,HP,,,,,,,,,,,2,242.9,209,377.6,264.6,250.4,199.7,,,1,2021,August,,,0,1,,small second flame - 20:15:25 to 20:15:40 w/ max temps of 330.5 and 241.3,,
1.3,3,CADE,HP,,,,,,,,,,,1,261.7,210.1,452.5,338.3,247.5,185.9,,,0,2021,August,,,0,1,,,,
1.4,3,CADE,HP,,,,,,,,,,,1,256.5,204.7,278.9,224.2,251.6,197,,,0,2021,August,,,0,1,,,,
1.5,3,CADE,HP,,,,,,,,,,,0,247,179.8,,,,,,,0,2021,August,,,0,1,,NOGORI,,
1.6,3,CADE,HP,,,,,,,,,,,0,252.4,198.2,,,,,,,0,2021,August,,,0,1,,NOGORI,,
2.1,3,CADE,HP,,,,,,,,,,,0,264.3,208.5,,,,,,,0,2021,August,,,0,2,,NOGORI,,
2.2,3,CADE,HP,,,,,,,,,,,1,265,208.1,348.8,277.8,265.8,206.5,,,0,2021,August,,,0,2,,,,
2.3,3,CADE,HP,,,,,,,,,,,0,256.7,192,,,,,,,0,2021,August,,,0,2,,NOGORI,,
2.4,3,CADE,HP,,,,,,,,,,,0,251.4,188.2,,,,,,,0,2021,August,,,0,2,,NOGORI,,
2.5,3,CADE,HP,,,,,,,,,,,0,248.8,186.5,,,,,,,0,2021,August,,,0,2,,NOGORI,,
1.1,4,CADE,HP,-2.28,92.14957265,,,,,,,,,0,225.2,182.5,,,,,60,4.2997,0,2021,August,14.4724,16.6287,2.1563,1,12.1324,NOGORI,70,
1.2,4,CADE,HP,-1.73,,,,,,,,,,1,261.6,195.2,364.8,251.6,272.8,189.4,80,4.8592,0,2021,August,NA,19.2145,,1,12.0931,,100,
1.3,4,CADE,HP,-2.22,108.2895505,,,,,,,,,0,244.6,212.3,,,,,60,6.4232,0,2021,August,15.029,18.1825,3.1535,1,12.1169,NOGORI,60,
1.4,4,CADE,HP,-2.28,96.45578006,,,,,,,,,1,233.9,187.4,326.6,241.2,253.7,172.5,40,9.6766,0,2021,August,14.8394,17.4602,2.6208,1,12.1223,,60,
1.5,4,CADE,HP,-1.93,101.9239454,,,,,,,,,0,249.3,192.9,,,,,40,6.6984,0,2021,August,14.375,16.6318,2.2568,1,12.1608,NOGORI,40,
1.6,4,CADE,HP,-1.84,100.2268753,,,,,,,,,0,227.3,178.2,,,,,30,5.6391,0,2021,August,14.3644,16.4849,2.1205,1,12.2487,NOGORI,30,
2.1,4,CADE,HP,-1.44,,,,,,,,,,1,255.6,189.4,380.4,218.5,235,182.6,70,3.9523,0,2021,August,NA,19.3484,,2,12.1458,,70,
2.2,4,CADE,HP,-1.9,,,,,,,,,,0,264.2,197.3,,,,,75,4.3937,0,2021,August,NA,19.411,,2,12.2156,NOGORI,75,
2.3,4,CADE,HP,-3.33,77.93387609,,,,,,,,,0,235.1,178,,,,,100,2.3925,0,2021,August,14.0966,15.6665,1.5699,2,12.0822,NOGORI,100,
2.4,4,CADE,HP,-2.25,137.9261953,,,,,,,,,0,237.3,185.3,,,,,80,4.6573,0,2021,August,15.3474,19.6718,4.3244,2,12.2121,NOGORI,95,
2.5,4,CADE,HP,-2.04,103.0033123,,,,,,,,,1,244.9,185.1,291.3,223.2,267.4,199.1,75,5.6335,0,2021,August,15.9072,19.6078,3.7006,2,12.3145,,90,
1.1,5,CADE,HP,-2.91,107.7346329,,,,,,,,,1,268,199.5,321.8,237.9,296.1,223,75,3.4352,0,2021,August,8.4507,9.8213,1.3706,1,7.1785,,75,
1.2,5,CADE,HP,-2.97,95.24142268,,,,,,,,,1,262,209.3,477.9,306.1,309,204.9,40,7.2115,0,2021,August,8.6335,9.9965,1.363,1,7.2024,,65,
1.3,5,CADE,HP,-2.98,106.9399767,,,,,,,,,0,276.1,206.7,,,,,60,5.9191,0,2021,August,8.716,10.2785,1.5625,1,7.2549,NOGORI,100,
1.4,5,CADE,HP,-2.94,89.09847276,,,,,,,,,1,274.5,207.1,418.6,267.8,323,217.5,100,12.6264,0,2021,August,8.9572,10.5207,1.5635,1,7.2024,,10,
1.5,5,CADE,HP,-2.71,110.6600682,,,,,,,,,1,270.2,198.8,339.9,229.9,287.5,199.4,70,6.0267,0,2021,August,8.7384,10.3931,1.6547,1,7.2431,,90,
1.6,5,CADE,HP,-3.07,86.77258626,,,,,,,,,0,263.8,197.9,,,,,25,4.2846,0,2021,August,8.2998,9.2228,0.923,1,7.2361,NOGORI,20,
2.1,5,CADE,HP,-1.87,116.663586,,,,,,,,,1,252.9,199.3,357.6,227.1,282.8,211.3,80,5.7771,0,2021,August,8.2906,9.5529,1.2623,2,7.2086,sample loaded shortly before video start,60,video started 5seconds after
2.2,5,CADE,HP,-2.57,99.21416098,,,,,,,,,0,278.6,210.2,,,,,80,4.4004,0,2021,August,8.47,9.7199,1.2499,2,7.2102,NOGORI,60,
2.3,5,CADE,HP,-1.86,130.1518438,,,,,,,,,0,277.3,203.4,,,,,70,7.644,0,2021,August,8.8995,10.9995,2.1,2,7.286,NOGORI,100,
2.4,5,CADE,HP,-1.86,116.8602874,,,,,,,,,0,281.1,198.8,,,,,100,3.1939,0,2021,August,9.1548,11.4483,2.2935,2,7.1922,NOGORI,100,
2.5,5,CADE,HP,-1.86,147.7726575,,,,,,,,,1,248.7,186.7,372,247.3,305.5,223.8,75,4.3998,0,2021,August,8.6881,10.8045,2.1164,2,7.2559,,100,
1.1,6,CADE,HP,-0.19,115.3332707,,,,,,,,,0,272,199.1,,,,,30,3.8657,0,2021,August,8.2832,9.51,1.2268,1,7.2195,NOGORI,0,
1.2,6,CADE,HP,-0.37,112.2155622,,,,,,,,,1,280.5,210.8,364.3,271.6,289.7,215.7,30,7.276,0,2021,August,13.9978,16.0197,2.0219,1,12.196,,20,
1.3,6,CADE,HP,-0.25,128.4302273,,,,,,,,,1,277.4,208,477.2,321.6,290.2,206.4,60,18.859,0,2021,August,7.3101,8.7394,1.4293,1,6.1972,,20,
1.4,6,CADE,HP,-0.13,123.7884651,,,,,,,,,0,259.8,189.8,,,,,60,9.6398,0,2021,August,8.2187,9.5623,1.3436,1,7.1333,NOGORI,30,
1.5,6,CADE,HP,-0.45,137.8371347,,,,,,,,,1,290.7,214.3,375.9,251.3,281.2,210.2,75,4.3583,0,2021,August,8.3143,9.9037,1.5894,1,7.1612,,75,
1.6,6,CADE,HP,-0.14,154.4219771,,,,,,,,,0,278.3,211.3,,,,,40,4.0257,0,2021,August,7.115,8.6271,1.5121,1,6.1358,NOGORI,90,
2.1,6,CADE,HP,-0.49,158.228825,,,,,,,,,0,286.2,213.1,,,,,100,3.9775,0,2021,August,13.7676,16.2279,2.4603,2,12.2127,NOGORI,100,
2.2,6,CADE,HP,-1.75,108.3594744,,,,,,,,,1,291.3,215.4,331.4,246.3,302.8,222.2,60,4.713,0,2021,August,14.5036,17.0598,2.5562,2,12.1446,,90,
2.3,6,CADE,HP,-1.46,117.2013274,,,,,,,,,1,287.7,218.7,360.5,254.6,315.1,225.7,70,5.725,0,2021,August,9.2462,11.5771,2.3309,2,7.2574,,90,
2.4,6,CADE,HP,-0.44,133.6970153,,,,,,,,,0,285.1,216.7,,,,,90,6.9081,0,2021,August,8.0364,9.1025,1.0661,2,7.239,NOGORI,100,
2.5,6,CADE,HP,-0.11,187.164999,,,,,,,,,0,253.3,182.6,,,,,90,4.5095,0,2021,August,14.6437,19.4136,4.7699,2,12.0952,NOGORI,100,
1.1,7,CADE,HP,-3.73,83.19573746,,,,,,,,,1,298.9,221.8,383,264.5,306.5,221.2,60,5.3258,0,2021,August,8.9301,10.351,1.4209,1,7.2222,,75,
1.2,7,CADE,HP,-1.06,65.28011102,,,,,,,,,1,283.2,209.1,402,252.6,304.5,221.6,80,4.1331,0,2021,August,9.9883,11.7758,1.7875,1,7.2501,,100,
1.3,7,CADE,HP,-3.49,79.82855612,,,,,,,,,1,283.9,214,509,290.6,317.2,204.5,50,8.9585,0,2021,August,10.002,12.088,2.086,1,7.3889,,50,
1.4,7,CADE,HP,-1.35,63.60678015,,,,,,,,,0,277.3,200.5,,,,,80,2.7973,0,2021,August,10.0054,11.7841,1.7787,1,7.209,NOGORI,100,
1.5,7,CADE,HP,-3.24,83.13978681,,,,,,,,,0,306.5,220.6,,,,,70,3.5498,0,2021,August,9.5055,11.4242,1.9187,1,7.1977,NOGORI,90,
1.6,7,CADE,HP,-2.8,97.20486499,,,,,,,,,0,283.9,225.2,,,,,75,4.0687,0,2021,August,9.0124,10.7547,1.7423,1,7.22,NOGORI,75,
2.1,7,CADE,HP,-2.32,102.8868068,,,,,,,,,0,272.2,203.9,,,,,20,2.7205,0,2021,August,8.3106,9.5295,1.2189,2,7.1259,NOGORI,30,
2.2,7,CADE,HP,-1.45,110.5270951,,,,,,,,,0,273.3,206.9,,,,,70,6.2796,0,2021,August,14.1392,16.3787,2.2395,2,12.113,NOGORI,70,
2.3,7,CADE,HP,-1.8,136.2052877,,,,,,,,,1,302.5,257.3,334.2,260.8,316.1,250.4,90,3.3168,0,2021,August,8.1714,9.4851,1.3137,2,7.2069,,100,
2.4,7,CADE,HP,-5.5,71.77354441,,,,,,,,,1,305.1,237.9,424.3,259.7,314.5,232.4,70,3.5754,0,2021,August,8.3733,9.1758,0.8025,2,7.2552,,10,
2.5,7,CADE,HP,-2.77,101.4313379,,,,,,,,,1,283.9,216.8,341.4,254.4,312.4,232.8,90,3.5865,0,2021,August,8.3861,9.5908,1.2047,2,7.1984,,50,
1.1,8,CADE,HP,-1.82,95.90550136,,,,,,,,,1,262.6,207,423.4,271.7,298.9,221.2,20,4.8118,0,2021,August,8.6368,10.082,1.4452,1,7.1299,sample loaded shortly before video start,5,started video 5seconds late
1.2,8,CADE,HP,-1.43,94.04923296,,,,,,,,,1,285.4,213.9,402.6,268.7,319.8,230.8,0,5.1647,0,2021,August,8.5229,9.841,1.3181,1,7.1214,,0,
1.3,8,CADE,HP,-2.07,103.9369123,,,,,,,,,1,288.3,214.9,348.6,246.2,304.2,227.9,60,6.5102,0,2021,August,8.8985,10.6119,1.7134,1,7.25,base of stem on sample continues to glow,60,
1.5,8,CADE,HP,-2.02,116.5722112,,,,,,,,,0,279.7,207.2,,,,,75,3.9743,0,2021,August,9.3287,11.797,2.4683,1,7.2113,NOGORI,100,
1.6,8,CADE,HP,-1.31,108.0094293,,,,,,,,,0,274.5,199.8,,,,,60,6.7401,0,2021,August,9.0816,11.0518,1.9702,1,7.2575,NOGORI,60,
2.1,8,CADE,HP,-2.05,112.4621805,,,,,,,,,1,280.7,206.2,297.6,222,286.4,211.3,80,3.9058,0,2021,August,9.2102,11.3661,2.1559,2,7.2932,,80,
2.2,8,CADE,HP,-5.34,82.31850862,,,,,,,,,0,289.3,217.3,,,,,100,4.0348,0,2021,August,8.8097,10.1035,1.2938,2,7.238,NOGORI,100,
2.3,8,CADE,HP,-2.57,102.0456968,,,,,,,,,0,264,188.6,,,,,90,4.5979,0,2021,August,15.6032,19.1449,3.5417,2,12.1325,NOGORI,70,
2.4,8,CADE,HP,-1.64,106.8813862,,,,,,,,,0,275.5,206.9,,,,,75,5.2165,0,2021,August,15.2312,18.4634,3.2322,2,12.2071,NOGORI,90,
2.5,8,CADE,HP,-2.7,117.1570847,,,,,,,,,1,270.1,190.9,400.8,254.8,296.2,208.7,100,4.916,0,2021,August,14.1045,16.4337,2.3292,2,12.1164,,85,
1.1,9,CADE,HP,-6.24,59.60884665,,,,,,,,,1,262,208.2,306,264.4,278.5,206.4,50,4.4906,0,2021,August,14.8183,16.4489,1.6306,1,12.0828,,50,
1.2,9,CADE,HP,-3.52,77.04952956,,,,,,,,,1,271.3,200.9,476.4,291.5,244.2,197.9,10,4.3191,0,2021,August,15.0295,17.1996,2.1701,1,12.213,,0,
1.3,9,CADE,HP,-2.69,103.1042902,,,,,,,,,0,272.2,198.9,,,,,100,5.2144,0,2021,August,13.593,15.071,1.478,1,12.1595,NOGORI,90,
1.4,9,CADE,HP,-6.52,51.21119537,,,,,,,,,0,224.5,186.8,,,,,75,2.6124,0,2021,August,15.7912,7.6685,1.8773,1,12.1254,NOGORI,90,
1.5,9,CADE,HP,-2.64,113.1690813,,,,,,,,,0,257.6,208.3,,,,,60,5.3053,0,2021,August,9.8403,12.4493,2.609,1,7.5349,NOGORI,75,
1.6,9,CADE,HP,-2.35,109.42763,,,,,,,,,0,298.6,207.2,,,,,60,5.1555,0,2021,August,8.8296,10.6229,1.7933,1,7.1908,NOGORI,60,
2.1,9,CADE,HP,-1.06,162.0999717,,,,,,,,,0,278.6,213.5,,,,,90,5.4723,0,2021,August,8.7073,10.9968,2.2895,2,7.2949,NOGORI,100,
2.2,9,CADE,HP,-2.99,95.48926507,,,,,,,,,1,280,205.4,370.7,228.4,296,212,80,5.4378,0,2021,August,10.1424,12.9177,2.7753,2,7.236,,90,
2.3,9,CADE,HP,-3.09,91.29083577,,,,,,,,,0,265,207.9,,,,,90,4.3996,0,2021,August,14.9015,17.369,2.4675,2,12.1986,NOGORI,100,
2.4,9,CADE,HP,-5.87,81.82783759,,,,,,,,,1,252.2,221.1,264.4,262.8,254.2,209.5,90,5.8255,0,2021,August,14.3205,16.0154,1.6949,2,12.2492,,0,
2.5,9,CADE,HP,-6.4,55.78201607,,,,,,,,,1,237.9,210,351.4,467.2,246.9,195.1,90,4.0923,0,2021,August,16.2106,18.3837,2.1731,2,12.3149,taller max temp larger than surface max temp,100,
1.1,10,CADE,HP,-6.02,55.67990052,,,,,,,,,0,261.8,178.7,,,,,70,3.4812,0,2021,August,14.3077,15.5615,1.2538,1,12.0559,NOGORI,80,
1.2,10,CADE,HP,-2.27,95.14566914,,,,,,,,,0,244.6,199.3,,,,,20,3.5565,0,2021,August,14.7269,17.1534,2.4265,1,12.1766,NOGORI,0,
1.3,10,CADE,HP,-3.79,81.1805608,,,,,,,,,1,254.4,206.7,289.1,242.7,268.6,218.2,90,5.4864,0,2021,August,13.6341,14.7082,1.0741,1,12.311,,20,
1.4,10,CADE,HP,-3.58,87.24526151,,,,,,,,,1,277.5,242.2,454.9,376.9,281.1,216.4,85,6.2724,0,2021,August,14.2661,16.1027,1.8366,1,12.161,,60,
1.5,10,CADE,HP,-4.14,78.75203101,,,,,,,,,1,228.9,193.1,267.6,253.2,241.8,184.7,70,3.4604,0,2021,August,15.601,18.3637,2.7627,1,12.0929,,70,
1.6,10,CADE,HP,-4.12,73.47658154,,,,,,,,,1,253.9,207.1,276.2,223.1,261.7,206.3,20,4.0692,0,2021,August,14.7912,16.7506,1.9594,1,12.1245,,20,
2.1,10,CADE,HP,-3.95,78.72554781,,,,,,,,,0,260.2,214.7,,,,,70,3.9145,0,2021,August,14.5587,16.4341,1.8754,2,12.1765,NOGORI,40,
2.2,10,CADE,HP,-8.43,50.02607879,,,,,,,,,1,265.4,213.8,326.2,246.6,282.2,222.7,90,4.0968,0,2021,August,15.0619,16.5006,1.4387,2,12.186,,0,
2.3,10,CADE,HP,-8.13,49.81419297,,,,,,,,,0,255.3,202.7,,,,,100,2.9311,0,2021,August,14.4197,15.5323,1.1126,2,12.1862,NOGORI,80,
2.4,10,CADE,HP,-5.22,43.51664521,,,,,,,,,1,260.7,206.4,281.3,228.6,267.2,215,90,2.9956,0,2021,August,14.9169,16.0999,1.183,2,12.1984,,20,
2.5,10,CADE,HP,-3.96,86.7185411,,,,,,,,,1,239.5,195.7,269.3,229.1,247.3,191.5,85,3.712,0,2021,August,15.9191,19.1622,3.2431,2,12.1793,,100,
1.1,11,CADE,HP,-4.32,66.3587888,,,,,,,,,1,255.6,207.7,283.2,228.8,266.6,211.7,70,2.8726,0,2021,August,9.3211,10.7149,1.3938,1,7.2207,,75,
1.2,11,CADE,HP,-10,38.227696,,,,,,,,,1,249.9,206.2,268,254.1,250.8,207.6,40,3.3746,0,2021,August,8.9145,9.5508,0.6363,1,7.25,,0,
1.3,11,CADE,HP,-5.22,71.8626791,,,,,,,,,1,265,223.3,371.1,314.1,246.7,194,90,8.2117,0,2021,August,7.2344,7.9817,0.7473,1,6.1945,,70,
1.4,11,CADE,HP,-9.79,45.1201443,,,,,,,,,1,237.4,208.7,261.7,255.2,245.2,204.8,0,2.333,0,2021,August,8.7609,9.4613,0.7004,1,7.2086,,0,
1.5,11,CADE,HP,-4.91,78.35294118,,,,,,,,,1,260.5,217.1,282.9,266.3,268.8,212.1,60,3.367,0,2021,August,8.9454,10.344,1.3986,1,7.1604,,100,
1.6,11,CADE,HP,-4.95,77.26319469,,,,,,,,,1,274.3,209.6,283.5,259.8,255.6,202.9,90,6.1502,0,2021,August,7.2842,8.1684,0.8842,1,6.1398,,90,
2.1,11,CADE,HP,-4.52,67.11971128,,,,,,,,,0,230.5,190.8,,,,,0,6.5439,0,2021,August,8.4023,9.2764,0.8741,2,7.1,NOGORI,0,
2.2,11,CADE,HP,-4.05,87.42618691,,,,,,,,,0,261.4,207.2,,,,,100,6.3237,0,2021,August,8.4987,9.6091,1.1104,2,7.2286,NOGORI,0,
2.3,11,CADE,HP,-4.18,78.5843747,,,,,,,,,0,258.5,205.7,,,,,100,2.5023,0,2021,August,8.2963,9.1201,0.8238,2,7.248,NOGORI,70,
2.4,11,CADE,HP,-3.12,98.94242804,,,,,,,,,0,221.1,183.7,,,,,90,2.7764,0,2021,August,8.8375,10.4186,1.5811,2,7.2395,NOGORI,90,
2.5,11,CADE,HP,-3.45,93.99581838,,,,,,,,,0,233.1,173.7,,,,,90,3.4733,0,2021,August,14.6301,17.0128,2.3827,2,12.0952,NOGORI,90,
1.1,12,CADE,HP,-3.62,71.02744097,,,,,,,,,0,237.1,192.7,,,,,95,2.6668,0,2021,August,8.5888,9.5905,1.0017,1,7.1785,NOGORI,80,
1.2,12,CADE,HP,-5.04,66.22551112,,,,,,,,,0,214.9,189.8,,,,,80,2.5015,0,2021,August,14.3038,15.6999,1.3961,1,12.1957,NOGORI,70,
1.3,12,CADE,HP,-5.36,72.61498516,,,,,,,,,1,262.2,193.8,385.1,294.9,282.8,199.8,30,6.0098,0,2021,August,10.0834,12.0411,1.9577,1,7.3874,,20,
1.4,12,CADE,HP,-6.21,59.56566701,,,,,,,,,1,253.6,196.4,301.1,240.8,269.5,202.2,80,5.4526,0,2021,August,8.3884,9.1372,0.7488,1,7.1313,,25,
1.6,12,CADE,HP,-5.31,72.3281777,,,,,,,,,0,274.1,217.3,,,,,70,3.51,0,2021,August,8.9552,10.1991,1.2439,1,7.2354,NOGORI,100,
2.1,12,CADE,HP,-2.97,113.9909708,,,,,,,,,1,240.7,246.8,,,,,90,3.3033,0,2021,August,14.5134,17.2151,2.7017,2,12.1433,thermocoupler turned off,100,
2.2,12,CADE,HP,-4.58,77.25921924,,,,,,,,,1,250.4,207.2,450.3,365.8,279.7,195.8,60,4.3691,0,2021,August,15.0752,17.363,2.2878,2,12.114,,75,
2.3,12,CADE,HP,-4.62,75.83040472,,,,,,,,,1,244.9,205.9,279.6,270,260.8,209.1,100,2.7371,0,2021,August,8.1401,8.809,0.6689,2,7.258,,90,
2.4,12,CADE,HP,-5.44,77.6500484,,,,,,,,,1,255.3,200.3,254,290,280.9,202,100,4.0873,0,2021,August,14.6872,16.6123,1.9251,2,12.208,,100,
2.5,12,CADE,HP,-7.43,22.47664407,,,,,,,,,1,274.6,211.8,353.6,310.3,274.6,205.4,0,2.5637,0,2021,August,13.7545,14.1226,0.3681,2,12.1168,,0,
1.1,13,CADE,HP,-5.1,70.46716935,,,,,,,,,0,266.2,218.6,,,,,50,4.7839,0,2021,August,15.7823,18.4084,2.6261,1,12.0556,NOGORI,50,
1.2,13,CADE,HP,-6.29,64.41099094,,,,,,,,,1,263.9,204.4,472.7,381.8,262,191.1,40,9.326,0,2021,August,14.9139,16.6767,1.7628,1,12.1771,,30,
1.4,13,CADE,HP,-10,51.67977712,,,,,,,,,0,266.4,198.7,,,,,0,2.4945,0,2021,August,13.3817,14.0124,0.6307,1,12.1613,NOGORI,0,
1.5,13,CADE,HP,-5.33,74.06951605,,,,,,,,,0,256.4,197.9,,,,,30,4.3804,0,2021,August,15.0798,17.3067,2.2269,1,12.0733,NOGORI,60,
1.6,13,CADE,HP,-5.26,70.12413213,,,,,,,,,0,240.7,203.9,,,,,60,3.3775,0,2021,August,14.5081,16.1746,1.6665,1,12.1316,NOGORI,60,
2.1,13,CADE,HP,,,,,,,,,,,1,250.3,189.3,256,212.7,251.1,198.2,,,0,2021,August,,,,2,,,,
2.2,13,CADE,HP,-2.97,93.46140719,,,,,,,,,1,253.7,217.2,272.3,256.2,268.1,230.4,80,3.3694,0,2021,August,16.1782,20.0118,3.8336,2,12.0764,,80,
1.1,14,CADE,HP,-7.53,56.77561813,,,,,,,,,0,248.8,217.3,,,,,50,3.8855,1,2021,August,15.8817,17.9644,2.0827,1,12.2134,,50,
1.2,14,CADE,HP,-5.99,68.43146565,,,,,,,,,1,315.3,270.2,410.5,315.8,264.4,209.2,60,4.2335,0,2021,August,15.9776,18.5717,2.5941,1,12.1868,,50,
1.3,14,CADE,HP,-4.96,72.99382716,,,,,,,,,1,267.1,238.8,469,344.1,321.2,194.6,70,7.1816,0,2021,August,14.5194,16.2222,1.7028,1,12.1866,,80,
1.4,14,CADE,HP,-4.52,71.44831866,,,,,,,,,1,258.4,217,423.7,316,295.3,192.3,20,8.144,0,2021,August,15.838,18.3707,2.5327,1,12.2932,,0,
1.5,14,CADE,HP,-5.89,68.07548653,,,,,,,,,1,271.5,232.5,465.4,391.2,275.2,192.8,80,7.733,0,2021,August,14.7493,16.4808,1.7315,1,12.2058,,80,
1.6,14,CADE,HP,-7.61,57.25590364,,,,,,,,,0,260.6,207.8,,,,,70,1.7012,0,2021,August,16.0395,18.3259,2.2864,1,12.0462,NOGORI,75,
2.1,14,CADE,HP,-4.63,69.42326234,,,,,,,,,1,262,199.1,419.7,382.9,280,187.3,25,5.4276,0,2021,August,14.4889,16.073,1.5841,2,12.2071,,0,
2.2,14,CADE,HP,-5.71,74.35678197,,,,,,,,,1,275.1,204.8,279.9,216,269.2,205.6,100,3.0945,0,2021,August,8.3864,9.343,0.9566,2,7.0999,,100,
2.3,14,CADE,HP,-6.82,52.8480664,,,,,,,,,1,259.7,218.9,344.9,264.9,280.3,203.5,75,2.8712,0,2021,August,14.7449,16.1839,1.439,2,12.022,,0,
2.4,14,CADE,HP,-10,36.26750581,,,,,,,,,1,271.6,214.6,278.8,212.2,270.2,203,5,2.4817,0,2021,August,15.7341,17.0134,1.2793,2,12.2067,,20,
2.5,14,CADE,HP,-4.74,76.66291503,,,,,,,,,1,286.4,223.3,261.4,280.1,290.8,197.3,90,2.6055,0,2021,August,9.0125,10.3748,1.3623,2,7.2355,,100,
1.4,15,CADE,HP,-6.04,55.34689805,,,,,,,,,1,266.5,197.8,315.4,249.2,277.1,208.2,10,4.3372,0,2021,August,14.9076,16.4608,1.5532,1,12.1013,,0,
2.2,15,CADE,HP,-10,15.77266506,,,,,,,,,0,255.8,202.4,,,,,20,4.0295,0,2021,August,15.2536,15.7376,0.484,2,12.185,NOGORI,0,
2.3,15,CADE,HP,-5.27,61.91836929,,,,,,,,,1,274.4,210.1,336.1,252.2,289.7,212.5,100,2.1744,0,2021,August,14.2971,15.5972,1.3001,2,12.1974,,20,
1.1,1,CECO,HP,-0.27,176.0012419,,,,0,,0,0,0,0,255.3,194,,,,,,2.0896,0,2021,August,12.5213,13.0882,0.5669,1,12.1992,NOGORI,,
1.2,1,CECO,HP,-0.16,141.5480427,,,369,,,0,,,0,261.8,204.3,,,,,,1.2644,1,2021,August,12.6505,13.446,0.7955,1,12.0885,,,
1.3,1,CECO,HP,-0.27,154.7234574,,32,1,309,310,15,370,46,1,266.4,206.7,302.6,228.4,261.3,205.6,,2.1676,1,2021,August,13.4955,15.4789,1.9834,1,12.2136,sample touching pilot flame,,
1.4,1,CECO,HP,-0.21,168.7809713,,,,0,,0,0,0,0,251.7,202.6,,,,,,1.3224,0,2021,August,12.6273,13.4788,0.8515,1,12.1228,NOGORI,,
1.5,1,CECO,HP,-0.42,155.0524738,,,,0,,0,0,0,0,267.8,208.7,,,,,,3.4445,0,2021,August,13.4031,15.4715,2.0684,1,12.0691,NOGORI,,
