"","bins10lfm","bins20lfm","bins40lfm","bins5lfm","bottle.wt","dry.wt","dw.flam.sample","fd","fh","fresh.wt","gd","gdw.gfw","gdw.gww","gdw.gww.saturated","glow","gr","gti","gww.gdw","gww.gdw.saturated","hydration","ignition","ignition.temp","individual","lfm","lfm.NAs.imputed","lfm.notes","lfm.outliers.out","max.mpa.sample","model","model.spp.gr","model.spp.gr.sample","month","mpa","n","pfg","prop.ignite","prop.new","ros","round","RWC","RWD","sample","sample.wt","site","spp","start.temp","temp.max","total","ttfg","tti","ttms","water.wt","ww.flam.sample","year","year.month","mean.wt","dry.norm.fh","dry.norm.gd","dry.norm.fd","dry.norm.pfg","dry.norm.ttfg","dry.norm.tti","dry.norm.gti","temp.change","PC1.norm","PC2.norm","PC3.norm","PC4.norm","PC5.norm","PC6.norm","PC7.norm","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8"
"110","(120,130]","(120,140]","(120,160]","(125,130]",12.1643,12.552,2.85955218844892,24,33,13.0412,81,0.962488114590682,0.792518397383481,-0.145787399188689,0,"(120,130]",0.5,1.261800361,1.422244339,"hydrated",1,271.8,"2020_October_CADE_2.4",126.1800361,126.1800361,"0",126.1800361,-0.046,"HP","2020_October_HP_CADE_(120,130]","2020_October_HP_CADE_(120,130]_2.4","October",-1.209,19,57,2153,NA,0.416666666666667,4,88.7189582267692,11.2810417732308,2.4,2.971,"SEKI","CADE",260.1,297.8,409,70,70,1,0.4892,0.111447811551084,2020,"2020_October",3.70336718504992,11.540268484451,28.3261135527434,8.39292253414621,19.9331910185972,24.4793573912598,24.4793573912598,0.174852552794713,37.7,0.186784919346729,-1.28782560329367,-0.286846651579876,-1.4226739664325,0.657774260855321,-0.00375955101061543,-0.226570687522802,0.371338717706921,-2.67535180371782,-0.180823704994756,0.585453249855417,0.199259841708311,1.44825447662018,-0.0360070518552342,-0.000826426611291589
"111","(200,210]","(200,220]","(200,240]","(200,205]",7.2088,7.3531,3.08374119209631,6,20,7.642,108,0.96219576027218,0.499480789200416,0.499480789200416,1,"(200,210]",44,2.002079002,2.002079002,"hydrated",1,288.9,"2020_October_ABCO_1.2",200.2079002,200.2079002,"0",200.2079002,-0.046,"HP","2020_October_HP_ABCO_(200,210]","2020_October_HP_ABCO_(200,210]_1.2","October",-0.261,1,58,40900,NA,1.66666666666667,1,100,0,1.2,3.2049,"SEKI","ABCO",267,289.2,409,100,144,2,0.2889,0.12115880790369,2020,"2020_October",3.70336718504992,6.4856285771518,35.0223943166197,1.94568857314554,18.8083228737402,32.428142885759,46.696525755493,14.268382869734,22.2,1.67869354381215,-3.63479971767448,-0.662175652271693,-0.325077056268548,0.711654534018506,0.0772806774806228,-0.229592403762907,3.61051350392368,-7.29630746734299,-0.823418332160033,0.313980149990871,1.24776267195062,-2.09468310653302,-0.0802449607394834,-0.000547070912393858
"112","(100,110]","(100,120]","(80,120]","(105,110]",7.2553,7.5378,0.660186283191487,5,30,7.8371,63,0.96180985313445,0.943869027731372,0.655465759251385,0,"(100,110]",0.5,1.059469027,1.525632706,"hydrated",1,206.3,"2020_October_QUKE_1.7",105.9469027,105.9469027,"0",105.9469027,-0.046,"HP","2020_October_HP_QUKE_(100,110]","2020_October_HP_QUKE_(100,110]_1.7","October",-3.312,11,58,3718,NA,2,5,69.4445670201829,30.5554329798171,1.7,0.6864,"SEKI","QUKE",212.3,207.8,409,18,18,1,0.2993,0.0262137168085134,2020,"2020_October",3.70336718504992,45.4417196536913,95.4276112727518,7.57361994228189,87.8539913304699,27.2650317922148,27.2650317922148,0.757361994228189,-4.5,2.03706478191876,1.22569214772713,0.135941922530674,-0.447380436922413,0.888374935688907,0.1703575444597,-0.00221134199662626,1.18064848198756,0.368413368278885,-0.959602721333304,1.51084452318829,-0.462708650490812,0.364543688951607,-0.00745099885673891,-0.00181329795577022
"113","(120,130]","(120,140]","(120,160]","(120,125]",12.1722,12.5154,1.67305453870773,16,32,12.9354,74,0.967530961547382,0.817142857142856,0.499480789200416,1,"(120,130]",0.5,1.223776224,2.002079002,"hydrated",1,264.7,"2020_October_ABCO_1.2",122.3776224,122.3776224,"0",122.3776224,-0.046,"HP","2020_October_HP_ABCO_(120,130]","2020_October_HP_ABCO_(120,130]_1.2","October",-2.991,10,58,4090,10,0.625,6,61.1252714192344,38.8747285807656,1.2,1.7292,"SEKI","ABCO",273.7,275.6,409,52,52,2,0.42,0.0561454612922678,2020,"2020_October",3.70336718504992,19.1266926807519,44.2304768242389,9.56334634037597,34.6671304838629,31.0808756062219,31.0808756062219,0.298854573136749,1.90000000000003,1.31689569886113,0.723255074051385,1.80360561234094,-2.35111515238947,0.932202952495304,0.231568922916707,-0.377658491199587,2.70264531364009,-2.78839370708381,-2.85067330224146,1.31788612268814,0.600897040988022,0.149261318325747,0.188634644809231,-0.000187911895784567
"114","(110,120]","(100,120]","(80,120]","(115,120]",7.1505,7.3786,2.16560032702395,8,30,7.6447,70,0.965191570630633,0.857196542653136,0.574712643678161,1,"(110,120]",4,1.166593599,1.74,"hydrated",1,252.3,"2020_October_ABCO_1.4",116.6593599,116.6593599,"0",116.6593599,-0.046,"HP","2020_October_HP_ABCO_(110,120]","2020_October_HP_ABCO_(110,120]_1.4","October",-3.109,12,58,3408,60,1.25,7,67.045609137931,32.954390862069,1.4,2.2437,"SEKI","ABCO",246.4,292.9,409,57,61,2,0.2661,0.078099672976049,2020,"2020_October",3.70336718504992,13.8529716797869,32.3236005861694,3.6941257812765,26.7824119142546,26.3206461915951,28.1677090822333,1.84706289063825,46.5,-0.809373016910865,-0.577040387248838,-0.997589304619071,0.355885488850066,0.414843184746321,-0.0848279287913788,0.090450348116678,-0.0647759042512091,-0.355128859771719,0.960917616892006,0.262423968874351,-0.879514082790762,-0.155049598470738,-0.0238690012143874,-0.00134738614187905
"115","(160,170]","(160,180]","(160,200]","(165,170]",12.0989,12.4377,6.90388518769023,29,42,13.0108,87,0.955951978356442,0.591170825335891,0.573335644937587,0,"(160,170]",0.5,1.691558442,1.744179014,"hydrated",1,265.3,"2020_October_PIJE_1.2",169.1558442,169.1558442,"0",169.1558442,-0.046,"HP","2020_October_HP_PIJE_(160,170]","2020_October_HP_PIJE_(160,170]_1.2","October",-0.512,7,58,5843,100,0.344827586206897,1,96.9830750411723,3.01692495882766,1.2,7.222,"SEKI","PIJE",274.9,351.2,409,130,130,8,0.5731,0.318114812309774,2020,"2020_October",3.70336718504992,6.08353106376782,12.6016000606619,4.20053335355397,8.40106670710794,18.8299771021385,18.8299771021385,0.0724229888543788,76.3,-2.08714113719072,-2.05042173920473,-0.534905508271556,0.424012153879878,0.175083992098301,0.108975026883954,0.0487732082623926,-0.295799174222402,-1.48752507236894,1.81275940024926,-0.758858047642678,-1.1065847092811,-0.374653442654164,-0.0367836789725789,-0.000817204033103302
"116","(130,140]","(120,140]","(120,160]","(130,135]",12.2123,12.7586,2.74098308864441,21,37,13.4797,82,0.946504744170864,0.757592566911661,0.658121893800682,1,"(130,140]",3,1.319970712,1.519475358,"hydrated",1,272.3,"2020_October_CADE_1.4",131.9970712,131.9970712,"0",131.9970712,-0.046,"HP","2020_October_HP_CADE_(130,140]","2020_October_HP_CADE_(130,140]_1.4","October",-2.224,12,58,3408,NA,0.476190476190476,4,86.8701624577448,13.1298375422552,1.4,2.8959,"SEKI","CADE",264.9,309.7,409,66,69,2,0.7211,0.154916911355594,2020,"2020_October",3.70336718504992,13.4988063783709,29.9162735953086,7.66148470123756,21.1602910796085,24.0789519181752,25.1734497326377,1.09449781446251,44.8,0.689744440373889,1.41495169655836,-0.948920306157248,-1.44201389484762,0.501813919244152,-0.333390888570759,-0.127075761462464,1.80899084357355,1.01091002808277,-1.00909535297338,2.44560060832805,-0.269594550665255,-0.252058957224697,-0.0199983677532284,-0.00253292395698208
"117","(140,150]","(140,160]","(120,160]","(145,150]",12.188,12.5737,7.61022628425439,24,42,13.1516,83,0.956058578423918,0.667416508046375,0.562616822429907,0,"(140,150]",0.5,1.498314752,1.777408638,"hydrated",1,274.4,"2020_October_PIJE_1.9",149.8314752,149.8314752,"0",149.8314752,-0.046,"HP","2020_October_HP_PIJE_(140,150]","2020_October_HP_PIJE_(140,150]_1.9","October",-2.684,13,59,3146,100,0.416666666666667,3,84.2977084710218,15.7022915289782,1.9,7.96,"SEKI","PIJE",270,346.1,409,80,80,3,0.5779,0.349773715745612,2020,"2020_October",3.70336718504992,5.51888977163508,10.9063774058503,3.15365129807719,7.75272610777309,10.5121709935906,10.5121709935906,0.0657010687099415,76.1,-0.163827358499968,-2.3558344621552,-0.278756851805823,-1.01883268031943,0.53803817123604,0.0751523724708346,-0.182902766047035,0.752032234073563,-3.84148504264307,-0.534442419965357,0.871768480269291,0.365002116590224,-0.37700831924741,-0.0180372182582278,-0.0010360180923994
"118","(100,110]","(100,120]","(80,120]","(100,105]",12.0818,10.1659203148219,1.6775594139772,10,39,13.1416,87,0.773567930451537,-0.145787399188689,-0.145787399188689,1,NA,18,1.04255455050669,1.422244339,"hydrated",1,232.3,"2020_October_CADE_2.4",NA,104.255455050669,"missing dry wt",NA,-0.046,"HP","2020_October_HP_CADE_NA","2020_October_HP_CADE_NA_2.4","October",-3.49,8,59,5112,NA,1,8,73.3034769004405,26.6965230995595,2.4,2.1686,"SEKI","CADE",238.1,270.4,409,83,101,3,13.1416,0.491040586022796,2020,"2020_October",3.70336718504992,23.2480588616159,51.8610543836048,5.96104073374768,35.1701403291113,49.4766380901057,60.2065114108516,10.7298733207458,32.3,1.37430496795561,-2.85813672117275,-0.572267975945274,-0.155653904465945,0.629115009224003,0.113740379397372,-0.132403842203449,-0.386457524979821,-3.6588780205245,-0.442404552104759,1.15984014913775,-0.282650698092182,-0.606467400659019,0.0148183740363496,-0.00144827633916822
"119","(150,160]","(140,160]","(120,160]","(155,160]",7.2454,7.6005,2.56775789189786,19,33,8.1571,80,0.931764965490187,0.637980596478621,0.551645622024427,1,"(150,160]",1,1.56744579,1.812757974,"hydrated",1,249.6,"2020_October_ABCO_2.3",156.744579,156.744579,"0",156.744579,-0.046,"HP","2020_October_HP_ABCO_(150,160]","2020_October_HP_ABCO_(150,160]_2.3","October",-2.2,12,60,3408,NA,0.526315789473684,3,86.4674607687038,13.5325392312962,2.3,2.7558,"SEKI","ABCO",249.2,268.6,409,87,88,2,0.5566,0.188042108102144,2020,"2020_October",3.70336718504992,12.8516789313066,31.1555852880161,7.39945150590382,23.3666889660121,33.8816990007175,34.2711438168177,0.389444816100201,19.4,0.235442349497958,-1.31372069164699,-0.952894312204407,-0.0497131508334155,0.401034891405726,-0.0832110861970187,-0.00287390869627552,1.37157147856715,-1.40754728667425,0.757973124794687,-0.253265514871201,0.211739963923822,-0.708184399717032,-0.067313774547886,-0.000672714938270409
