"","individual","year.month","dry.wt","spp","model","lfm.NAs.imputed","RWC","max.mpa.sample","mpa","gww.gdw","gww.gdw.saturated","fresh.wt","site","sample"
"23","2016_December_ADFA_5","2016_December",0.5745,"ADFA","EPI",78.15491732,85.4653262498246,-0.4,-1,0.7815491732,0.9144634526,1.0235,"St. Marys",5
"24","2016_December_ADFA_6","2016_December",0.6575,"ADFA","EPI",74.22053232,77.6996197722572,-0.2,-1.3,0.7422053232,0.9552238806,1.1455,"St. Marys",6
"25","2016_December_ADFA_1","2016_December",0.216,"ADFA","EPI",88.88888889,72.5546058919468,-0.3,-0.9,0.8888888889,1.22513089,0.408,"St. Marys",1
"26","2016_December_ADFA_2","2016_December",0.1605,"ADFA","EPI",135.2024922,92.9209855500531,-0.6,-1,1.352024922,1.455026455,0.3775,"St. Marys",2
"27","2016_December_ADFA_3","2016_December",0.18,"ADFA","EPI",135,99.6309963099631,-0.4,-0.7,1.35,1.355,0.423,"St. Marys",3
"28","2016_December_ADFA_4","2016_December",0.434,"ADFA","EPI",67.05069124,63.0276497794661,-0.4,-1.2,0.6705069124,1.063829787,0.725,"St. Marys",4
"29","2016_December_ADFA_5","2016_December",0.6495,"ADFA","EPI",78.21401078,85.529947159312,-0.4,-1.4,0.7821401078,0.9144634526,1.1575,"St. Marys",5
"30","2016_December_ADFA_6","2016_December",0.7195,"ADFA","EPI",77.69284225,81.3346942302146,-0.2,-1.6,0.7769284225,0.9552238806,1.2785,"St. Marys",6
"31","2016_December_ADFA_1","2016_December",0.026,"ADFA","EPI",84.5704332340469,69.0297125999712,-0.3,-1.1,0.845704332340469,1.22513089,0.174,"St. Marys",1
"32","2016_December_ADFA_2","2016_December",0.167,"ADFA","EPI",49.10179641,33.7463255333045,-0.6,-0.7,0.4910179641,1.455026455,0.249,"St. Marys",2
"33","2016_December_ADFA_3","2016_December",0.309,"ADFA","EPI",71.5210356,52.783052103321,-0.4,-0.9,0.715210356,1.355,0.53,"St. Marys",3
"34","2016_December_ADFA_4","2016_December",0.397,"ADFA","EPI",76.5743073,71.9798488778356,-0.4,-1.8,0.765743073,1.063829787,0.701,"St. Marys",4
"35","2016_December_ADFA_5","2016_December",0.3215,"ADFA","EPI",91.44634526,100,-0.4,-2,0.9144634526,0.9144634526,0.6155,"St. Marys",5
"36","2016_December_ADFA_6","2016_December",0.344,"ADFA","EPI",71.22093023,74.5594113342982,-0.2,-2.4,0.7122093023,0.9552238806,0.589,"St. Marys",6
"37","2016_December_ADFA_1","2016_December",0.1385,"ADFA","EPI",80.1507040149148,65.4221558440297,-0.3,-2.1,0.801507040149148,1.22513089,0.3865,"St. Marys",1
"38","2016_December_ADFA_2","2016_December",0.285,"ADFA","EPI",98.24561404,67.5215311050822,-0.6,-2.2,0.9824561404,1.455026455,0.565,"St. Marys",2
"39","2016_December_ADFA_3","2016_December",0.5275,"ADFA","EPI",75.45023697,55.6828317121771,-0.4,-1.7,0.7545023697,1.355,0.9255,"St. Marys",3
