sample,round,spp,model,mpa,lfm,lfm.notes,fh,ttfg,gti,tti,fd,gd,pfg,ignition,start.temp,temp.max,ignition.temp,prop.new,sample.wt,glow,year,month ,dry.wt,fresh.wt,water.wt,site
2,7,ADFA,EPI,-2.2,98.24561404,0,12,9,23,32,6,97,68,1,271.2,348.5,0,100,0.512,1,2016,December,0.285,0.565,0.28,St. Marys
3,7,ADFA,EPI,-1.7,75.45023697,0,8,17,18,35,6,95,71,1,272.1,306.5,0,100,0.484,1,2016,December,0.5275,0.9255,0.398,St. Marys
4,7,ADFA,EPI,-2.5,70.32085561,0,5,17,25,42,2,104,77,1,274.7,298,0,100,0.526,1,2016,December,0.748,1.274,0.526,St. Marys
5,7,ADFA,EPI,-2.6,75.29411765,0,4,17,37,54,2,147,108,1,282.3,293.6,0,100,0.516,1,2016,December,0.51,0.894,0.384,St. Marys
6,7,ADFA,EPI,-4.9,76.2962963,0,9,15,17,32,8,97,72,1,267.7,301.7,0,100,0.483,1,2016,December,0.54,0.952,0.412,St. Marys
1,8,ADFA,EPI,-2.7,62.83524904,0,11,7,42,49,3,133,88,1,272.3,302.3,0,100,0.496,1,2016,December,0.3915,0.6375,0.246,St. Marys
2,8,ADFA,EPI,-2.8,170.3125,0,9,19,25,44,3,109,81,1,271.6,294.7,0,100,0.497,1,2016,December,0.128,0.346,0.218,St. Marys
3,8,ADFA,EPI,-2.7,67.54716981,0,9,16,3,19,15,114,96,1,275.1,288.4,0,100,0.537,1,2016,December,0.53,0.888,0.358,St. Marys
4,8,ADFA,EPI,-4.1,93.49522984,0,10,32,15,47,7,148,126,1,280.5,284.1,0,100,0.51,1,2016,December,0.5765,1.1155,0.539,St. Marys
5,8,ADFA,EPI,-3.6,59.26660059,0,8,15,19,34,8,95,68,1,273,354.5,0,100,0.506,1,2016,December,0.5045,0.8035,0.299,St. Marys
6,8,ADFA,EPI,-5.9,61.41732283,"Missing upper video, no data for glow times ",15,-6241,6278,37,7,0,-6285,1,281.5,297.5,0,100,0.472,1,2016,December,0.9525,1.5375,0.585,St. Marys
1,9,ADFA,EPI,-3.1,65.03667482,0,12,6,25,31,5,96,66,1,270.2,281.7,0,100,0.479,1,2016,December,0.409,0.675,0.266,St. Marys
2,9,ADFA,EPI,-2.8,64.47761194,0,6,6,23,29,3,91,65,1,0,0,0,100,0.445,1,2016,December,0.1675,0.2755,0.108,St. Marys
3,9,ADFA,EPI,-3,62.6252505,0,7,11,32,43,1,110,77,1,277.4,288.2,0,100,0.491,1,2016,December,0.998,1.623,0.625,St. Marys
4,9,ADFA,EPI,-4.9,91.99318569,"Missing upper video, no data for glow times ",10,-6924,6961,37,4,0,-6965,1,278.1,301.9,0,100,0.501,1,2016,December,0.2935,0.5635,0.27,St. Marys
5,9,ADFA,EPI,-4.5,58.68852459,0,12,9,27,36,4,87,56,1,279.3,295.8,0,100,0.506,1,2016,December,0.305,0.484,0.179,St. Marys
6,9,ADFA,EPI,-5.6,60.53683609,0,14,16,14,30,6,85,65,1,270.9,311.9,0,100,0.486,1,2016,December,0.8755,1.4055,0.53,St. Marys
1,10,ADFA,EPI,-3.4,94.95268139,0,12,15,3,18,9,57,45,1,275.1,316.4,0,100,0.518,1,2016,December,0.317,0.618,0.301,St. Marys
2,10,ADFA,EPI,-3.6,67.15328467,0,15,16,10,26,6,69,53,1,276.4,311.9,0,100,0.524,1,2016,December,0.274,0.458,0.184,St. Marys
3,10,ADFA,EPI,-3.8,88.46641318,0,11,16,14,30,5,87,68,1,272.2,339.8,0,100,0.506,1,2016,December,0.3945,0.7435,0.349,St. Marys
4,10,ADFA,EPI,-5.1,51.12107623,0,12,9,19,28,6,112,87,1,274.8,302.3,0,100,0.499,1,2016,December,0.5575,0.8425,0.285,St. Marys
