sample,round,spp,model,mpa,lfm,lfm.notes,fh,ttfg,gti,tti,fd,gd,pfg,ignition,start.temp,temp.max,ignition.temp,prop.new,sample.wt,glow,year,month ,dry.wt,fresh.wt,water.wt,site
4,7,ADFA,EPI,-6.4,60.97863116,0,5,6,23,29,1,82,58,1,279.8,282.1,0,100,0.4916,1,2018,January,0.3229,0.5198,0.1969,St. Marys
5,7,ADFA,EPI,-6.2,59.11965596,0,12,11,9,20,14,113,90,1,281.8,316.5,0,100,0.5277,1,2018,January,0.3953,0.629,0.2337,St. Marys
6,7,ADFA,EPI,-5.2,66.58701712,0,13,5,30,35,7,104,67,1,278.7,382.1,0,100,0.4799,1,2018,January,0.3767,0.6275,0.2508,St. Marys
2,8,ADFA,EPI,-9.9,47.54313169,0,11.5,4,5,9,18,102,79,1,283.6,307.9,0,100,0.4491,1,2018,January,0.4579,0.6756,0.2177,St. Marys
3,8,ADFA,EPI,-10,44.3403355,0,14.5,7,15,22,9,124,100,1,276,302.7,0,100,0.5052,1,2018,January,0.3309,0.4776,0.1467,St. Marys
4,8,ADFA,EPI,-7.7,49.12280702,0,5,5,36,41,4,143,103,1,282.8,287,0,100,0.488,1,2018,January,0.4532,0.6758,0.2226,St. Marys
5,8,ADFA,EPI,-8.1,50.2292769,0,11.5,12,20,32,4,102,78,1,276.2,289.2,0,100,0.4913,1,2018,January,0.2835,0.4259,0.1424,St. Marys
6,8,ADFA,EPI,-3,73.28872877,0,10,8,14,22,22,95,59,1,279.1,331.7,0,100,0.5412,1,2018,January,0.2915,0.5051,0.2136,St. Marys
1,9,ADFA,EPI,-7.6,55.32424742,Missing flam weight,0,490,-27509,-27019,0,128,27637,0,281.9,0,0,100,0,1,2018,January,0.3339,0.5186,0.1847,St. Marys
1,9,ADFA,EPI,-7.6,55.32424742,0,13,14,17,31,10,136,109,1,276.8,305,0,100,0.4533,1,2018,January,0.3339,0.5186,0.1847,St. Marys
2,9,ADFA,EPI,-8.6,50.06126378,0,0,21,-36048,-36027,0,162,36210,0,283.6,0,0,100,0.5459,1,2018,January,0.2857,0.4287,0.143,St. Marys
3,9,ADFA,EPI,-10,38.72118551,0,18,5,13,18,12,96,71,1,278.4,298.9,0,100,0.525,1,2018,January,0.3644,0.5055,0.1411,St. Marys
4,9,ADFA,EPI,-9.4,47.53502854,0,0,13,-22952,-22939,0,184,23136,0,281.8,0,0,100,0.5298,1,2018,January,0.2891,0.4265,0.1374,St. Marys
4,9,ADFA,EPI,-9.4,47.53502854,Missing flam weight,14.5,8,16,24,10,150,124,1,278.7,316.8,0,100,0,1,2018,January,0.2891,0.4265,0.1374,St. Marys
5,9,ADFA,EPI,-10,37.26759975,0,8.5,7,29,36,4,140,107,1,283.4,288.4,0,100,0.4662,1,2018,January,0.4787,0.6571,0.1784,St. Marys
6,9,ADFA,EPI,-9.2,45.67920184,0,10,1,16,17,16,134,102,1,281.8,305.9,0,100,0.4728,1,2018,January,0.3258,0.4746,0.1488,St. Marys
1,10,ADFA,EPI,-5.7,61.67923828,0,15.5,8,22,30,7,122,93,1,281.3,280.8,0,100,0.4969,1,2018,January,0.4044,0.6538,0.2494,St. Marys
3,10,ADFA,EPI,-9.5,42.10526316,0,12,1,33,34,3,130,94,1,281.3,287.9,0,100,0.5053,1,2018,January,0.3306,0.4698,0.1392,St. Marys
4,10,ADFA,EPI,-8.4,50.09176084,0,12,9,8,17,8,88,72,1,282.6,316.8,0,100,0.4613,1,2018,January,0.5177,0.777,0.2593,St. Marys
5,10,ADFA,EPI,-9.3,48.88059701,0,7.5,12,24,36,2,144,118,1,282.8,293.7,0,100,0.5324,1,2018,January,0.3752,0.5586,0.1834,St. Marys
6,10,ADFA,EPI,-7.5,48.38709677,0,0,4,-22154,-22150,0,188,22342,0,277.8,0,0,100,0.4951,1,2018,January,0.1922,0.2852,0.093,St. Marys
1,11,ADFA,EPI,-6.5,61.42040816,Missing flam weight,0,9,-25785,-25776,0,135,25920,0,283.4,0,0,100,0,1,2018,January,0.3063,0.4944,0.1881,St. Marys
1,11,ADFA,EPI,-5.7,61.67923828,0,7,5,45,50,2,110,63,1,278.7,283.4,0,100,0.5316,1,2018,January,0.4044,0.6538,0.2494,St. Marys
2,11,ADFA,EPI,-6.6,58.91820312,0,11.5,10,14,24,9,125,102,1,277.2,131.1,0,100,0.5071,1,2018,January,0.4908,0.78,0.2892,St. Marys
3,11,ADFA,EPI,-8,46.01938058,0,3.5,3,38,41,1,139,100,1,280.6,296.4,0,100,0.4752,1,2018,January,0.2632,0.3843,0.1211,St. Marys
1,12,ADFA,EPI,-7.6,59.18060703,0,17,11,18,29,9,89,62,1,278.2,281,0,100,0.5579,1,2018,January,0.4992,0.7946,0.2954,St. Marys
1,1,CEME,EPI,-0.163,131.3260941,no burn ,0,0,0,0,0,0,0,0,0,0,0,100,0.493,1,2019,December,0.3039,0.703,0.3991,St. Marys
2,1,CEME,EPI,-0.167,149.7320472,0,0,19,-36856,-36837,0,104,36960,0,279,313.8,0,100,0.462,1,2019,December,0.1866,0.466,0.2794,St. Marys
3,1,CEME,EPI,-0.263,,no lfm measurement made,0,7,-37920,-37913,0,187,38107,0,266.8,308.9,0,100,0.531,1,2019,December,0,0,0,St. Marys
4,1,CEME,EPI,-0.58,96.18380062,0,2,13,56,69,3,119,60,1,279.3,343.2,0,100,0.576,1,2019,December,0.2568,0.5038,0.247,St. Marys
5,1,CEME,EPI,-0.25,120.9012994,0,5,3,60,63,7,171,104,1,283.6,312.3,0,100,0.512,1,2019,December,0.3617,0.799,0.4373,St. Marys
6,1,CEME,EPI,-0.31,183.9984724,0,0,0,0,0,0,0,0,0,0,0,0,100,0.55,0,2019,December,0.2619,0.7437,0.4818,St. Marys
7,1,CEME,EPI,-0.043,269.285511,0,0,27,-44090,-44063,0,149,44239,0,280.7,312.6,0,100,0.619,1,2019,December,0.1757,0.6487,0.473,St. Marys
7,1,CEME,EPI,-0.043,269.285511,0,0,22,-44458,-44436,0,197,44655,0,275.6,304.7,0,100,0.619,1,2019,December,0.1757,0.6487,0.473,St. Marys
7,1,CEME,EPI,-0.043,269.285511,0,0,22,-50074,-50052,0,195,50269,0,281.6,293.4,0,100,0.619,1,2019,December,0.1757,0.6487,0.473,St. Marys
8,1,CEME,EPI,-0.317,224.1209333,0,0,18,-46812,-46794,0,139,46951,0,276.5,300.4,0,100,0.584,1,2019,December,0.1522,0.4932,0.341,St. Marys
8,1,CEME,EPI,-0.317,224.1209333,0,7,9,27,36,8,128,93,1,265.3,0,0,100,0.584,1,2019,December,0.1522,0.4932,0.341,St. Marys
9,1,CEME,EPI,-0.362,170.9535759,0,0,21,-46490,-46469,0,153,46643,0,280.4,0,0,100,0.643,1,2019,December,0.3188,0.8638,0.545,St. Marys
4,2,CEME,EPI,-2.01,208.8915956,0,0,16,-47404,-47388,0,151,47555,0,270.6,307.3,0,100,0.638,1,2019,December,0.1642,0.5072,0.343,St. Marys
5,2,CEME,EPI,-1.92,123.7289451,0,5,9,40,49,1,113,72,1,276.7,283,0,100,0.616,1,2019,December,0.6442,1.4412,0.797,St. Marys
6,2,CEME,EPI,-1.39,158.7018545,0,9,30,44,74,4,163,115,1,274.5,307.6,0,100,0.665,1,2019,December,0.2804,0.7254,0.445,St. Marys
7,2,CEME,EPI,-0.88,453.5135135,0,0,11,-50345,-50334,0,152,50497,0,283.1,291.4,0,100,0.459,1,2019,December,0.185,1.024,0.839,St. Marys
8,2,CEME,EPI,-1.34,255.0009348,0,0,25,-51432,-51407,0,145,51577,0,271.2,294.2,0,100,0.546,1,2019,December,0.1337,0.4747,0.341,St. Marys
9,2,CEME,EPI,-1.01,180.1801802,0,15,24,33,57,9,149,107,1,276.4,261.9,0,100,0.669,1,2019,December,0.1943,0.5443,0.35,St. Marys
4,3,CEME,EPI,-2.98,147.9640844,0,13,23,32,55,12,114,70,1,265.7,273.6,0,100,0.56,1,2019,December,0.2395,0.5938,0.3543,St. Marys
6,3,CEME,EPI,-2.37,170.2711981,0,3,26,34,60,3,132,95,1,259.7,260.4,0,0,0.647,1,2019,December,0.2913,0.7873,0.496,St. Marys
6,3,CEME,EPI,-2.37,170.2711981,0,13,27,18,45,3,103,82,1,265.2,297.1,0,100,0.647,1,2019,December,0.2913,0.7873,0.496,St. Marys
7,3,CEME,EPI,-1.77,190.32842,0,0,15,-57905,-57890,0,166,58071,0,280.3,0,0,100,0.562,1,2019,December,0.1934,0.5614,0.368,St. Marys
8,3,CEME,EPI,-2,306.4243665,0,0,21,-58166,-58145,0,103,58269,0,279.4,0,0,100,0.497,1,2019,December,0.0977,0.397,0.2993,St. Marys
9,3,CEME,EPI,-2.152,192.5138528,0,13,19,27,46,5,157,125,1,274.2,276.8,0,100,0.623,1,2019,December,0.2211,0.6467,0.4256,St. Marys
4,4,CEME,EPI,-8.87,77.59403372,0,13,12,33,45,10,150,107,1,267.4,288.6,0,100,0.573,1,2019,December,0.3084,0.5477,0.2393,St. Marys
6,4,CEME,EPI,-10,28.49525435,0,12,13,26,39,5,142,111,1,276.9,282.1,0,100,0.532,1,2019,December,0.4689,0.6025,0.1336,St. Marys
8,4,CEME,EPI,-3.19,198.1234307,0,9,11,35,46,5,103,63,1,258.9,297.2,0,100,0.524,1,2019,December,0.1892,0.564,0.3748,St. Marys
9,4,CEME,EPI,-2.89,174.1025006,0,0,32,-27704,-27672,0,138,27842,0,269.1,286.5,0,100,0.655,1,2019,December,0.202,0.5536,0.3516,St. Marys
4,5,CEME,EPI,-8.01,74.32401727,0,13,16,41,57,7,148,100,1,269.9,276.9,0,100,0.534,1,2019,December,0.4401,0.7672,0.3271,St. Marys
5,5,CEME,EPI,-4.74,107.6876144,0,9,38,10,48,7,153,136,1,256.1,291.6,0,100,0.667,1,2019,December,0.3278,0.6808,0.353,St. Marys
6,5,CEME,EPI,-3.752,118.5678601,0,9,32,11,43,8,145,126,1,273.8,285.5,0,100,0.594,1,2019,December,0.3003,0.6563,0.356,St. Marys
7,5,CEME,EPI,-2.85,355.8661033,0,11,11,17,28,9,132,106,1,276.1,285.1,0,100,0.566,1,2019,December,0.1539,0.7014,0.5475,St. Marys
8,5,CEME,EPI,-6.9,122.6254407,0,2,7,46,53,1,129,82,1,272.1,281,0,100,0.443,1,2019,December,0.3073,0.684,0.3768,St. Marys
9,5,CEME,EPI,-3.36,123.4106208,0,9,16,28,44,10,149,111,1,262.3,289.7,0,100,0.506,1,2019,December,0.2674,0.5974,0.33,St. Marys
4,6,CEME,EPI,-6.33,83.05626182,0,12,15,29,44,2,106,75,1,275.6,278.5,0,100,0.479,1,2019,December,0.3835,0.702,0.3185,St. Marys
5,6,CEME,EPI,-8.77,68.22791427,0,12,20,20,40,11,149,118,1,267.2,277.7,0,100,0.6,1,2019,December,0.4783,0.8046,0.3263,St. Marys
6,6,CEME,EPI,-7.59,75.76363879,M,19,14,19,33,7,135,109,1,275.8,294.9,0,100,0,1,2019,December,0.3749,0.6589,0.284,St. Marys
7,6,CEME,EPI,-3.378,132.6370757,0,0,31,-33279,-33248,0,83,33362,0,261.5,0,0,100,0.589,1,2019,December,0.1915,0.4455,0.254,St. Marys
8,6,CEME,EPI,-4.02,148.0726086,0,0,13,-31951,-31938,0,170,32121,0,279.6,279.4,0,100,0.438,1,2019,December,0.2452,0.6082,0.363,St. Marys
9,6,CEME,EPI,-4.61,112.8454819,0,4,15,26,41,13,150,111,1,275.5,284.2,0,100,0.536,1,2019,December,0.3492,0.7432,0.394,St. Marys
1,7,CEME,EPI,-1.19,101.4208107,Missing lower video ,0,17,18,35,14,106,74,1,269.3,292.1,0,100,0.48,1,2019,December,0.4786,0.964,0.4854,St. Marys
2,7,CEME,EPI,-0.56,114.5088018,Missing lower video ,0,26,24,50,6,131,101,1,271.8,267.4,0,100,0.453,1,2019,December,0.7044,1.511,0.8066,St. Marys
3,7,CEME,EPI,-1.2,106.1336254,0,0,8,-44194,-44186,0,158,44352,0,256.7,270.5,0,100,0.524,1,2019,December,0.4565,0.941,0.4845,St. Marys
4,7,CEME,EPI,-6.98,71.96629977,0,11,12,21,33,14,125,90,1,264.3,281.7,0,100,0.556,1,2019,December,0.368,0.6328,0.2648,St. Marys
5,7,CEME,EPI,-5.69,87.08450877,0,4,19,23,42,13,92,56,1,272.4,267.3,0,100,0.602,1,2019,December,0.4077,0.7627,0.355,St. Marys
6,7,CEME,EPI,-7.09,79.50880308,0,12,24,26,50,4,139,109,1,276.2,269.8,0,100,0.597,1,2019,December,0.338,0.6067,0.2687,St. Marys
7,7,CEME,EPI,-6.2,91.05380452,0,7,10,19,29,4,120,97,1,252.5,262.8,0,100,0.559,1,2019,December,0.3141,0.6001,0.286,St. Marys
8,7,CEME,EPI,-8.78,63.36576989,0,17,11,15,26,8,106,83,1,272.2,303.2,0,100,0.564,1,2019,December,0.3494,0.5708,0.2214,St. Marys
9,7,CEME,EPI,-6.9,91.62259,0,22,20,15,35,12,129,102,1,266.8,278.2,0,100,0.747,1,2019,December,0.2931,0.5616,0.2685,St. Marys
1,8,CEME,EPI,-1.9,90.35064593,0,0,14,-44906,-44892,0,157,45063,0,271,289.7,0,100,0.586,1,2019,December,0.3793,0.722,0.3427,St. Marys
2,8,CEME,EPI,-1.52,111.3095238,Missing lower video ,0,18,29,47,17,187,141,1,278.7,275.7,0,100,0.532,1,2019,December,0.2688,0.568,0.2992,St. Marys
3,8,CEME,EPI,-2,100,0,0,24,-50850,-50826,0,149,50999,0,278.9,0,0,100,0.596,1,2019,December,0.648,1.296,0.648,St. Marys
4,8,CEME,EPI,-8.77,71.31081299,0,19,12,19,31,9,108,80,1,264.1,271.41,0,100,0.6,1,2019,December,0.3094,0.53,0.2206,St. Marys
5,8,CEME,EPI,-3.687,162.4141315,0,7,15,29,44,5,115,81,1,271,270.1,0,100,0.555,1,2019,December,0.2038,0.5348,0.331,St. Marys
6,8,CEME,EPI,-8.49,81.00460976,0,9,15,18,33,16,109,75,1,270.6,306.6,0,100,0.617,1,2019,December,0.3146,0.5694,0.2548,St. Marys
7,8,CEME,EPI,-4.59,124.1890639,0,13,20,41,61,4,187,142,1,273.9,276.2,0,100,0.691,1,2019,December,0.2698,0.6048,0.335,St. Marys
8,8,CEME,EPI,-4.65,124.6315789,0,0,64,-31744,-31680,0,139,31883,0,267.6,274.1,0,100,0.471,1,2019,December,0.2375,0.5335,0.296,St. Marys
9,8,CEME,EPI,-5.56,106.570167,0,9,18,17,35,18,126,91,1,253.3,298.4,0,100,0.676,1,2019,December,0.3012,0.6222,0.321,St. Marys
1,9,CEME,EPI,-3.15,124.5260664,0,10.5,8,47,55,5,119,67,1,282.3,301.4,0,100,0.536,1,2019,December,0.1688,0.379,0.2102,St. Marys
2,9,CEME,EPI,-1.91,105.453982,0,16.5,18,42,60,3,188,143,1,277.6,285.3,0,100,0.544,1,2019,December,0.3227,0.663,0.3403,St. Marys
3,9,CEME,EPI,-2.98,100.9497626,0,12.5,9,27,36,4,113,82,1,272.6,272.8,0,100,0.564,1,2019,December,0.4001,0.804,0.4039,St. Marys
4,9,CEME,EPI,-10.01,108.0436941,0,0,0,0,0,0,0,0,0,0,0,0,100,0.426,1,2019,December,0.2518,0.5238,0.272,St. Marys
5,9,CEME,EPI,-6.59,83.0859028,0,11,17,24,41,5,138,109,1,268.5,291.1,0,100,0.465,1,2019,December,0.3941,0.7215,0.3274,St. Marys
6,9,CEME,EPI,-5.12,142.3709586,0,5,23,26,49,19,136,91,1,272.4,296.8,0,100,0.627,1,2019,December,0.1763,0.4273,0.251,St. Marys
7,9,CEME,EPI,-8.801,99.42418426,0,17,17,23,40,10,168,135,1,263.1,263.6,0,100,0.516,1,2019,December,0.2605,0.5195,0.259,St. Marys
9,9,CEME,EPI,-7.75,86.00600601,0,10,22,13,35,19,95,63,1,268.6,270.7,0,100,0.507,1,2019,December,0.2706,0.5033,0.2327,St. Marys
1,10,CEME,EPI,-3,75.77052182,0,10,23,17,40,6,106,83,1,265.5,269.6,0,100,0.516,1,2019,December,0.3277,0.576,0.2483,St. Marys
2,10,CEME,EPI,-3.07,94.79733817,0,16,30,25,55,4,93,64,1,262.1,276.1,0,100,0.454,1,2019,December,0.4959,0.966,0.4701,St. Marys
3,10,CEME,EPI,-3.32,84.84663823,0,0,9,-74641,-74632,0,134,74775,0,269.9,264.9,0,100,0.555,1,2019,December,0.4923,0.91,0.4177,St. Marys
4,10,CEME,EPI,-3.98,48.88321634,0,13,12,13,25,8,87,66,1,284.5,288.1,0,100,0.489,1,2019,December,0.3918,0.5833,0.1915,St. Marys
5,10,CEME,EPI,-9.57,75.72192513,0,23,9,26,35,3,110,81,1,276.2,303.8,0,100,0.595,1,2019,December,0.2805,0.4929,0.2124,St. Marys
5,10,CEME,EPI,-9.57,75.72192513,0,16,12,20,32,6,114,88,1,271,279.1,0,100,0.595,1,2019,December,0.2805,0.4929,0.2124,St. Marys
6,10,CEME,EPI,-6.57,116.3649147,0,6,6,33,39,11,118,74,1,249.4,260.6,0,100,0.542,1,2019,December,0.2845,0.6155,0.331,St. Marys
7,10,CEME,EPI,-10.01,67.07430054,0,11,15,12,27,16,110,82,1,265.8,267.7,0,100,0.389,1,2019,December,0.2699,0.4509,0.181,St. Marys
8,10,CEME,EPI,-5.82,185.3573504,0,10,10,20,30,3,70,47,1,269.4,284.6,0,100,0.23,1,2019,December,0.1721,0.4911,0.319,St. Marys
9,10,CEME,EPI,-6.26,100.1364038,0,3,4,44,48,4,123,75,1,252.4,257.4,0,100,0.581,1,2019,December,0.3116,0.6236,0.312,St. Marys
1,11,CEME,EPI,-5.4,0,no lfm,0,26,-35948,-35922,0,118,36066,0,265,312,0,100,0,1,2019,December,0,-6.19,-6.19,St. Marys
1,11,CEME,EPI,-5.4,84.29945412,0,11,18,26,44,7,102,69,1,276.1,291.3,0,100,0.588,1,2019,December,0.3847,0.709,0.3243,St. Marys
2,11,CEME,EPI,-3.42,67.99722319,0,10.5,21,23,44,6,84,55,1,263.3,302.6,0,100,0.47,1,2019,December,0.2881,0.484,0.1959,St. Marys
3,11,CEME,EPI,-5.42,85.04726439,0,7,27,15,42,10,164,139,1,268.7,365.1,0,100,0.597,1,2019,December,0.3491,0.646,0.2969,St. Marys
4,11,CEME,EPI,-6.48,136.6424986,0,7,13,36,49,2,130,92,1,256.4,253.2,0,100,0.462,1,2019,December,0.1793,0.4243,0.245,St. Marys
5,11,CEME,EPI,-0.3,78.02367473,missing flam weight,23,9,26,35,3,110,81,1,276.2,303.8,0,100,0,1,2019,December,0.2915,0.5189,0.2274,St. Marys
6,11,CEME,EPI,-10,28.08059933,0,0,0,0,0,0,0,0,0,0,0,0,100,0.623,1,2019,December,0.3871,0.4958,0.1087,St. Marys
7,11,CEME,EPI,-6.67,83.18703579,0,0,0,0,0,0,0,0,0,0,0,0,100,0.606,1,2019,December,0.3703,0.6783,0.308,St. Marys
8,11,CEME,EPI,-10,65.98465473,0,1,10,15,25,1,107,91,1,279,275.6,0,100,0.296,1,2019,December,0.2933,0.4868,0.1935,St. Marys
9,11,CEME,EPI,-10.014,62.84858262,0,16,17,9,26,13,137,115,1,272.5,293.1,0,100,0.546,1,2019,December,0.4339,0.7066,0.2727,St. Marys
1,12,CEME,EPI,-3.7,272.0302376,0,7,20,23,43,4,104,77,1,277,293.9,0,100,0.47,1,2019,December,0.1852,0.689,0.5038,St. Marys
2,12,CEME,EPI,-6.01,54.09836066,0,13,27,10,37,9,133,114,1,276.2,279.1,0,100,0.581,1,2019,December,0.427,0.658,0.231,St. Marys
3,12,CEME,EPI,-4.1,143.1654676,0,11,15,19,34,10,127,98,1,297.8,360.9,0,100,0.525,1,2019,December,0.278,0.676,0.398,St. Marys
1,13,CEME,EPI,-9,184.5188285,0,7,0,45,45,2,116,69,1,278.1,273.7,0,100,0.426,1,2019,December,0.1434,0.408,0.2646,St. Marys
2,13,CEME,EPI,-4.28,318.313253,correct weight,0,29,-41320,-41291,0,177,41497,0,280.1,295.7,0,100,0.477,1,2019,December,0.2075,0.868,0.6605,St. Marys
3,13,CEME,EPI,-6.52,133.6798337,0,7,15,29,44,5,137,103,1,258.7,274.8,0,100,0.463,1,2019,December,0.2405,0.562,0.3215,St. Marys
1,14,CEME,EPI,-6.95,174.2857143,0,17,13,21,34,5,135,109,1,279,279.1,0,100,0.511,1,2019,December,0.14,0.384,0.244,St. Marys
2,14,CEME,EPI,-8.58,179.969651,0,8,15,23,38,13,179,143,1,278.3,288.9,0,100,0.589,1,2019,December,0.1318,0.369,0.2372,St. Marys
3,14,CEME,EPI,-7.21,88.4180791,0,0,12,-30494,-30482,0,161,30655,0,269.6,267.3,0,100,0.525,1,2019,December,0.354,0.667,0.313,St. Marys
3,14,CEME,EPI,-7.21,88.4180791,0,10,14,15,29,9,93,69,1,277,342.7,0,100,0.525,1,2019,December,0.354,0.667,0.313,St. Marys
2,15,CEME,EPI,-5.76,116.6612851,0,15.5,22,15,37,11,153,127,1,267.1,287.9,0,100,0.623,1,2019,December,0.3097,0.671,0.3613,St. Marys
3,15,CEME,EPI,-8.99,85.35714286,0,18,11,14,25,11,111,86,1,256.7,264.4,0,100,0.6,1,2019,December,0.28,0.519,0.239,St. Marys
2,16,CEME,EPI,-9.21,58.51851852,0,9,20,30,50,3,210,177,1,253.2,266.7,0,100,0.586,1,2019,December,0.405,0.642,0.237,St. Marys
3,16,CEME,EPI,-10,,no lfm ,0,9,-44030,-44021,0,120,44150,0,274.1,274.4,0,100,0.435,1,2019,December,0,0.406,0.406,St. Marys
2,17,CEME,EPI,-10,,no lfm ,18,7,21,28,7,123,95,1,279.3,282.9,0,100,0.444,1,2019,December,0,0.472,0.472,St. Marys
3,17,CEME,EPI,-6.71,51.12186538,0,10.5,12,16,28,16,128,96,1,269.6,359.9,0,100,0.654,1,2019,December,0.4546,0.687,0.2324,St. Marys
1,1,CEME,EPI,-0.52,234.1517857,0,4.25,11,39,50,3,100,58,1,268.2,276.9,0,100,0.584,1,2020,January,0.1792,0.5988,0.4196,St. Marys
2,1,CEME,EPI,-0.38,296.5271594,0,0,24,-39468,-39444,0,143,39611,0,267.4,285,0,100,0.698,1,2020,January,0.1123,0.4453,0.333,St. Marys
3,1,CEME,EPI,-0.5,169.1558442,0,11,23,19,42,7,106,80,1,268.8,336.1,0,100,0.552,1,2020,January,0.308,0.829,0.521,St. Marys
4,1,CEME,EPI,-0.312,182.2440853,0,0,19,-41819,-41800,0,86,41905,0,275.1,276,0,100,0.477,1,2020,January,0.2135,0.6025,0.389,St. Marys
5,1,CEME,EPI,-0.467,798.3263598,0,0,6,-43003,-42997,0,137,43140,0,277.2,283.4,0,100,0.646,1,2020,January,0.0598,0.5368,0.477,St. Marys
6,1,CEME,EPI,-0.61,218.7254131,0,0,26,-44459,-44433,0,106,44565,0,275.3,0,0,100,0.591,1,2020,January,0.2542,0.8102,0.556,St. Marys
1,2,CEME,EPI,-1.72,200.4859611,0,5,18,25,43,6,90,59,1,264.1,268.1,0,100,0.549,1,2020,January,0.1852,0.5565,0.3713,St. Marys
2,2,CEME,EPI,-1.19,249.7936726,0,8,24,23,47,4,95,68,1,267,271.1,0,100,0.503,1,2020,January,0.1818,0.6358,0.454,St. Marys
3,2,CEME,EPI,-1.49,288.5689098,0,8,15,34,49,1,98,63,1,280.2,272.1,0,100,0.476,1,2020,January,0.1702,0.6612,0.491,St. Marys
4,2,CEME,EPI,-1.783,251.2597741,0,0,22,-51266,-51244,0,105,51371,0,273.5,275,0,100,0.556,1,2020,January,0.1151,0.4043,0.2892,St. Marys
5,2,CEME,EPI,-1.53,231.4540059,temp probe turned off; no temp data,5,20,39,59,3,130,88,1,263,260.5,0,100,0.586,1,2020,January,0.1685,0.5585,0.39,St. Marys
6,2,CEME,EPI,-1.433,188.4696905,0,0,18,-52422,-52404,0,125,52547,0,267,269.3,0,100,0.533,1,2020,January,0.2359,0.6805,0.4446,St. Marys
1,3,CEME,EPI,-2.26,244.9612403,0,11.5,24,23,47,4,74,47,1,264.5,263.6,0,100,0.49,1,2020,January,0.1484,0.5118,0.3634,St. Marys
2,3,CEME,EPI,-2.39,209.0935418,0,2,20,21,41,1,82,60,1,266.2,263.4,0,100,0.507,1,2020,January,0.1727,0.5337,0.361,St. Marys
3,3,CEME,EPI,-2.51,185.7897264,0,17,9,39,48,4,124,81,1,279.6,280.7,0,100,0.513,1,2020,January,0.2083,0.5953,0.387,St. Marys
4,3,CEME,EPI,-2.08,185.3365919,0,0,20,-74550,-74530,0,112,74662,0,278,279.9,0,100,0.516,1,2020,January,0.2251,0.6422,0.4171,St. Marys
5,3,CEME,EPI,-2.1,146.6992665,0,8,22,30,52,2,118,86,1,271.9,276.8,0,100,0.534,1,2020,January,0.2659,0.6559,0.39,St. Marys
6,3,CEME,EPI,-2.36,143.8328236,0,8,15,28,43,12,130,90,1,272.5,259.6,0,100,0.471,1,2020,January,0.2943,0.7176,0.4233,St. Marys
6,3,CEME,EPI,-2.36,143.8328236,0,12.5,24,15,39,18,187,154,1,251.5,270,0,100,0.471,1,2020,January,0.2943,0.7176,0.4233,St. Marys
1,4,CEME,EPI,-3.42,150.5224898,0,0,21,-59876,-59855,0,110,59986,0,264.8,265.4,0,100,0.45,1,2020,January,0.2201,0.5514,0.3313,St. Marys
2,4,CEME,EPI,-3.64,141.6280864,0,13.5,11,32,43,9,130,89,1,275.4,274.9,0,100,0.6,1,2020,January,0.2592,0.6263,0.3671,St. Marys
3,4,CEME,EPI,-3.71,119.3153153,0,0,20,-61069,-61049,0,119,61188,0,271.7,291.9,0,100,0.499,1,2020,January,0.2775,0.6086,0.3311,St. Marys
4,4,CEME,EPI,-3.45,145.081266,0,0,18,-61598,-61580,0,97,61695,0,270.4,276.7,0,100,0.545,1,2020,January,0.2338,0.573,0.3392,St. Marys
5,4,CEME,EPI,-3.55,158.8868576,0,7.5,26,29,55,8,134,97,1,278.6,276.7,0,100,0.546,1,2020,January,0.2462,0.6373,0.3911,St. Marys
6,4,CEME,EPI,-3.34,148.1025641,0,0,22,-61825,-61803,0,100,61925,0,267.1,293.8,0,100,0.555,1,2020,January,0.2438,0.6048,0.361,St. Marys
1,5,CEME,EPI,-6,99.45337621,0,10.5,31,26,57,2,119,91,1,270.5,267.3,0,100,0.469,1,2020,January,0.311,0.6203,0.3093,St. Marys
3,5,CEME,EPI,-6.9,91.92346425,0,24,17,2,19,10,91,79,1,260.4,287.8,0,100,0.5,1,2020,January,0.2483,0.4765,0.2282,St. Marys
4,5,CEME,EPI,-5.5,122.9965157,0,16.5,11,19,30,8,116,89,1,277.8,268.2,0,100,0.523,1,2020,January,0.2296,0.512,0.2824,St. Marys
5,5,CEME,EPI,-6.1,103.2672332,0,0,22,-40796,-40774,0,127,40923,0,263.9,270.8,0,100,0.441,1,2020,January,0.2648,0.5382,0.2734,St. Marys
6,5,CEME,EPI,-8.6,62.33090531,0,15,12,22,34,7,142,113,1,268.5,279.9,0,100,0.469,1,2020,January,0.3844,0.624,0.2396,St. Marys
1,6,CEME,EPI,-7,92.95774648,0,16.5,8,22,30,5,92,65,1,262.4,270.1,0,100,0.551,1,2020,January,0.2734,0.5275,0.2541,St. Marys
2,6,CEME,EPI,-7.3,85.29784537,0,5,0,30,30,15,107,62,1,279.3,284.2,0,100,0.531,1,2020,January,0.3156,0.5848,0.2692,St. Marys
3,6,CEME,EPI,-9.1,67.59899897,0,12.5,14,21,35,6,102,75,1,275.4,330.9,0,100,0.438,1,2020,January,0.3397,0.5693,0.2296,St. Marys
4,6,CEME,EPI,-7.5,62.00540673,0,20.5,9,17,26,7,96,72,1,266.3,276.3,0,100,0.558,1,2020,January,0.4069,0.6592,0.2523,St. Marys
