"","individual","year.month","dry.wt","spp","model","lfm.NAs.imputed","RWC","max.mpa.sample","mpa","gww.gdw","gww.gdw.saturated","fresh.wt","site","sample"
"39","2020_October_ABCO_1.1","2020_October",7.6631,"ABCO","HP",182.6067812,97.4797964302619,-0.208,-0.698,1.826067812,1.873278237,8.4925,1,1.1
"40","2020_October_CADE_1.1","2020_October",7.7157,"CADE","HP",121.1375212,80.2291616926416,-0.336,-1.271,1.211375212,1.509893892,8.2865,1,1.1
"41","2020_October_CECO_1.1","2020_October",12.7393,"CECO","EPI",35.65905413,32.2208533206978,-0.486,-8.25,0.3565905413,1.106707317,12.9376,1,1.1
"42","2020_October_PIJE_1.1","2020_October",7.4009,"PIJE","HP",131.6837658,77.4420181717992,-0.059,-3.609,1.316837658,1.700417537,7.6191,1,1.1
"43","2020_October_ARPA_1.1","2020_October",12.6946,"ARPA","HP",88.39779006,65.8778247252481,-0.072,-4.008,0.8839779006,1.341844398,13.2866,1,1.1
"44","2020_October_ARPA_1.1","2020_October",7.758,"ARPA","HP",95.97623548,71.5256073081582,-0.072,-3.025,0.9597623548,1.341844398,8.1134,1,1.1
"45","2020_October_CECO_1.1","2020_October",7.4079,"CECO","HP",110.6707317,100,-0.486,-0.486,1.106707317,1.106707317,7.5894,1,1.1
"46","2020_October_ARPA_1.1","2020_October",7.7799,"ARPA","HP",71.06050532,52.9573365033343,-0.072,-5.761,0.7106050532,1.341844398,8.2074,1,1.1
"47","2020_October_ARPA_1.1","2020_October",12.9289,"ARPA","HP",76.06521441,56.6870603800069,-0.072,-4.802,0.7606521441,1.341844398,13.4841,1,1.1
"48","2020_October_QUKE_1.1","2020_October",7.3816,"QUKE","EPI",131.9553806,96.6956526722106,-0.21,-1.432,1.319553806,1.364646465,7.5827,1,1.1
"49","2020_October_QUKE_1.1","2020_October",12.5236,"QUKE","EPI",94.57466421,69.3034178709429,-0.21,-4.962,0.9457466421,1.364646465,12.8827,1,1.1
"50","2020_October_QUKE_1.1","2020_October",12.5236,"QUKE","HP",94.57466421,69.3034178709429,-0.21,-4.962,0.9457466421,1.364646465,12.8827,1,1.1
"51","2020_October_ABCO_1.1","2020_October",7.646,"ABCO","EPI",187.3278237,100,-0.208,-0.208,1.873278237,1.873278237,8.462,1,1.1
"52","2020_October_PIJE_1.1","2020_October",12.8318,"PIJE","EPI",138.7149918,81.5770178686413,-0.059,-0.059,1.387149918,1.700417537,13.8422,1,1.1
"53","2020_October_PIJE_1.1","2020_October",12.5846,"PIJE","EPI",170.0417537,100,-0.059,-1.014,1.700417537,1.700417537,13.2362,1,1.1
"54","2020_October_ABCO_1.1","2020_October",7.6631,"ABCO","EPI",182.6067812,97.4797964302619,-0.208,-0.698,1.826067812,1.873278237,8.4925,1,1.1
"55","2020_October_QUKE_1.1","2020_October",12.3839,"QUKE","EPI",72.09042702,52.8271818884608,-0.21,-6.166,0.7209042702,1.364646465,12.6422,1,1.1
"56","2020_October_PIJE_1.1","2020_October",12.5034,"PIJE","EPI",149.3767591,87.8471056958994,-0.059,-2.039,1.493767591,1.700417537,12.8749,1,1.1
"57","2020_October_QUKE_1.1","2020_October",7.3309,"QUKE","EPI",52.60586319,38.5490781233219,-0.21,-7.126,0.5260586319,1.364646465,7.3955,1,1.1
"58","2020_October_ARPA_1.1","2020_October",7.7799,"ARPA","EPI",71.06050532,52.9573365033343,-0.072,-5.761,0.7106050532,1.341844398,8.2074,1,1.1
"59","2020_October_PIJE_1.1","2020_October",7.2952,"PIJE","HP",137.5366569,80.8840498920354,-0.059,-2.891,1.375366569,1.700417537,7.5297,1,1.1
"60","2020_October_ABCO_1.1","2020_October",7.6714,"ABCO","EPI",167.4635332,89.3959743365128,-0.208,-0.987,1.674635332,1.873278237,8.498,1,1.1
"61","2020_October_CECO_1.1","2020_October",12.4561,"CECO","EPI",87.14517437,78.7427470943521,-0.486,-2.846,0.8714517437,1.106707317,12.671,1,1.1
"62","2020_October_ARPA_1.1","2020_October",7.758,"ARPA","EPI",95.97623548,71.5256073081582,-0.072,-3.025,0.9597623548,1.341844398,8.1134,1,1.1
"63","2020_October_ARPA_1.1","2020_October",12.6946,"ARPA","EPI",88.39779006,65.8778247252481,-0.072,-4.008,0.8839779006,1.341844398,13.2866,1,1.1
"64","2020_October_CECO_1.1","2020_October",7.4079,"CECO","EPI",110.6707317,100,-0.486,-0.486,1.106707317,1.106707317,7.5894,1,1.1
"65","2020_October_ARPA_1.1","2020_October",7.6286,"ARPA","EPI",99.60955443,74.2333124306116,-0.072,-1.674,0.9960955443,1.341844398,8.0623,1,1.1
"66","2020_October_QUKE_1.1","2020_October",7.2913,"QUKE","EPI",136.4646465,100,-0.21,-0.21,1.364646465,1.364646465,7.4264,1,1.1
"67","2020_October_QUKE_1.1","2020_October",7.2913,"QUKE","HP",136.4646465,100,-0.21,-0.21,1.364646465,1.364646465,7.4264,1,1.1
"68","2020_October_CECO_1.1","2020_October",7.3798,"CECO","EPI",101.8812463,92.057985643552,-0.486,-1.005,1.018812463,1.106707317,7.5531,1,1.1
"69","2020_October_QUKE_1.1","2020_October",7.3994,"QUKE","EPI",122.8304406,90.0089830958526,-0.21,-3.001,1.228304406,1.364646465,7.5834,1,1.1
"70","2020_October_QUKE_1.1","2020_October",7.3994,"QUKE","HP",122.8304406,90.0089830958526,-0.21,-3.001,1.228304406,1.364646465,7.5834,1,1.1
"71","2020_October_ARPA_1.1","2020_October",7.7536,"ARPA","HP",110.3286385,82.2216336442908,-0.072,-2.051,1.103286385,1.341844398,8.3881,1,1.1
"72","2020_October_CECO_1.1","2020_October",7.4933,"CECO","EPI",67.19626168,60.7172832851163,-0.486,-4.418,0.6719626168,1.106707317,7.709,1,1.1
"73","2020_October_CECO_1.1","2020_October",7.4933,"CECO","HP",67.19626168,60.7172832851163,-0.486,-4.418,0.6719626168,1.106707317,7.709,1,1.1
"74","2020_October_ABCO_1.1","2020_October",7.8193,"ABCO","EPI",143.9111262,76.8231453062037,-0.208,-2.187,1.439111262,1.873278237,8.6678,1,1.1
"75","2020_October_ARPA_1.1","2020_October",7.5839,"ARPA","HP",134.1844398,100,-0.072,-3.432,1.341844398,1.341844398,8.0306,1,1.1
"76","2020_October_ARPA_1.2","2020_October",7.5286,"ARPA","HP",87.20588235,52.0217085607296,-0.109,-4.139,0.8720588235,1.676336375,7.8844,1,1.2
"77","2020_October_CECO_1.2","2020_October",7.3915,"CECO","HP",124.6845858,100,-0.152,-0.152,1.246845858,1.246845858,7.6188,1,1.2
"78","2020_October_PIJE_1.2","2020_October",12.401,"PIJE","EPI",141.1518325,80.9273769303591,-0.512,-2.906,1.411518325,1.744179014,12.8054,1,1.2
"79","2020_October_QUKE_1.2","2020_October",7.296,"QUKE","HP",93.53233831,57.9887485693457,-0.106,-1.457,0.9353233831,1.612939417,7.4088,1,1.2
"80","2020_October_ARPA_1.2","2020_October",12.6388,"ARPA","HP",82.86189684,49.4303518528613,-0.109,-4.9,0.8286189684,1.676336375,13.0372,1,1.2
"81","2020_October_PIJE_1.2","2020_October",7.4244,"PIJE","HP",133.1919406,76.3636871736837,-0.512,-3.333,1.331919406,1.744179014,7.6756,1,1.2
"82","2020_October_PIJE_1.2","2020_October",7.5225,"PIJE","HP",122.9087452,70.4679647062879,-0.512,-3.716,1.229087452,1.744179014,7.9104,1,1.2
"83","2020_October_QUKE_1.2","2020_October",12.3621,"QUKE","EPI",161.2939417,100,-0.106,-0.106,1.612939417,1.612939417,12.7934,1,1.2
"84","2020_October_PIJE_1.2","2020_October",12.6004,"PIJE","HP",146.9850587,84.2717734362099,-0.512,-1.786,1.469850587,1.744179014,13.1513,1,1.2
"85","2020_October_QUKE_1.2","2020_October",12.2956,"QUKE","HP",138.9121339,86.1235905303689,-0.106,-1.003,1.389121339,1.612939417,12.6276,1,1.2
"86","2020_October_QUKE_1.2","2020_October",7.5955,"QUKE","HP",102.0126509,63.2464244005762,-0.106,-3.443,1.020126509,1.612939417,7.9503,1,1.2
"87","2020_October_ARPA_1.2","2020_October",7.5784,"ARPA","EPI",167.6336375,100,-0.109,-3.538,1.676336375,1.676336375,8.0927,1,1.2
"88","2020_October_CADE_1.2","2020_October",12.7962,"CADE","HP",102.0672334,63.2094827951371,-0.318,-2.471,1.020672334,1.614745587,13.3245,1,1.2
