date,sample,fresh.weight,dry.weight,water.potential,spp,fresh.weight.saturated.excel,RWD.excel,TLP.excel,RWC.at.tlp.excel,Po,SWC,LFM.at.tlp.excel,mean.TLP,mean.RWC,mean.Po,mean.SWC,mean.LFM.at.tlp
09.11.2020,3,0.3904,0.2003,-1.135,CEME,0.4049,7.1,-2.575706495,84.80468062,-1.500844846,0.404416092,86.42036945,-2.784243642,84.19278907,-1.416447499,0.510411545,90.33494628
09.11.2020,3,0.3888,0.2003,-1.196,CEME,0.4049,7.88,-2.575706495,84.80468062,-1.500844846,0.404416092,86.42036945,-2.784243642,84.19278907,-1.416447499,0.510411545,90.33494628
09.11.2020,3,0.3866,0.2003,-1.274,CEME,0.4049,8.95,-2.575706495,84.80468062,-1.500844846,0.404416092,86.42036945,-2.784243642,84.19278907,-1.416447499,0.510411545,90.33494628
09.11.2020,3,0.3843,0.2003,-1.59,CEME,0.4049,10.08,-2.575706495,84.80468062,-1.500844846,0.404416092,86.42036945,-2.784243642,84.19278907,-1.416447499,0.510411545,90.33494628
09.11.2020,3,0.3823,0.2003,-1.702,CEME,0.4049,11.06,-2.575706495,84.80468062,-1.500844846,0.404416092,86.42036945,-2.784243642,84.19278907,-1.416447499,0.510411545,90.33494628
09.11.2020,3,0.3813,0.2003,-1.709,CEME,0.4049,11.54,-2.575706495,84.80468062,-1.500844846,0.404416092,86.42036945,-2.784243642,84.19278907,-1.416447499,0.510411545,90.33494628
09.11.2020,3,0.3831,0.2003,-1.751,CEME,0.4049,10.67,-2.575706495,84.80468062,-1.500844846,0.404416092,86.42036945,-2.784243642,84.19278907,-1.416447499,0.510411545,90.33494628
09.11.2020,3,0.3803,0.2003,-1.82,CEME,0.4049,12.03,-2.575706495,84.80468062,-1.500844846,0.404416092,86.42036945,-2.784243642,84.19278907,-1.416447499,0.510411545,90.33494628
09.11.2020,3,0.376,0.2003,-2.17,CEME,0.4049,14.14,-2.575706495,84.80468062,-1.500844846,0.404416092,86.42036945,-2.784243642,84.19278907,-1.416447499,0.510411545,90.33494628
09.11.2020,3,0.379,0.2003,-2.201,CEME,0.4049,12.67,-2.575706495,84.80468062,-1.500844846,0.404416092,86.42036945,-2.784243642,84.19278907,-1.416447499,0.510411545,90.33494628
09.11.2020,3,0.3773,0.2003,-2.287,CEME,0.4049,13.5,-2.575706495,84.80468062,-1.500844846,0.404416092,86.42036945,-2.784243642,84.19278907,-1.416447499,0.510411545,90.33494628
09.11.2020,3,0.3753,0.2003,-2.386,CEME,0.4049,14.48,-2.575706495,84.80468062,-1.500844846,0.404416092,86.42036945,-2.784243642,84.19278907,-1.416447499,0.510411545,90.33494628
09.11.2020,3,0.3738,0.2003,-2.432,CEME,0.4049,15.21,-2.575706495,84.80468062,-1.500844846,0.404416092,86.42036945,-2.784243642,84.19278907,-1.416447499,0.510411545,90.33494628
09.11.2020,3,0.3734,0.2003,-2.563,CEME,0.4049,15.41,-2.575706495,84.80468062,-1.500844846,0.404416092,86.42036945,-2.784243642,84.19278907,-1.416447499,0.510411545,90.33494628
09.11.2020,3,0.3713,0.2003,-2.671,CEME,0.4049,16.43,-2.575706495,84.80468062,-1.500844846,0.404416092,86.42036945,-2.784243642,84.19278907,-1.416447499,0.510411545,90.33494628
09.11.2020,3,0.3708,0.2003,-2.7,CEME,0.4049,16.68,-2.575706495,84.80468062,-1.500844846,0.404416092,86.42036945,-2.784243642,84.19278907,-1.416447499,0.510411545,90.33494628
09.11.2020,3,0.3722,0.2003,-2.701,CEME,0.4049,15.99,-2.575706495,84.80468062,-1.500844846,0.404416092,86.42036945,-2.784243642,84.19278907,-1.416447499,0.510411545,90.33494628
09.11.2020,3,0.3666,0.2003,-2.902,CEME,0.4049,18.73,-2.575706495,84.80468062,-1.500844846,0.404416092,86.42036945,-2.784243642,84.19278907,-1.416447499,0.510411545,90.33494628
09.11.2020,3,0.3698,0.2003,-2.935,CEME,0.4049,17.17,-2.575706495,84.80468062,-1.500844846,0.404416092,86.42036945,-2.784243642,84.19278907,-1.416447499,0.510411545,90.33494628
09.11.2020,3,0.3678,0.2003,-3.022,CEME,0.4049,18.14,-2.575706495,84.80468062,-1.500844846,0.404416092,86.42036945,-2.784243642,84.19278907,-1.416447499,0.510411545,90.33494628
09.11.2020,4,0.6343,0.3155,-0.465,CEME,0.6458,3.48,-2.829031293,85.01451496,-1.300536576,0.645796538,89.00158479,-2.784243642,84.19278907,-1.416447499,0.510411545,90.33494628
09.11.2020,4,0.6311,0.3155,-0.816,CEME,0.6458,4.45,-2.829031293,85.01451496,-1.300536576,0.645796538,89.00158479,-2.784243642,84.19278907,-1.416447499,0.510411545,90.33494628
09.11.2020,4,0.6262,0.3155,-0.844,CEME,0.6458,5.94,-2.829031293,85.01451496,-1.300536576,0.645796538,89.00158479,-2.784243642,84.19278907,-1.416447499,0.510411545,90.33494628
09.11.2020,4,0.6284,0.3155,-0.926,CEME,0.6458,5.27,-2.829031293,85.01451496,-1.300536576,0.645796538,89.00158479,-2.784243642,84.19278907,-1.416447499,0.510411545,90.33494628
09.11.2020,4,0.6202,0.3155,-1.243,CEME,0.6458,7.75,-2.829031293,85.01451496,-1.300536576,0.645796538,89.00158479,-2.784243642,84.19278907,-1.416447499,0.510411545,90.33494628
09.11.2020,4,0.6243,0.3155,-1.279,CEME,0.6458,6.51,-2.829031293,85.01451496,-1.300536576,0.645796538,89.00158479,-2.784243642,84.19278907,-1.416447499,0.510411545,90.33494628
09.11.2020,4,0.6178,0.3155,-1.742,CEME,0.6458,8.48,-2.829031293,85.01451496,-1.300536576,0.645796538,89.00158479,-2.784243642,84.19278907,-1.416447499,0.510411545,90.33494628
09.11.2020,4,0.6158,0.3155,-1.78,CEME,0.6458,9.09,-2.829031293,85.01451496,-1.300536576,0.645796538,89.00158479,-2.784243642,84.19278907,-1.416447499,0.510411545,90.33494628
09.11.2020,4,0.6142,0.3155,-2.033,CEME,0.6458,9.57,-2.829031293,85.01451496,-1.300536576,0.645796538,89.00158479,-2.784243642,84.19278907,-1.416447499,0.510411545,90.33494628
09.11.2020,4,0.6116,0.3155,-2.124,CEME,0.6458,10.36,-2.829031293,85.01451496,-1.300536576,0.645796538,89.00158479,-2.784243642,84.19278907,-1.416447499,0.510411545,90.33494628
09.11.2020,4,0.6099,0.3155,-2.191,CEME,0.6458,10.87,-2.829031293,85.01451496,-1.300536576,0.645796538,89.00158479,-2.784243642,84.19278907,-1.416447499,0.510411545,90.33494628
09.11.2020,4,0.6083,0.3155,-2.251,CEME,0.6458,11.36,-2.829031293,85.01451496,-1.300536576,0.645796538,89.00158479,-2.784243642,84.19278907,-1.416447499,0.510411545,90.33494628
