date,site,pod,bottle #,spp,new/old,stem/leaves,wet weight,dry weight,bottle weight,lfm,lfm_both
10/17/21,2,2,22,CADE,old,both,85.2822,75.7305,67.128,211.0340017,209.791383
10/17/21,2,3,7,CADE,old,both,95.353,80.8769,66.8941,203.5279057,206.1109906
10/17/21,2,4,12,CADE,old,both,88.7837,77.3302,66.8767,209.566174,206.1109906
10/17/21,2,5,128,CADE,old,both,95.2625,80.5753,67.2904,210.5555932,210.4509622
10/16/21,1,1,,CECO,old,l,16.5981,14.2901,12.1879,209.7897441,210.4509622
10/16/21,1,1,1,CECO,old,s,71.2848,69.2715,66.9719,187.5500087,188.3298369
10/16/21,1,2,,CECO,old,l,13.3112,12.714,12.0582,191.0643489,188.3298369
10/16/21,1,2,,CECO,old,s,13.6902,12.9682,12.149,188.1347656,207.9628914
10/16/21,1,3,,CECO,old,l,13.8275,12.8737,12.1407,230.1227831,207.9628914
10/16/21,1,3,,CECO,old,s,13.633,13.0281,12.0949,164.8199743,185.447869
10/16/21,1,4,,CECO,old,l,15.1516,13.6855,12.195,198.3629654,185.447869
10/16/21,1,4,,CECO,old,s,14.18,13.1973,12.1105,190.4214207,200.0620806
10/16/21,1,5,,CECO,old,l,13.046,13.0181,12.1969,103.3974671,199.1315136
10/16/21,1,5,,CECO,old,s,13.7469,12.9528,12.0766,190.6299932,198.6644251
10/16/21,1,6,,CECO,old,l,15.0374,13.6225,12.2316,201.7255015,196.5103749
10/16/21,1,6,,CECO,old,s,13.7645,13.0425,12.2135,187.092883,201.320608
10/17/21,2,1,,CECO,old,l,13.4483,12.8252,12.1389,190.7911992,203.2644839
10/17/21,2,1,,CECO,old,s,12.5782,12.3775,12.1232,178.9225324,209.1636227
10/17/21,2,2,,CECO,old,l,15.1242,13.7327,12.3192,198.4435798,211.0340017
10/17/21,2,2,,CECO,old,s,14.3175,13.2993,12.1252,186.7217443,203.5279057
10/17/21,2,3,11,CECO,old,l,73.1773,70.0567,66.9994,202.0704543,209.566174
10/17/21,2,3,17,CECO,old,s,73.2622,70.5204,67.1039,180.2517196,210.5555932
10/17/21,2,4,28,CECO,old,l,75.2951,70.6948,66.149,201.1989089,245.0247798
10/17/21,2,4,29,CECO,old,s,73.9186,70.7503,67.1141,187.1321709,211.5251153
10/17/21,2,5,131,CECO,old,l,73.2445,70.4981,67.9176,206.4289866,227.7818792
10/17/21,2,5,125,CECO,old,s,73.8343,71.0991,67.9937,188.0788304,199.5935557
10/16/21,1,1,99,PIJE,new,l,76.1672,70.5195,66.6252,245.0247798,238.1039872
10/16/21,1,1,101,PIJE,old,l,83.4859,74.9046,67.2101,211.5251153,216.7717689
10/16/21,1,2,98,PIJE,new,l,74.0037,70.1958,67.2158,227.7818792,225.2084087
10/16/21,1,2,102,PIJE,old,l,98.1558,82.5715,66.9236,199.5935557,196.1500666
10/16/21,1,3,96,PIJE,new,l,86.8049,75.2293,66.8475,238.1039872,246.5459481
10/16/21,1,3,103,PIJE,old,l,74.4816,70.8152,67.6754,216.7717689,225.5796141
10/16/21,1,4,94,PIJE,new,l,81.8989,73.7658,67.27015,225.2084087,228.7328916
10/16/21,1,4,104,PIJE,old,l,85.6745,76.8685,67.7099,196.1500666,199.2672983
10/16/21,1,5,91,PIJE,new,l,84.6439,74.4953,67.5701,246.5459481,201.5393922
10/16/21,1,5,105,PIJE,old,l,89.1218,76.9888,67.3272,225.5796141,194.4428714
10/16/21,1,6,89,PIJE,new,l,76.068,70.4528,66.0909,228.7328916,204.1753552
10/16/21,1,6,106,PIJE,old,l,88.0946,78.0148,67.8606,199.2672983,208.1937779
10/16/21,1,1,Q1,QUKE,old,l,79.4441,73.0657,66.784,201.5393922,201.9237184
10/16/21,1,2,Q2,QUKE,old,l,87.8986,77.892,67.2966,194.4428714,194.4428714
10/16/21,1,3,Q3,QUKE,old,l,84.3095,75.7666,67.5661,204.1753552,204.1753552
10/16/21,1,4,Q4,QUKE,old,l,79.3544,72.9067,66.9473,208.1937779,208.1937779
10/16/21,1,6,Q6,QUKE,old,l,74.4816,70.8152,67.218,201.9237184,201.9237184
