,individual,year.month,dry.wt,spp,model,lfm.NAs.imputed,RWC,max.mpa.sample,mpa,gww.gdw,gww.gdw.saturated,fresh.wt,site,sample
36,2020_September_ABCO_1.5,2020_September,7.5315,ABCO,HP,205.0323019,100,-0.16,-1.201,2.050323019,2.050323019,8.1345,1,1.5
37,2020_September_ABCO_1.5,2020_September,7.7209,ABCO,HP,140.3555219,68.45532172,-0.16,-1.85,1.403555219,2.050323019,8.4631,1,1.5
38,2020_September_ABCO_1.5,2020_September,6.6467,ABCO,HP,116.0660009,56.60864158,-0.16,-2.72,1.160660009,2.050323019,7.1813,1,1.5
39,2020_September_ABCO_1.5,2020_September,6.6548,ABCO,HP,128.9834322,62.90883485,-0.16,-3.53,1.289834322,2.050323019,7.2854,1,1.5
40,2020_September_ABCO_1.5,2020_September,7.6072,ABCO,HP,106.3474692,51.86864129,-0.16,-2.85,1.063474692,2.050323019,7.9959,1,1.5
41,2020_September_ABCO_1.5,2020_September,7.4276,ABCO,HP,94.81403876,46.24346402,-0.16,-4.11,0.948140388,2.050323019,7.6086,1,1.5
42,2020_September_ABCO_1.5,2020_September,7.6574,ABCO,HP,103.1875942,50.32748169,-0.16,-5,1.031875942,2.050323019,8.1365,1,1.5
43,2020_September_ABCO_1.6,2020_September,8.1299,ABCO,HP,184.3627111,92.82713565,-0.76,-0.76,1.843627111,1.986086394,9.7239,1,1.6
44,2020_September_ABCO_1.6,2020_September,7.8739,ABCO,HP,198.6086394,100,-0.76,-1.74,1.986086394,1.986086394,9.1015,1,1.6
45,2020_September_ABCO_1.6,2020_September,7.8852,ABCO,HP,144.6277719,72.82048371,-0.76,-2.1,1.446277719,1.986086394,8.9809,1,1.6
46,2020_September_ABCO_1.6,2020_September,6.7118,ABCO,HP,134.08354,67.51143374,-0.76,-2.57,1.3408354,1.986086394,7.4148,1,1.6
47,2020_September_ABCO_1.6,2020_September,6.8666,ABCO,HP,193.2124789,97.28301824,-0.76,-2.47,1.932124789,1.986086394,8.2415,1,1.6
48,2020_September_ABCO_1.6,2020_September,7.482,ABCO,HP,142.962963,71.98224782,-0.76,-3.59,1.42962963,1.986086394,7.7908,1,1.6
49,2020_September_ABCO_1.6,2020_September,7.4433,ABCO,HP,137.5931842,69.27854932,-0.76,-3.57,1.375931842,1.986086394,7.7017,1,1.6
50,2020_September_ABCO_1.6,2020_September,8.2842,ABCO,HP,64.02977324,32.23916816,-0.76,-2.98,0.640297732,1.986086394,9.024,1,1.6
51,2020_September_ABCO_2.1,2020_September,8.794,ABCO,HP,200.5041275,100,-0.507,-0.507,2.005041275,2.005041275,11.9758,2,2.1
52,2020_September_ABCO_2.1,2020_September,7.9967,ABCO,HP,195.2304823,97.36980716,-0.507,-2.15,1.952304823,2.005041275,9.4621,2,2.1
53,2020_September_ABCO_2.1,2020_September,7.6975,ABCO,HP,127.5502008,63.61475067,-0.507,-2.48,1.275502008,2.005041275,8.3327,2,2.1
54,2020_September_ABCO_2.1,2020_September,7.0716,ABCO,HP,146.6471647,73.13922488,-0.507,-2.63,1.466471647,2.005041275,8.375,2,2.1
55,2020_September_ABCO_2.1,2020_September,6.808,ABCO,HP,180.2199504,89.8834117,-0.507,-2.81,1.802199504,2.005041275,7.9715,2,2.1
56,2020_September_ABCO_2.1,2020_September,7.6794,ABCO,HP,164.8465608,82.21604356,-0.507,-3.01,1.648465608,2.005041275,8.4583,2,2.1
57,2020_September_ABCO_2.1,2020_September,7.6223,ABCO,HP,130.7855626,65.22836424,-0.507,-3.49,1.307855626,2.005041275,8.1151,2,2.1
58,2020_September_ABCO_2.1,2020_September,7.7293,ABCO,HP,122.6068861,61.14930781,-0.507,-4.22,1.226068861,2.005041275,8.3774,2,2.1
59,2020_September_ABCO_2.1,2020_September,6.8434,ABCO,HP,96.00725953,47.88293425,-0.507,-4.15,0.960072595,2.005041275,7.4782,2,2.1
60,2020_September_ABCO_2.2,2020_September,7.7336,ABCO,HP,204.3324143,100,-0.376,-0.376,2.043324143,2.043324143,8.7712,2,2.2
61,2020_September_ABCO_2.2,2020_September,8.5651,ABCO,HP,165.5278671,81.00910845,-0.376,-1.85,1.655278671,2.043324143,9.8006,2,2.2
62,2020_September_ABCO_2.2,2020_September,7.7317,ABCO,HP,171.639314,84.00004208,-0.376,-2.25,1.71639314,2.043324143,8.6625,2,2.2
63,2020_September_ABCO_2.2,2020_September,6.7606,ABCO,HP,134.8829649,66.01153584,-0.376,-2.82,1.348829649,2.043324143,7.5904,2,2.2
64,2020_September_ABCO_2.2,2020_September,6.6953,ABCO,HP,156.6975735,76.68757502,-0.376,-3.23,1.566975735,2.043324143,7.4896,2,2.2
65,2020_September_ABCO_2.2,2020_September,7.6984,ABCO,HP,130.9961608,64.10933931,-0.376,-2.58,1.309961608,2.043324143,8.3467,2,2.2
66,2020_September_ABCO_2.2,2020_September,7.5837,ABCO,HP,131.8219983,64.51350303,-0.376,-3.57,1.318219983,2.043324143,8.0547,2,2.2
67,2020_September_ABCO_2.2,2020_September,7.7323,ABCO,HP,122.1341688,59.77229272,-0.376,-6.56,1.221341688,2.043324143,8.395,2,2.2
68,2020_September_ABCO_2.2,2020_September,7.0946,ABCO,HP,94.69633066,46.34425281,-0.376,-3.67,0.946963307,2.043324143,7.9927,2,2.2
69,2020_September_ABCO_2.3,2020_September,7.8074,ABCO,HP,204.6369576,99.94571889,-0.35,-0.35,2.046369576,2.047480971,9.1873,2,2.3
70,2020_September_ABCO_2.3,2020_September,7.8117,ABCO,HP,181.6336498,88.71078775,-0.35,-1.45,1.816336498,2.047480971,9.1802,2,2.3
71,2020_September_ABCO_2.3,2020_September,7.7336,ABCO,HP,204.7480971,100,-0.35,-1.87,2.047480971,2.047480971,8.8634,2,2.3
72,2020_September_ABCO_2.3,2020_September,6.4986,ABCO,HP,179.6232339,87.7288905,-0.35,-2.83,1.796232339,2.047480971,7.0707,2,2.3
73,2020_September_ABCO_2.3,2020_September,6.6468,ABCO,HP,202.7293578,99.01403758,-0.35,-2.24,2.027293578,2.047480971,7.5307,2,2.3
74,2020_September_ABCO_2.3,2020_September,7.6414,ABCO,HP,181.5919108,88.69040219,-0.35,-2.63,1.815919108,2.047480971,8.3418,2,2.3
75,2020_September_ABCO_2.3,2020_September,7.6227,ABCO,HP,132.9230027,64.92026279,-0.35,-2.94,1.329230027,2.047480971,8.1734,2,2.3
76,2020_September_ABCO_2.3,2020_September,8.0372,ABCO,HP,118.0126404,57.63796688,-0.35,-3.3,1.180126404,2.047480971,9.0455,2,2.3
77,2020_September_ABCO_2.5,2020_September,7.8817,ABCO,HP,199.827175,100,-0.58,-0.58,1.99827175,1.99827175,9.4272,2,2.5
78,2020_September_ABCO_2.5,2020_September,8.1155,ABCO,HP,190.20761,95.18605763,-0.58,-1.04,1.9020761,1.99827175,9.9945,2,2.5
79,2020_September_ABCO_2.5,2020_September,7.6611,ABCO,HP,191.5220734,95.84385776,-0.58,-2.27,1.915220734,1.99827175,8.5331,2,2.5
80,2020_September_ABCO_2.5,2020_September,6.7862,ABCO,HP,183.1168831,91.6376279,-0.58,-2.35,1.831168831,1.99827175,7.8578,2,2.5
81,2020_September_ABCO_2.5,2020_September,6.9599,ABCO,HP,182.2355289,91.19656967,-0.58,-2.59,1.822355289,1.99827175,8.4207,2,2.5
82,2020_September_ABCO_2.5,2020_September,7.4884,ABCO,HP,132.3705926,66.24253812,-0.58,-3.04,1.323705926,1.99827175,7.8413,2,2.5
83,2020_September_ABCO_2.5,2020_September,7.5976,ABCO,HP,82.19792543,41.13450806,-0.58,-3.01,0.821979254,1.99827175,7.8908,2,2.5
84,2020_September_ABCO_2.5,2020_September,7.6089,ABCO,HP,68.47532531,34.26727386,-0.58,-3.9,0.684753253,1.99827175,7.8878,2,2.5
85,2020_September_ARPA_1.1,2020_September,8.1391,ARPA,HP,157.5600044,100,-0.41,-0.41,1.575600044,1.575600044,9.5636,1,1.1
86,2020_September_ARPA_1.1,2020_September,7.9381,ARPA,HP,109.2073083,69.31156718,-0.41,-3.35,1.092073083,1.575600044,8.6972,1,1.1
87,2020_September_ARPA_1.1,2020_September,8.1423,ARPA,HP,150.6759752,95.63085237,-0.41,-2.48,1.506759752,1.575600044,9.502,1,1.1
88,2020_September_ARPA_1.1,2020_September,7.9507,ARPA,HP,120.0689655,76.20523112,-0.41,-2.9,1.200689655,1.575600044,8.8212,1,1.1
89,2020_September_ARPA_1.1,2020_September,8.8657,ARPA,HP,126.9057003,80.54436199,-0.41,-2.78,1.269057003,1.575600044,10.1859,1,1.1
90,2020_September_ARPA_1.1,2020_September,7.974,ARPA,HP,97.76691332,62.05059063,-0.41,-3.72,0.977669133,1.575600044,8.7139,1,1.1
91,2020_September_ARPA_1.1,2020_September,6.7437,ARPA,HP,88.32599119,56.05863717,-0.41,-4.22,0.883259912,1.575600044,7.265,1,1.1
92,2020_September_ARPA_1.1,2020_September,8.1723,ARPA,HP,82.15291541,52.14071663,-0.41,-4.63,0.821529154,1.575600044,8.9599,1,1.1
93,2020_September_ARPA_1.1,2020_September,7.8635,ARPA,HP,83.25486503,52.84010073,-0.41,-4.63,0.83254865,1.575600044,8.394,1,1.1
94,2020_September_ARPA_1.1,2020_September,8.1523,ARPA,HP,77.78140649,49.36621244,-0.41,-2.16,0.777814065,1.575600044,8.8668,1,1.1
95,2020_September_ARPA_1.2,2020_September,8.0071,ARPA,HP,150.4260837,91.31935208,-0.18,-0.18,1.504260837,1.647253077,9.2251,1,1.2
96,2020_September_ARPA_1.2,2020_September,7.9144,ARPA,HP,164.7253077,100,-0.18,-0.31,1.647253077,1.647253077,9.0118,1,1.2
97,2020_September_ARPA_1.2,2020_September,8.039,ARPA,HP,147.8250478,89.74033794,-0.18,-2.25,1.478250478,1.647253077,9.276,1,1.2
98,2020_September_ARPA_1.2,2020_September,8.0538,ARPA,HP,140.4229789,85.24675465,-0.18,-2.35,1.404229789,1.647253077,8.99,1,1.2
