sample,site,round,spp,model,year,month,video.notes,ambient.temp,ambient.humidity,fh,ignition,glow,ignition.temp,ignition.temp.higher,temp.max,temp.max.higher,video.notes,sample.length,mpa,bottle.wt,fresh.wt,dry.wt,sample.wt,prop.new,prop.new.lfm,lfm.notes,lfm,ttfg,gti,tti,fd,gd,pfg,start.temp,temp.start.higher,ttms
1.3,1,5,ABCO,HP,2020,September,,25,52,30,1,0,255.3,226.9,260.1,276.5,,10,-3.14,6.149,7.5378,6.665,2.7901,50,45,,169.1472868,Ê95,Ê0,Ê95,Ê19,Ê87,Ê68,249,220.1,98
1.3,1,6,ABCO,HP,2020,September,,24,52,,1,1,278.6,230.4,278.5,261.1,,10,-3.03,7.2333,9.0688,7.864,4.4343,55,100,,191.0258443,Ê111,Ê2,Ê113,Ê17,Ê84,Ê65,282.1,238.6,116
1.3,1,7,ABCO,HP,2020,September,,22,61,,1,1,262.9,213.7,291.3,241.6,,10,-2.84,7.2533,8.6213,7.8285,3.5169,70,50,,137.8303199,Ê54,Ê4,Ê58,Ê23,Ê97,Ê70,261.4,220,64
1.3,1,8,ABCO,HP,2020,September,,23,57,,1,1,252.4,210.2,283.6,253.9,,10,-3.78,7.207,8.7817,7.3407,4.0105,75,95,,1077.786088,Ê83,Ê1,Ê84,Ê12,Ê81,Ê68,248.6,212,90
1.3,1,9,ABCO,HP,2020,September,,24,55,,1,1,263.2,208.1,290.6,240.4,,10,-3.67,6.224,7.4389,6.6653,4.7807,95,95,,175.3002493,Ê72,Ê5,Ê77,Ê14,Ê73,Ê54,257.4,214.7,83
1.4,1,1,ABCO,HP,2020,September,Missing B 0038,23,60,,1,1,298.5,230.4,326.2,242.7,,10,-0.2,7.2647,9.5368,7.9639,2.6395,100,100,,224.9570938,Ê59,Ê6,Ê65,Ê6,Ê24,Ê12,282.6,241.6,68
1.4,1,2,ABCO,HP,2020,September,,23,63,36,1,0,246.9,222.8,253,244.3,,10,-1.64,7.275,8.4121,7.6335,2.1427,40,100,,217.1827057,Ê113,Ê0,Ê113,Ê11,Ê68,Ê57,241.7,221.5,116
1.4,1,3,ABCO,HP,2020,September,,26,48,23,1,1,263.5,231.5,270.1,263.9,,10,-1.97,7.1384,9.6283,8.1699,4.2229,75,0,,141.3863306,Ê75,Ê6,Ê81,Ê19,Ê92,Ê67,262.8,236.9,83
1.4,1,4,ABCO,HP,2020,September,,23,57,26,1,0,283.7,223.7,292.8,250.5,,10,-2.67,6.1955,7.3839,6.6627,2.289,30,50,,154.3664384,Ê82,Ê0,Ê82,Ê16,Ê72,Ê56,290.8,226.1,85
1.4,1,5,ABCO,HP,2020,September,,26,52,20,1,1,261.7,224.1,268.8,261.2,,10,-2.29,6.1622,7.3642,6.6273,2.9608,45,50,,158.4390454,Ê56,Ê21,Ê77,Ê23,Ê103,Ê59,263.1,229.1,83
1.4,1,6,ABCO,HP,2020,September,,25,52,,1,1,278.4,242.2,300.5,319.8,,10,-2.49,7.2844,9.0447,7.9188,4.3398,50,45,,177.4747793,Ê105,Ê11,Ê116,Ê23,Ê119,Ê85,259.7,220.8,133
1.4,1,7,ABCO,HP,2020,September,,22,60,,1,0,277.3,222,303.1,255.1,,10,-2.61,7.274,8.8835,7.9308,3.1261,40,35,,145.0517661,Ê75,Ê0,Ê75,Ê17,Ê87,Ê70,251.7,215.6,80
1.4,1,8,ABCO,HP,2020,September,,23,57,,1,0,260.3,209.6,296.2,241,,10,-3.05,2.1235,7.725,7.5666,2.7933,35,100,,2.910106373,Ê124,Ê0,Ê124,Ê9,Ê88,Ê79,256.4,215.9,129
1.4,1,9,ABCO,HP,2020,September,,24,55,,1,0,261.6,212.9,273,232.7,,10,-4.1,6.1954,7.4859,6.7657,3.9269,20,20,,126.2844117,Ê85,Ê0,Ê85,Ê11,Ê67,Ê56,262.3,215.9,93
1.5,1,1,ABCO,HP,2020,September,,23,61,39,1,1,270.1,227.5,275.7,257.4,,10,-0.16,7.2414,9.651,8.0734,4.1221,50,100,,189.6153846,Ê78,Ê57,Ê135,Ê15,Ê163,Ê91,266.6,235.5,136
1.5,1,2,ABCO,HP,2020,September,,23,62,38,1,1,270.9,239.8,276.7,269,,10,-1.201,7.2374,8.1345,7.5315,2.5668,20,100,,205.0323019,Ê99,Ê4,Ê103,Ê8,Ê77,Ê65,253.2,229.4,104
