date	sample	fresh.weight	dry.weight	water.potential	spp	fresh.weight.saturated	RWD	TLP	RWC.at.tlp	Po	SWC	LFM.at.tlp	timing
04.24.2021	4			-3.121	CADE			-2.414683117		-1.652394811			spring
04.24.2021	4			-3.061	CADE			-2.414683117		-1.652394811			spring
04.24.2021	4			-3.291	CADE			-2.414683117		-1.652394811			spring
04.24.2021	4			-3.343	CADE			-2.414683117		-1.652394811			spring
04.24.2021	4			-3.81	CADE			-2.414683117		-1.652394811			spring
04.24.2021	5			-0.089	CADE			-2.460764176		-1.648858203			spring
04.24.2021	5			-0.16	CADE			-2.460764176		-1.648858203			spring
04.24.2021	5			-0.17	CADE			-2.460764176		-1.648858203			spring
04.24.2021	5			-0.334	CADE			-2.460764176		-1.648858203			spring
04.24.2021	5			-0.451	CADE			-2.460764176		-1.648858203			spring
04.24.2021	5			-0.592	CADE			-2.460764176		-1.648858203			spring
04.24.2021	5			-0.875	CADE			-2.460764176		-1.648858203			spring
04.24.2021	5			-1.116	CADE			-2.460764176		-1.648858203			spring
04.24.2021	5			-1.316	CADE			-2.460764176		-1.648858203			spring
04.24.2021	5			-1.609	CADE			-2.460764176		-1.648858203			spring
04.24.2021	5			-1.892	CADE			-2.460764176		-1.648858203			spring
04.24.2021	5			-2.021	CADE			-2.460764176		-1.648858203			spring
04.24.2021	5			-2.145	CADE			-2.460764176		-1.648858203			spring
04.24.2021	5			-2.261	CADE			-2.460764176		-1.648858203			spring
04.24.2021	5			-2.414	CADE			-2.460764176		-1.648858203			spring
04.24.2021	5			-2.501	CADE			-2.460764176		-1.648858203			spring
04.24.2021	5			-2.6	CADE			-2.460764176		-1.648858203			spring
04.24.2021	5			-2.66	CADE			-2.460764176		-1.648858203			spring
04.24.2021	5			-3.109	CADE			-2.460764176		-1.648858203			spring
04.24.2021	5			-3.281	CADE			-2.460764176		-1.648858203			spring
04.24.2021	5			-3.471	CADE			-2.460764176		-1.648858203			spring
04.24.2021	1			-0.188	CECO			-2.302825564		-1.827425885			spring
04.24.2021	1			-0.472	CECO			-2.302825564		-1.827425885			spring
04.24.2021	1			-0.668	CECO			-2.302825564		-1.827425885			spring
04.24.2021	1			-0.925	CECO			-2.302825564		-1.827425885			spring
04.24.2021	1			-1.183	CECO			-2.302825564		-1.827425885			spring
04.24.2021	1			-1.607	CECO			-2.302825564		-1.827425885			spring
04.24.2021	1			-2.204	CECO			-2.302825564		-1.827425885			spring
04.24.2021	1			-2.523	CECO			-2.302825564		-1.827425885			spring
04.24.2021	1			-2.433	CECO			-2.302825564		-1.827425885			spring
04.24.2021	1			-2.409	CECO			-2.302825564		-1.827425885			spring
04.24.2021	1			-2.543	CECO			-2.302825564		-1.827425885			spring
04.24.2021	1			-2.901	CECO			-2.302825564		-1.827425885			spring
04.24.2021	1			-3.185	CECO			-2.302825564		-1.827425885			spring
04.24.2021	1			-3.643	CECO			-2.302825564		-1.827425885			spring
04.24.2021	2			-0.132	CECO			-2.136504806		-1.607600353			spring
04.24.2021	2			-0.102	CECO			-2.136504806		-1.607600353			spring
04.24.2021	2			-0.17	CECO			-2.136504806		-1.607600353			spring
04.24.2021	2			-0.279	CECO			-2.136504806		-1.607600353			spring
04.24.2021	2			-0.533	CECO			-2.136504806		-1.607600353			spring
04.24.2021	2			-0.763	CECO			-2.136504806		-1.607600353			spring
04.24.2021	2			-1.04	CECO			-2.136504806		-1.607600353			spring
04.24.2021	2			-1.46	CECO			-2.136504806		-1.607600353			spring
04.24.2021	2			-1.784	CECO			-2.136504806		-1.607600353			spring
04.24.2021	2			-2.051	CECO			-2.136504806		-1.607600353			spring
04.24.2021	2			-2.36	CECO			-2.136504806		-1.607600353			spring
04.24.2021	2			-2.55	CECO			-2.136504806		-1.607600353			spring
04.24.2021	2			-2.895	CECO			-2.136504806		-1.607600353			spring
04.24.2021	2			-3.827	CECO			-2.136504806		-1.607600353			spring
04.24.2021	3			-0.128	CECO			-2.75793162		-2.069837139			spring
04.24.2021	3			-0.487	CECO			-2.75793162		-2.069837139			spring
04.24.2021	3			-0.551	CECO			-2.75793162		-2.069837139			spring
04.24.2021	3			-0.812	CECO			-2.75793162		-2.069837139			spring
04.24.2021	3			-1.065	CECO			-2.75793162		-2.069837139			spring
04.24.2021	3			-1.411	CECO			-2.75793162		-2.069837139			spring
04.24.2021	3			-1.995	CECO			-2.75793162		-2.069837139			spring
04.24.2021	3			-2.26	CECO			-2.75793162		-2.069837139			spring
04.24.2021	3			-2.259	CECO			-2.75793162		-2.069837139			spring
04.24.2021	3			-2.674	CECO			-2.75793162		-2.069837139			spring
04.24.2021	3			-2.861	CECO			-2.75793162		-2.069837139			spring
04.24.2021	3			-3.037	CECO			-2.75793162		-2.069837139			spring
04.24.2021	3			-3.377	CECO			-2.75793162		-2.069837139			spring
04.24.2021	3			-3.839	CECO			-2.75793162		-2.069837139			spring
04.24.2021	4			-0.193	CECO			-2.354385297		-1.669651121			spring
04.24.2021	4			-0.513	CECO			-2.354385297		-1.669651121			spring
04.24.2021	4			-0.486	CECO			-2.354385297		-1.669651121			spring
04.24.2021	4			-0.95	CECO			-2.354385297		-1.669651121			spring
04.24.2021	4			-1.056	CECO			-2.354385297		-1.669651121			spring
04.24.2021	4			-1.078	CECO			-2.354385297		-1.669651121			spring
04.24.2021	4			-1.582	CECO			-2.354385297		-1.669651121			spring
04.24.2021	4			-1.843	CECO			-2.354385297		-1.669651121			spring
04.24.2021	4			-2.012	CECO			-2.354385297		-1.669651121			spring
04.24.2021	4			-2.25	CECO			-2.354385297		-1.669651121			spring
04.24.2021	4			-2.4	CECO			-2.354385297		-1.669651121			spring
04.24.2021	4			-2.412	CECO			-2.354385297		-1.669651121			spring
04.24.2021	4			-2.886	CECO			-2.354385297		-1.669651121			spring
04.24.2021	4			-3.558	CECO			-2.354385297		-1.669651121			spring
