sample,site,round,spp,model,year,month,video.notes,ambient.temp,ambient.humidity,fh,ignition,glow,ignition.temp,ignition.temp.higher,temp.max,temp.max.higher,video.notes,sample.length,mpa,bottle.wt,fresh.wt,dry.wt,sample.wt,prop.new,prop.new.lfm,lfm.notes,lfm,start.temp,temp.start.higher,ttms,ttfg,gti,tti,fd,gd,pfg
1.3,1,6,ABCO,HP,2020,September,,24,52,,1,1,278.6,230.4,278.5,261.1,,10,-3.03,7.2333,9.0688,7.864,4.4343,55,100,,191.0258443,282.1,238.6,116.00,111.00,2.00,113.00,17.00,84.00,65.00
1.3,1,7,ABCO,HP,2020,September,,22,61,,1,1,262.9,213.7,291.3,241.6,,10,-2.84,7.2533,8.6213,7.8285,3.5169,70,50,,137.8303199,261.4,220,64.00,54.00,4.00,58.00,23.00,97.00,70.00
1.3,1,8,ABCO,HP,2020,September,,23,57,,1,1,252.4,210.2,283.6,253.9,,10,-3.78,7.207,8.7817,7.3407,4.0105,75,95,,1077.786088,248.6,212,90.00,83.00,1.00,84.00,12.00,81.00,68.00
1.3,1,9,ABCO,HP,2020,September,,24,55,,1,1,263.2,208.1,290.6,240.4,,10,-3.67,6.224,7.4389,6.6653,4.7807,95,95,,175.3002493,257.4,214.7,83.00,72.00,5.00,77.00,14.00,73.00,54.00
1.4,1,1,ABCO,HP,2020,September,Missing B0038,23,60,,1,1,298.5,230.4,326.2,242.7,,10,-0.2,7.2647,9.5368,7.9639,2.6395,100,100,,224.9570938,282.6,241.6,68.00,59.00,6.00,65.00,6.00,24.00,12.00
1.4,1,2,ABCO,HP,2020,September,,23,63,36,1,0,246.9,222.8,253,244.3,,10,-1.64,7.275,8.4121,7.6335,2.1427,40,100,,217.1827057,241.7,221.5,116.00,113.00,0.00,113.00,11.00,68.00,57.00
1.4,1,3,ABCO,HP,2020,September,,26,48,23,1,1,263.5,231.5,270.1,263.9,,10,-1.97,7.1384,9.6283,8.1699,4.2229,75,0,,141.3863306,262.8,236.9,83.00,75.00,6.00,81.00,19.00,92.00,67.00
1.4,1,4,ABCO,HP,2020,September,,23,57,26,1,0,283.7,223.7,292.8,250.5,,10,-2.67,6.1955,7.3839,6.6627,2.289,30,50,,154.3664384,290.8,226.1,85.00,82.00,0.00,82.00,16.00,72.00,56.00
1.4,1,5,ABCO,HP,2020,September,,26,52,20,1,1,261.7,224.1,268.8,261.2,,10,-2.29,6.1622,7.3642,6.6273,2.9608,45,50,,158.4390454,263.1,229.1,83.00,56.00,21.00,77.00,23.00,103.00,59.00
1.4,1,6,ABCO,HP,2020,September,,25,52,,1,1,278.4,242.2,300.5,319.8,,10,-2.49,7.2844,9.0447,7.9188,4.3398,50,45,,177.4747793,259.7,220.8,133.00,105.00,11.00,116.00,23.00,119.00,85.00
1.4,1,7,ABCO,HP,2020,September,,22,60,,1,0,277.3,222,303.1,255.1,,10,-2.61,7.274,8.8835,7.9308,3.1261,40,35,,145.0517661,251.7,215.6,80.00,75.00,0.00,75.00,17.00,87.00,70.00
1.4,1,8,ABCO,HP,2020,September,,23,57,,1,0,260.3,209.6,296.2,241,,10,-3.05,2.1235,7.725,7.5666,2.7933,35,100,,2.910106373,256.4,215.9,129.00,124.00,0.00,124.00,9.00,88.00,79.00
1.4,1,9,ABCO,HP,2020,September,,24,55,,1,0,261.6,212.9,273,232.7,,10,-4.1,6.1954,7.4859,6.7657,3.9269,20,20,,126.2844117,262.3,215.9,93.00,85.00,0.00,85.00,11.00,67.00,56.00
1.5,1,1,ABCO,HP,2020,September,,23,61,39,1,1,270.1,227.5,275.7,257.4,,10,-0.16,7.2414,9.651,8.0734,4.1221,50,100,,189.6153846,266.6,235.5,136.00,78.00,57.00,135.00,15.00,163.00,91.00
1.5,1,2,ABCO,HP,2020,September,,23,62,38,1,1,270.9,239.8,276.7,269,,10,-1.201,7.2374,8.1345,7.5315,2.5668,20,100,,205.0323019,253.2,229.4,104.00,99.00,4.00,103.00,8.00,77.00,65.00
1.5,1,3,ABCO,HP,2020,September,,26,48,46,1,0,269.2,234.5,272.2,241.9,,10,-1.85,7.1921,8.4631,7.7209,3.9167,40,0,,140.3555219,256.2,232.9,179.00,171.00,0.00,171.00,9.00,56.00,47.00
1.5,1,4,ABCO,HP,2020,September,Missing lower,23,57,,1,1,286.2,223.2,329.3,271.8,,10,-2.72,6.1861,7.1813,6.6467,2.9776,55,30,,116.0660009,279.1,226.7,62.00,50.00,9.00,59.00,20.00,91.00,62.00
1.5,1,5,ABCO,HP,2020,September,,26,50,36,3,1,261.4,233.6,257.2,239.4,,10,-3.53,6.1659,7.2854,6.6548,2.1487,45,90,,128.9834322,265.9,226.1,402.00,244.00,150.00,394.00,12.00,221.00,59.00
1.5,1,6,ABCO,HP,2020,September,,25,52,,1,1,269.7,223.4,287.7,271.4,,10,-2.85,7.2417,7.9959,7.6072,3.125,20,10,,106.3474692,258,220.9,84.00,39.00,41.00,80.00,21.00,134.00,72.00
1.5,1,7,ABCO,HP,2020,September,,22,61,,1,1,235.7,201.3,235.7,201.8,"glow time continued onto next video; most of mass consumed during glow phase,2 cm burned",10,-4.11,7.2367,7.6086,7.4276,2.9559,25,100,,94.81403876,237.5,201.1,356.00,237.00,119.00,356.00,6.00,228.00,103.00
1.5,1,8,ABCO,HP,2020,September,,24,63,,1,0,240.1,203.8,263.4,339.1,,10,-5,7.1931,8.1365,7.6574,3.1204,20,60,,103.1875942,233.8,202.8,87.00,80.00,0.00,80.00,32.00,101.00,69.00
1.6,1,1,ABCO,HP,2020,September,,23,61,26,1,0,258,223.5,275.3,247.8,,10,-0.76,7.2653,9.7239,8.1299,3.3435,45,60,,184.3627111,277,233.9,100.00,94.00,0.00,94.00,41.00,94.00,53.00
1.6,1,2,ABCO,HP,2020,September,Missing lower,23,61,,1,1,274,226.5,286.1,259.1,,10,-1.74,7.2558,9.1015,7.8739,3.3136,50,100,,198.6086394,238.2,226.4,144.00,59.00,83.00,142.00,6.00,146.00,57.00
1.6,1,3,ABCO,HP,2020,September,,26,48,45,1,1,290.8,240.9,302.1,281.5,,10,-2.1,7.1276,8.9809,7.8852,4.5805,70,0,,144.6277719,264.1,238,100.00,81.00,18.00,99.00,17.00,74.00,39.00
1.6,1,4,ABCO,HP,2020,September,Missing lower,23,56,,2,1,287.2,218.2,412.6,273.7,2nd ignition:10:44:50 to10:45:12 w max temps332.2 and250,10,-2.57,6.1875,7.4148,6.7118,5.2819,75,40,,134.08354,278.9,227,75.00,53.00,11.00,64.00,20.00,234.00,203.00
1.6,1,5,ABCO,HP,2020,September,,26,50,20,1,1,271.6,235.4,284.9,284.4,,10,-2.47,6.155,8.2415,6.8666,3.024,75,90,,193.2124789,264.2,225.7,39.00,63.00,31.00,94.00,15.00,139.00,93.00
1.6,1,6,ABCO,HP,2020,September,,25,52,,2,1,282.4,229.3,301.1,298.4,2nd ignition:15:29:26 to15:29:29,10,-3.59,7.266,7.7908,7.482,3.2201,100,50,,142.962963,261,223,102.00,72.00,26.00,98.00,10.00,105.00,69.00
1.6,1,7,ABCO,HP,2020,September,,23,60,,1,1,243,205.9,245.6,209.8,,10,-3.57,7.2555,7.7017,7.4433,2.5689,20,100,,137.5931842,230.2,201,389.00,335.00,52.00,387.00,8.00,135.00,75.00
1.6,1,8,ABCO,HP,2020,September,,23,61,,1,1,241.6,202.7,254.2,240.7,,10,-2.98,7.1288,9.024,8.2842,2.5354,50,30,,64.02977324,237.1,202.8,74.00,56.00,13.00,69.00,13.00,112.00,86.00
2.1,2,1,ABCO,HP,2020,September,,23,60,42,1,0,286.1,246,296.8,295.6,,10,-0.507,7.2071,11.9758,8.794,4.159,60,60,,200.5041275,275.6,237.6,124.00,121.00,0.00,121.00,8.00,95.00,87.00
2.1,2,2,ABCO,HP,2020,September,,24,60,30,1,1,266,225.5,272.4,283.6,,10,-2.15,7.2461,9.4621,7.9967,3.8378,40,100,,195.2304823,245.2,221.5,114.00,78.00,34.00,112.00,17.00,105.00,54.00
2.1,2,3,ABCO,HP,2020,September,,26,49,19,1,1,269,233.3,272.1,255.9,,10,-2.48,7.1995,8.3327,7.6975,3.0434,40,40,,127.5502008,280,243.1,68.00,65.00,1.00,66.00,33.00,116.00,82.00
